N	2gram	Bakhtin_Pr_1	Komedia
1	и в	38	26
2	едва ли	3	14
3	и не	42	14
4	и его	16	12
5	к тому	1	12
6	так и	5	12
7	может быть	26	11
8	в том	8	11
9	в этом	15	10
10	на протяжении	1	10
11	но и	9	10
12	столь же	2	9
13	том что	3	9
14	если бы	3	9
15	вместе с	1	9
16	что в	7	9
17	ясно что	3	8
18	было бы	8	8
19	и на	3	7
20	не только	9	7
21	на себя	1	7
22	что и	2	7
23	из них	1	7
24	еще не	7	6
25	в своем	5	6
26	о том	4	6
27	в нем	15	6
28	таким образом	10	6
29	в то	4	6
30	того чтобы	2	6
31	и здесь	2	6
32	в двух	2	6
33	то что	8	6
34	в которой	1	5
35	с его	2	5
36	что он	2	5
37	в истории	2	5
38	независимо от	13	5
39	для того	2	5
40	ни в	11	5
41	с тем	1	5
42	и с	17	5
43	к этому	2	5
44	хотя и	3	4
45	в самом	7	4
46	что это	2	4
47	в целом	3	4
48	это было	1	4
49	в них	5	4
50	как и	7	4
51	в этих	2	4
52	место в	8	4
53	тому что	1	4
54	не менее	4	4
55	как мы	7	4
56	в в	1	4
57	что у	1	4
58	можно было	4	4
59	его в	9	4
60	между тем	7	4
61	комедии и	1	4
62	в его	43	4
63	только в	13	4
64	в начале	2	4
65	на этот	1	4
66	прежде всего	13	4
67	в частности	2	4
68	как это	2	4
69	все же	6	4
70	и для	11	4
71	и от	3	4
72	одной из	3	4
73	точки зрения	8	4
74	например в	3	3
75	становится в	1	3
76	тех же	1	3
77	в котором	2	3
78	то же	5	3
79	в их	10	3
80	вопрос о	1	3
81	в ней	4	3
82	во всех	11	3
83	но не	12	3
84	по отношению	21	3
85	как в	4	3
86	но в	4	3
87	в этой	1	3
88	как он	1	3
89	человека в	2	3
90	в каждом	2	3
91	могла бы	1	3
92	но если	1	3
93	не имеет	9	3
94	в самой	2	3
95	же время	3	3
96	к концу	1	3
97	связи с	2	3
98	то время	1	3
99	к нему	10	3
100	дело с	6	3
101	к их	1	3
102	себя в	2	3
103	для всех	1	3
104	друг друга	1	3
105	мы можем	6	3
106	тем что	2	3
107	или иначе	1	3
108	здесь в	2	3
109	не было	2	3
110	так называемой	1	3
111	о чем	1	3
112	в связи	2	3
113	и особенно	1	3
114	из которых	2	3
115	в тех	3	3
116	отношению к	19	3
117	да и	3	3
118	все это	3	3
119	или в	2	3
120	для нас	1	3
121	а в	6	3
122	в своей	7	3
123	жизни и	1	3
124	того времени	1	3
125	по поводу	2	3
126	не может	27	3
127	и т	14	2
128	а из	1	2
129	стали бы	1	2
130	и есть	2	2
131	в первом	1	2
132	из его	1	2
133	и за	1	2
134	мы имеем	2	2
135	время как	1	2
136	говорить о	3	2
137	не вполне	2	2
138	в виду	4	2
139	есть для	1	2
140	бы то	3	2
141	в ее	4	2
142	и другие	2	2
143	если в	1	2
144	отличие от	5	2
145	отнюдь не	19	2
146	и я	1	2
147	идет о	1	2
148	целый ряд	1	2
149	что по	1	2
150	имеет в	1	2
151	в действительности	1	2
152	бы и	1	2
153	в нашем	4	2
154	ни одна	2	2
155	в философии	1	2
156	и если	1	2
157	не следует	2	2
158	он не	3	2
159	в принципе	1	2
160	на этом	2	2
161	то ни	3	2
162	в глазах	1	2
163	это не	5	2
164	этом смысле	3	2
165	не всегда	6	2
166	чем в	2	2
167	в один	1	2
168	не более	2	2
169	в отличие	5	2
170	которые в	1	2
171	не в	7	2
172	однако в	1	2
173	вовсе не	2	2
174	одна из	2	2
175	в одном	1	2
176	место во	1	2
177	что их	1	2
178	с достаточной	1	2
179	не столь	1	2
180	не является	3	2
181	и это	3	2
182	как не	1	2
183	говоря уже	1	2
184	и что	2	2
185	в мире	3	2
186	на что	1	2
187	и во	2	2
188	и все	3	2
189	мы понимаем	1	2
190	нем не	1	2
191	все время	1	2
192	с ними	4	2
193	в какой	2	2
194	и ее	2	2
195	с одной	3	2
196	и у	2	2
197	т п	13	2
198	не для	1	2
199	отношение к	10	2
200	в других	4	2
201	рядом с	5	2
202	нет и	3	2
203	и к	3	2
204	до сих	1	2
205	с другой	7	2
206	т и	1	2
207	одной стороны	3	2
208	а на	1	2
209	с которым	1	2
210	уже о	1	2
211	чем на	1	2
212	по своему	1	2
213	в той	1	2
214	как бы	22	2
215	сих пор	1	2
216	бы в	1	2
217	еще более	1	2
218	хотя бы	4	2
219	ни было	3	2
220	от ее	2	2
221	не говоря	1	2
222	от всех	4	2
223	к его	2	2
224	конечно к	1	2
225	из этого	1	2
226	актов и	1	2
227	то на	1	1
228	отношения к	6	1
229	чувствовать себя	1	1
230	самом деле	6	1
231	мере в	1	1
232	не обходится	2	1
233	не происходит	1	1
234	обойтись без	1	1
235	на первый	2	1
236	сравнению с	1	1
237	обходится без	1	1
238	план в	1	1
239	о роли	1	1
240	в каждой	1	1
241	и самого	1	1
242	первый план	2	1
243	все эти	5	1
244	что нас	1	1
245	время в	1	1
246	в чем	2	1
247	во внешнем	1	1
248	в область	3	1
249	значение и	1	1
250	конечном счете	4	1
251	в общем	1	1
252	с совершенно	2	1
253	не просто	1	1
254	в свои	1	1
255	ли эта	1	1
256	трагический характер	1	1
257	для создания	1	1
258	в художественном	20	1
259	как к	2	1
260	в полном	1	1
261	как уже	1	1
262	жизни в	1	1
263	следует остановиться	1	1
264	в чисто	1	1
265	не приходится	1	1
266	действительности но	2	1
267	определяет все	1	1
268	в себе	4	1
269	имеет для	1	1
270	не могла	1	1
