N	3gram	Nazirov_Tv_2	Analitik
1	о том что	2	6
2	в том что	2	6
3	по отношению к	3	4
4	так и не	1	4
5	и в этом	1	4
6	к тому же	1	4
7	по крайней мере	2	3
8	содержит в себе	1	3
9	романа в целом	1	3
10	того или иного	1	3
11	той или иной	1	3
12	как и в	1	3
13	в эту жизнь	1	2
14	в соответствии с	4	2
15	в таком случае	2	2
16	в то же	7	2
17	можно было бы	1	2
18	как уже говорилось	1	2
19	едва ли не	2	2
20	в отличие от	2	2
21	с другой стороны	2	2
22	в частности в	1	2
23	то же время	7	2
24	в конечном счете	1	2
25	в поле зрения	1	2
26	особое место в	1	1
27	и сам автор	1	1
28	в творческом процессе	4	1
29	главного героя романа	1	1
30	в этой борьбе	1	1
31	с одной из	1	1
32	сами по себе	1	1
33	все это делает	1	1
34	в третий раз	1	1
35	и если бы	1	1
36	несмотря на его	1	1
37	этого персонажа и	1	1
38	на этот вопрос	2	1
39	со всех сторон	1	1
40	автором и читателем	1	1
41	в этой связи	1	1
42	в применении к	1	1
43	мы видим как	1	1
44	всего романа в	1	1
45	уже не о	1	1
46	еще ничего не	1	1
47	не о том	1	1
48	в известном смысле	1	1
49	нам представляется что	1	1
50	это своего рода	1	1
51	в свою очередь	1	1
52	в связи с	1	1
53	в первую очередь	1	1
54	при всей их	1	1
55	в целом ряде	1	1
56	первой части романа	1	1
57	только то что	1	1
58	речь идет уже	1	1
59	не может быть	3	1
60	ответ на этот	1	1
61	в диалоге с	1	1
62	том смысле что	1	1
63	и особенно в	1	1
64	другой стороны и	1	1
65	в самом деле	2	1
66	сразу же после	1	1
67	ничего не говорит	1	1
68	между автором и	1	1
69	на всем протяжении	1	1
70	но отнюдь не	1	1
71	в том смысле	1	1
72	себя на место	1	1
73	точно так же	1	1
74	на наш взгляд	2	1
75	идет уже не	1	1
76	не только для	1	1
