N	3gram	Savitsky_E_1	OGranits
1	с точки зрения	16	5
2	не может быть	2	4
3	в пределах данной	1	2
4	но так как	1	2
5	в данном случае	2	2
6	с одной стороны	8	2
7	с другой стороны	2	2
8	того или иного	4	2
9	в том что	6	2
10	один и тот	1	1
11	что в этом	1	1
12	этой точки зрения	5	1
13	более или менее	1	1
14	нам кажется что	2	1
15	же время в	1	1
16	в отличие от	1	1
17	в этом отношении	3	1
18	ориентироваться не на	1	1
19	то что в	2	1
20	можно было бы	3	1
21	почти никогда не	1	1
22	может быть и	1	1
23	в значительной мере	1	1
24	с этой точки	5	1
25	то или иное	1	1
26	ту или иную	3	1
27	в последнее время	1	1
28	для того чтобы	5	1
29	так же как	5	1
30	существует только в	1	1
31	и тот же	1	1
32	а также и	1	1
33	в связи с	1	1
34	чуть ли не	1	1
35	само по себе	4	1
36	так и для	1	1
37	прежде всего в	2	1
38	указать на то	1	1
39	в тех случаях	1	1
40	то же время	14	1
41	мы не можем	1	1
42	та или иная	1	1
43	хотя бы в	2	1
44	но в то	2	1
45	выходит за пределы	1	1
46	на то что	2	1
47	тех случаях когда	1	1
48	в то же	15	1
49	к тому что	1	1
50	тех или иных	1	1
51	не может в	1	1
