N	2gram	Berdyaev_O_1	Analitik
1	в этом	12	18
2	не только	11	16
3	и в	19	16
4	в частности	1	16
5	так и	2	15
6	как и	6	14
7	но и	13	12
8	и не	13	12
9	том что	2	12
10	в том	5	12
11	могут быть	3	10
12	а не	11	10
13	как бы	3	10
14	в этой	5	9
15	лишь в	7	9
16	ничего не	2	9
17	и даже	1	9
18	представляет собой	1	8
19	не случайно	1	8
20	особенно в	1	7
21	о том	3	7
22	в себе	3	7
23	то что	5	7
24	в самом	5	6
25	и на	2	6
26	но в	2	6
27	в мире	1	6
28	может быть	11	6
29	как это	1	6
30	и к	2	5
31	говорит о	1	5
32	между двумя	1	4
33	в сущности	1	4
34	но не	1	4
35	как в	1	4
36	в своем	2	4
37	хотя и	2	4
38	он в	2	4
39	не с	1	4
40	не любит	1	4
41	для него	5	4
42	не в	11	4
43	в конце	1	4
44	и его	4	4
45	уже не	1	4
46	в сознании	1	4
47	не так	1	4
48	у него	22	4
49	не может	4	4
50	о его	5	4
51	все это	6	4
52	и то	2	3
53	в центре	1	3
54	самом начале	1	3
55	ключ к	1	3
56	и сам	1	3
57	попадает в	1	3
58	никогда не	9	3
59	тем что	2	3
60	как будто	1	3
61	этом отношении	1	3
62	можно было	1	3
63	если бы	1	3
64	что и	2	3
65	и все	10	3
66	с ними	1	3
67	так что	2	3
68	из них	1	3
69	со стороны	1	3
70	было бы	3	3
71	этого слова	1	3
72	бы в	1	3
73	прежде всего	9	3
74	а в	5	3
75	отношения к	1	2
76	и до	1	2
77	и он	8	2
78	собой в	1	2
79	еще не	3	2
80	он был	8	2
81	и я	1	2
82	с их	1	2
83	на то	1	2
84	он не	7	2
85	от которого	1	2
86	что она	1	2
87	что все	2	2
88	же не	1	2
89	это было	3	2
90	по себе	2	2
91	он и	1	2
92	в этих	3	2
93	в своей	2	2
94	в котором	1	2
95	она не	1	2
96	не имеет	2	2
97	особого рода	1	2
98	всего в	2	2
99	в нас	1	2
100	природе своей	1	2
101	по природе	1	2
102	в борьбе	1	2
103	с ним	3	2
104	что в	4	2
105	его в	2	2
106	в его	7	2
107	чем и	1	2
108	вообще и	1	2
109	того что	3	2
110	с той	1	2
111	один из	1	2
112	не есть	2	2
113	ни с	7	2
114	одно из	2	2
115	ведь это	2	2
116	в одном	1	2
117	вовсе не	1	2
118	может ли	1	2
119	на этот	1	2
120	его как	1	2
121	была бы	1	2
122	о чем	1	2
