N	2gram	Losev_Vesc_1	Myslijsy
1	потому что	16	49
2	для нас	2	31
3	и в	21	24
4	может быть	16	23
5	то что	27	20
6	и не	29	19
7	в том	8	18
8	а не	19	18
9	что в	9	16
10	не только	36	15
11	по себе	13	15
12	того же	5	14
13	при этом	1	13
14	в слове	2	13
15	не в	5	13
16	было бы	14	13
17	то же	6	12
18	но не	5	12
19	мы можем	4	12
20	не может	17	12
21	мы не	6	11
22	таким образом	8	11
23	вместе с	1	11
24	если бы	5	11
25	что и	3	11
26	что мы	14	11
27	только в	14	11
28	тогда как	1	10
29	в себе	14	10
30	для него	4	10
31	тогда когда	5	10
32	так что	5	10
33	так как	7	10
34	независимо от	5	9
35	в нем	2	9
36	вовсе не	10	9
37	то и	4	9
38	но и	18	9
39	как бы	12	9
40	а только	3	8
41	в этом	4	8
42	более или	1	8
43	том что	8	8
44	или менее	1	8
45	в одно	1	8
46	могут быть	1	8
47	а в	4	8
48	в чем	6	7
49	во всех	2	7
50	с этим	3	7
51	как и	8	7
52	между собою	6	7
53	всяком случае	2	7
54	зрения и	2	7
55	быть может	1	7
56	прежде всего	9	7
57	сами по	3	7
58	тем что	2	7
59	того что	8	7
60	во всяком	3	7
61	и т	19	6
62	между двумя	1	6
63	что если	1	6
64	и как	8	6
65	и того	2	6
66	одного и	1	6
67	тем не	3	6
68	в то	3	6
69	есть только	7	6
70	свою очередь	4	6
71	и только	3	6
72	не можем	1	6
73	в одном	2	6
74	с другой	6	6
75	не было	1	6
76	в ряду	1	6
77	не есть	49	6
78	в свою	4	6
79	только как	1	6
80	по поводу	1	6
81	а и	9	5
82	что они	6	5
83	все же	4	5
84	в мысли	3	5
85	уже в	1	5
86	на то	4	5
87	есть не	14	5
88	и уже	1	5
89	не менее	3	5
90	по крайней	4	5
91	с ним	8	5
92	так и	3	5
93	о том	6	5
94	с другими	8	5
95	крайней мере	4	5
96	тот же	3	5
97	бы ни	2	5
98	слова в	2	5
99	из них	4	5
100	от того	3	5
101	для того	2	5
102	что не	5	5
103	и их	7	5
104	или не	2	5
105	же в	1	5
106	в которой	1	5
107	сам по	3	4
108	к другому	1	4
109	в самом	9	4
110	время как	1	4
111	еще не	8	4
112	внутренняя форма	1	4
113	но в	5	4
114	уже не	9	4
115	из этих	1	4
116	только один	2	4
117	главным образом	1	4
118	одно целое	1	4
119	и если	2	4
120	в звуках	1	4
121	с тем	5	4
122	в котором	3	4
123	том смысле	1	4
124	сих пор	1	4
125	стало быть	1	4
126	между прочим	3	4
127	тем самым	1	4
128	для меня	2	4
129	и другое	4	4
130	подобно тому	4	4
131	одна из	5	4
132	должны быть	4	4
133	то время	1	4
134	так в	1	4
135	никогда не	2	4
136	к языку	1	4
137	и что	15	4
138	предмета и	1	4
139	свет и	1	4
140	что он	1	4
141	с одной	3	4
142	до сих	1	4
143	души и	1	4
144	если не	3	4
145	с а	4	4
146	тому как	4	4
147	что оно	8	4
148	себе не	3	4
149	человека и	1	3
150	и то	10	3
151	с таким	1	3
152	той же	2	3
153	есть нечто	6	3
154	но она	3	3
155	но даже	3	3
156	то это	3	3
157	при таких	1	3
158	только тогда	3	3
159	если в	1	3
160	очевидно что	1	3
161	со стороны	5	3
162	относится к	5	3
163	хотя и	4	3
164	на нас	2	3
165	что это	13	3
166	чем бы	2	3
167	думать что	1	3
168	с чем	7	3
169	что она	15	3
170	звук а	1	3
171	т д	19	3
172	о которой	2	3
