N	2gram	Tiupa_Vved_1	Tvorches
1	и в	13	21
2	как бы	4	17
3	в то	4	15
4	то же	5	13
5	времени в	3	13
6	в его	4	13
7	то есть	8	12
8	как и	11	12
9	же время	3	12
10	что в	3	12
11	том что	7	11
12	все это	1	10
13	в романе	6	10
14	как в	4	8
15	он не	3	8
16	то что	6	8
17	и на	3	7
18	но в	6	7
19	не только	20	7
20	при этом	26	7
21	тем самым	5	7
22	у него	1	7
23	и не	12	7
24	в том	10	7
25	в свою	4	7
26	в этом	21	6
27	человека в	1	6
28	в котором	8	6
29	не менее	4	6
30	и его	5	6
31	по природе	1	6
32	он сам	1	6
33	о том	5	6
34	и все	4	6
35	что он	1	6
36	для него	3	6
37	а в	6	6
38	жизни в	4	6
39	отнюдь не	7	5
40	все же	6	5
41	в этой	1	5
42	таким образом	4	5
43	вовсе не	1	5
44	в своих	2	5
45	потому что	5	5
46	как будто	4	5
47	только в	6	5
48	может быть	18	5
49	а не	15	5
50	но это	3	5
51	это уже	1	5
52	хотя бы	1	5
53	из всех	1	4
54	конечном счете	1	4
55	в своем	5	4
56	та же	1	4
57	в целом	3	4
58	это не	6	4
59	в своей	5	4
60	своего рода	10	4
61	в эпилоге	1	4
62	по сути	2	4
63	в мире	8	4
64	времени и	7	4
65	в конечном	1	4
66	в финале	2	4
67	прежде всего	7	4
68	на эту	1	4
69	не может	7	4
70	и от	2	4
71	один из	3	4
72	одним из	5	4
73	рассматривать в	1	3
74	на самом	4	3
75	той же	1	3
76	что я	1	3
77	хотя и	7	3
78	года до	1	3
79	в самом	2	3
80	представляет собой	15	3
81	тут и	1	3
82	в нем	5	3
83	на его	1	3
84	и по	3	3
85	что все	1	3
86	и с	2	3
87	на протяжении	1	3
88	время у	1	3
89	соответствии с	6	3
90	далеко не	4	3
91	в их	1	3
92	место в	2	3
93	даже в	1	3
94	дело не	1	3
95	не по	1	3
96	никогда не	4	3
97	он видит	1	3
98	с ее	1	3
99	с ним	3	3
100	добра и	1	3
101	повести и	1	3
102	того что	6	3
103	действительной жизни	1	3
104	который в	2	3
105	во времени	2	3
106	уже не	5	3
107	уже в	1	3
108	в виде	1	3
109	не так	1	3
110	в соответствии	6	3
111	человек как	1	3
112	и даже	1	3
113	с другой	5	3
114	но и	19	3
115	к человеку	1	3
116	в рассказе	6	3
117	но не	5	3
118	сути дела	1	3
119	не существует	2	3
120	но если	1	3
121	жизни и	7	3
122	так же	1	3
123	в нашей	1	2
124	того же	1	2
125	самом деле	3	2
126	в первом	2	2
127	а как	1	2
128	на первом	1	2
129	но она	1	2
130	№ с	1	2
131	и он	1	2
132	героя и	3	2
133	в ней	4	2
134	в отличие	2	2
135	если в	2	2
136	отличие от	2	2
137	в настоящем	2	2
138	в одной	2	2
139	как к	1	2
140	и наконец	2	2
141	то в	1	2
142	и внутреннего	1	2
143	в себе	5	2
144	что она	1	2
145	тем не	3	2
146	так сказать	2	2
147	в принципе	1	2
148	ее по	1	2
149	здесь мы	1	2
150	в вечности	1	2
151	этом он	1	2
152	о котором	2	2
153	известно что	1	2
154	и тем	2	2
155	в данном	13	2
156	и того	2	2
157	в этих	3	2
158	не столько	4	2
159	не в	6	2
160	в пространстве	1	2
161	но он	1	2
162	по крайней	1	2
163	однако в	4	2
164	на свете	1	2
165	и время	1	2
166	одна из	4	2
167	и притом	1	2
168	в основе	3	2
169	но только	1	2
170	людей и	1	2
171	свидетельствует о	4	2
172	действий в	1	2
173	в духе	1	2
174	в направлении	2	2
175	могут быть	4	2
176	к тому	6	2
177	а что	1	2
178	в жизни	4	2
179	году в	1	2
180	это время	2	2
181	в виду	1	2
182	не могу	1	2
183	данном случае	6	2
184	мысль о	1	2
185	приводит к	2	2
186	на том	1	2
187	так и	8	2
188	об этом	4	2
189	еще в	2	2
190	можно сказать	4	2
191	и та	1	2
192	настоящее время	1	2
193	одного из	3	2
194	что и	2	2
195	во всей	1	2
196	крайней мере	1	2
197	вслед за	2	2
198	в литературе	2	2
199	в двух	1	2
200	тот же	1	2
201	в качестве	8	2
202	так что	1	2
203	и у	1	2
204	из них	1	2
205	представлений о	1	2
206	только на	1	2
