N	3gram	Tiupa_Teor_1	Otkroven
1	для того чтобы	1	3
2	в этом мире	2	2
3	это было бы	1	2
4	не может быть	4	2
5	не могут быть	2	2
6	добро и зло	1	1
7	а в его	1	1
8	в виду не	3	1
9	том что в	1	1
10	ни к каким	1	1
11	как бы в	1	1
12	так и не	4	1
13	не было и	1	1
14	может быть назван	1	1
15	том случае если	1	1
16	в иных случаях	1	1
17	отношение человека к	1	1
18	о том что	1	1
19	жизни а не	1	1
20	заключает в себе	1	1
21	ивана карамазова в	1	1
22	в том что	8	1
23	он ни был	1	1
24	в том случае	1	1
25	в том-то и	1	1
26	в самом начале	2	1
27	как и в	2	1
