N	3gram	Propp_Isto_1	Problemy
1	до сих пор	5	8
2	не может быть	7	8
3	в большинстве случаев	4	8
4	по отношению к	3	5
5	друг с другом	3	5
6	более или менее	5	3
7	в отличие от	2	3
8	как мы увидим	2	3
9	с другой стороны	5	3
10	дело в том	3	2
11	большей или меньшей	2	2
12	в этом смысле	1	2
13	сами по себе	1	2
14	но и в	2	2
15	можно было бы	3	2
16	на этот вопрос	2	2
17	в том что	4	2
18	в большей или	1	2
19	при всем их	1	2
20	но в то	1	2
21	возникает вопрос о	1	2
22	друг на друга	1	2
23	о том что	3	2
24	в одном из	1	2
25	на друга и	1	2
26	в этих случаях	2	2
27	мы увидим что	5	2
28	если бы он	1	1
29	и в конце	1	1
30	но это конечно	1	1
31	иметь в виду	1	1
32	та же самая	1	1
33	прежде всего в	1	1
34	кажется что в	1	1
35	в средние века	1	1
36	по мере того	2	1
37	в этом случае	1	1
38	одной стороны и	1	1
39	же как и	1	1
40	не было и	1	1
41	мы не будем	3	1
42	лишь тогда когда	1	1
43	а может быть	1	1
44	так как если	1	1
45	на самом же	1	1
46	всем этим явлениям	1	1
47	что мы имеем	2	1
48	же относится и	1	1
49	в значительной степени	1	1
50	так же как	2	1
51	с одной стороны	4	1
52	но в отличие	2	1
53	как один из	1	1
54	как мы это	1	1
55	то мы не	2	1
56	никогда не может	1	1
57	и в нем	1	1
58	все же не	2	1
59	в связи с	3	1
60	а не как	1	1
61	это конечно не	2	1
62	к тому же	1	1
63	таким образом и	1	1
64	самом же деле	1	1
65	так как его	1	1
66	он очень часто	1	1
67	но они не	1	1
68	мере того как	2	1
69	с самого начала	2	1
70	не только в	1	1
71	он как бы	1	1
72	а что он	1	1
73	но все же	3	1
74	а не на	2	1
75	средние века и	1	1
76	если бы не	1	1
77	после того как	1	1
78	как он их	1	1
79	в его доме	1	1
80	к тому что	1	1
81	нет мы увидим	1	1
82	его отношения к	1	1
83	дело не в	1	1
84	никак не может	1	1
85	и между ними	1	1
86	а именно в	1	1
87	все это не	1	1
88	он живет в	1	1
