N	2gram	Medvedev_U_1	slovoVRo
1	и в	14	41
2	в нем	1	30
3	то есть	1	26
4	могут быть	2	19
5	не только	10	16
6	и не	8	16
7	но и	4	16
8	а не	10	15
9	то же	5	14
10	в то	3	14
11	в пределах	1	14
12	может быть	6	14
13	и др	1	14
14	не может	7	14
15	в его	2	13
16	в этом	7	12
17	до конца	1	12
18	же время	3	12
19	так и	1	11
20	в той	1	10
21	таким образом	2	9
22	но в	3	8
23	на его	1	8
24	прежде всего	8	8
25	все же	3	7
26	в своей	3	7
27	не в	2	7
28	в поэтическом	1	7
29	все они	2	7
30	это не	3	6
31	установка на	1	6
32	только в	2	6
33	и даже	1	6
34	в самом	2	5
35	он в	1	5
36	далеко не	1	5
37	в кавычки	1	5
38	все это	5	5
39	слово как	1	5
40	с другой	4	5
41	на своем	1	5
42	одним из	2	4
43	поэзии и	1	4
44	в ней	1	4
45	меньшей степени	2	4
46	с его	2	4
47	за пределы	1	4
48	в которой	1	4
49	но именно	1	4
50	всех этих	2	4
51	не как	3	4
52	у толстого	1	4
53	связанных с	1	4
54	и с	2	4
55	входит в	1	4
56	как и	3	4
57	в их	4	4
58	речи в	1	4
59	в процессе	1	4
60	и для	2	4
61	жанра в	1	4
62	ничего не	2	4
63	о нем	1	4
64	все его	1	4
65	язык в	1	4
66	большей или	1	4
67	с одной	1	4
68	или меньшей	1	4
69	одной стороны	1	4
70	и все	1	4
71	и потому	1	4
72	и формы	3	4
73	у стерна	1	4
74	другой стороны	3	4
75	данном случае	1	3
76	в своем	1	3
77	более или	1	3
78	бы и	2	3
79	в себе	2	3
80	связанные с	1	3
81	было бы	3	3
82	он не	1	3
83	или менее	1	3
84	она не	1	3
85	никогда не	1	3
86	произведения как	1	3
87	не могут	2	3
88	формы и	2	3
89	о том	1	3
90	переходит в	1	3
91	того что	1	3
92	в том	2	3
93	бы ни	1	3
94	в качестве	1	3
95	конечно не	4	3
96	его и	2	3
97	для него	3	3
98	у него	1	3
99	как такового	3	3
100	быть тем	1	3
101	не было	1	3
102	в данном	1	3
103	по существу	2	3
104	в большей	1	3
105	хотя бы	5	3
106	и стилистики	1	3
107	в свое	1	3
108	а между	2	2
109	в котором	1	2
110	той же	1	2
111	а как	2	2
112	мы не	2	2
