N	2gram	Nazirov_Tv_2	Literetu
1	а не	6	20
2	и в	20	19
3	может быть	8	17
4	своего рода	3	13
5	то же	7	12
6	и не	9	11
7	как и	6	10
8	в том	8	10
9	но и	8	10
10	тогда как	3	9
11	в этом	8	9
12	в то	10	9
13	в мире	5	9
14	же время	7	9
15	не может	7	9
16	такого рода	1	9
17	не только	13	8
18	и даже	5	8
19	с другой	2	8
20	том что	4	7
21	так и	6	7
22	с одной	1	7
23	то что	3	7
24	и на	5	6
25	в себе	3	6
26	при этом	8	6
27	однако в	1	6
28	не менее	2	6
29	себя в	2	6
30	в году	16	5
31	я не	2	5
32	столь же	1	5
33	но не	5	5
34	конечном счете	1	5
35	в принципе	4	5
36	он не	3	5
37	одна из	3	5
38	так в	2	5
39	в конечном	1	5
40	у нас	2	5
41	на фоне	1	5
42	то есть	5	5
43	вместе с	3	5
44	в сфере	1	4
45	мы не	4	4
46	по отношению	3	4
47	так что	2	4
48	отнюдь не	4	4
49	в рамках	1	4
50	едва ли	2	4
51	человека в	3	4
52	для него	3	4
53	в поэме	1	4
54	не в	4	4
55	даже в	1	4
56	в русской	2	4
57	в области	1	4
58	ли не	2	4
59	еще в	1	4
60	в его	10	4
61	один из	3	4
62	и других	2	4
63	не случайно	2	4
64	тем что	3	4
65	прежде всего	8	4
66	в частности	2	4
67	в искусстве	2	4
68	жизни в	3	4
69	другой стороны	2	4
70	что в	7	4
71	речь идет	1	3
72	одним из	3	3
73	как я	1	3
74	и он	2	3
75	во всех	1	3
76	как правило	2	3
77	в противовес	1	3
78	в этой	5	3
79	наш взгляд	2	3
80	в нем	3	3
81	на наш	2	3
82	в глазах	1	3
83	но лишь	1	3
84	такой же	2	3
85	в их	3	3
86	права на	2	3
87	том чтобы	1	3
88	тем самым	4	3
89	вплоть до	1	3
90	не столько	2	3
91	никогда не	11	3
92	ничего не	4	3
93	х годов	3	3
94	и его	9	3
95	личности в	2	3
96	в себя	1	3
97	не с	1	3
98	и с	8	3
99	быть может	3	3
100	в другом	1	3
101	в художественной	1	3
102	в поэзии	1	3
103	а в	4	3
104	так как	3	3
105	следует признать	1	3
106	и др	3	3
107	со стороны	1	3
108	мыслится как	1	3
109	но это	5	3
110	в начале	3	3
111	и для	1	3
112	и как	1	3
113	что он	6	3
114	отношению к	3	3
115	как на	1	3
116	ту же	1	2
117	и т	13	2
118	же как	3	2
119	я тебя	1	2
120	и до	1	2
121	и за	1	2
122	той же	1	2
123	это прежде	2	2
124	в первый	1	2
125	из своих	1	2
126	на себя	1	2
127	жизни как	1	2
128	нам представляется	1	2
129	во имя	1	2
130	но как	1	2
131	если в	1	2
132	есть по	1	2
133	в истории	2	2
134	все же	5	2
135	как уже	1	2
136	и наконец	2	2
137	и к	1	2
138	но в	4	2
139	в противоположность	1	2
140	то в	1	2
141	в целом	6	2
142	представляет собой	1	2
143	отказа от	1	2
144	о которой	1	2
145	и сам	5	2
146	на жизнь	1	2
147	русской классической	1	2
148	в каждом	1	2
149	а затем	3	2
150	в жизни	1	2
151	но уже	3	2
152	в них	1	2
153	нет в	1	2
154	соответствии с	4	2
155	с этой	3	2
156	и еще	2	2
157	как бы	11	2
158	в такой	2	2
159	и без	2	2
160	не к	1	2
161	мысли и	1	2
162	что я	2	2
163	случае это	1	2
164	по преимуществу	2	2
165	одном из	2	2
166	такую же	1	2
167	по крайней	2	2
168	из нас	2	2
169	в основе	2	2
170	но только	1	2
171	не вполне	1	2
172	перед ним	1	2
173	могут быть	2	2
174	восходит к	2	2
175	для себя	1	2
176	в виду	1	2
177	в ее	2	2
178	это как	1	2
179	еще не	5	2
180	о том	5	2
181	и что	2	2
182	для нас	1	2
183	русской литературе	1	2
184	а потому	1	2
185	и только	2	2
186	крайней мере	2	2
187	в русском	1	2
188	было бы	1	2
189	и одновременно	1	2
190	тот же	1	2
191	одной из	3	2
192	друг друга	2	2
193	потому что	7	2
194	уже не	3	2
195	уже в	2	2
196	с другим	2	2
197	из них	2	2
198	был бы	1	2
199	не так	2	2
200	в одном	2	2
201	т п	2	2
202	в конце	6	2
203	что и	1	2
204	вовсе не	2	2
205	при всей	1	2
206	у него	6	2
207	как раз	1	2
208	что не	3	2
209	выше и	1	2
210	не было	2	2
211	в россии	2	2
212	как это	1	2
213	к жизни	2	2
214	это его	2	2
215	на свете	1	2
216	под названием	1	2
217	и нет	1	2
218	при всем	1	2
219	не является	3	2
220	в результате	1	2
221	а к	1	2
222	с ним	3	2
223	первый раз	1	2
224	не знает	1	2
225	героя в	4	2
226	себе не	1	2
227	разговоре с	1	2
228	в своих	3	2
229	том числе	1	2
230	и вновь	1	2
231	с новыми	1	1
232	от личности	1	1
233	так я	1	1
234	начинается с	2	1
235	которого в	1	1
236	пример и	1	1
237	это и	1	1
238	эту жизнь	1	1
239	перед читателем	1	1
240	перед лицом	1	1
241	в первом	1	1
242	если б	1	1
243	нас на	1	1
244	из всех	1	1
245	текста как	1	1
246	это совершенно	1	1
247	как мы	1	1
248	что уже	1	1
249	сведена к	1	1
250	на место	1	1
251	по справедливому	1	1
252	эстетики и	1	1
253	ты как	1	1
254	личности с	1	1
255	дает им	1	1
256	с большой	1	1
257	он был	1	1
258	он сам	3	1
259	за это	1	1
260	в чем	4	1
261	истории в	1	1
262	самом деле	2	1
263	то он	1	1
264	целом ряде	1	1
265	сознания не	1	1
266	отличие от	2	1
267	глаза его	1	1
268	в произведениях	2	1
269	и я	1	1
270	это самое	1	1
271	писателя в	2	1
272	общего с	1	1
273	как в	4	1
274	стороны и	1	1
275	о жизни	3	1
276	в душу	1	1
277	однако не	1	1
278	когда он	4	1
279	я должен	1	1
280	и свою	1	1
281	в этот	2	1
282	за собой	4	1
283	поэтому он	1	1
284	для которого	2	1
285	в самом	3	1
286	героя и	2	1
287	мы чувствуем	1	1
288	разве я	1	1
289	в литературном	2	1
290	что это	1	1
291	от бога	1	1
292	все эти	4	1
293	во многих	2	1
294	за их	1	1
295	в известном	1	1
296	особое место	2	1
297	но он	1	1
298	после чего	1	1
299	на то	1	1
300	в случае	1	1
301	например как	1	1
302	которого любой	1	1
303	этот день	1	1
304	в статье	2	1
305	уже тогда	1	1
306	пред вами	1	1
307	а скорее	2	1
308	же это	1	1
309	и вот	1	1
310	в живых	1	1
311	на земле	1	1
312	внутренний мир	1	1
313	в творческом	5	1
314	и по	2	1
315	ни был	1	1
