N	2gram	Nazirov_Vr_1	ViktorSh
1	конце концов	1	2
2	и в	8	2
3	том что	3	2
4	в том	3	2
5	в конце	3	2
6	ничуть не	1	1
7	крайней мере	1	1
8	тем более	2	1
9	под влиянием	1	1
10	и не	5	1
11	и его	3	1
12	потому что	1	1
13	полемизируя с	1	1
14	я не	3	1
15	один пример	1	1
16	и то	2	1
17	же с	1	1
18	и т.д	1	1
19	все это	4	1
20	именно в	1	1
21	в их	1	1
22	как же	2	1
23	в частности	1	1
24	так в	2	1
25	одно и	1	1
26	столь же	2	1
27	в самом	1	1
28	то же	5	1
29	ясно что	1	1
30	далеко не	3	1
31	что слово	1	1
32	не будем	1	1
33	но это	2	1
34	в этом	8	1
35	да и	1	1
36	имеется в	1	1
37	по крайней	1	1
38	к этому	3	1
39	не хотел	1	1
40	том же	2	1
