N	2gram	Nazirov_Tr_1	VeschiIm
1	не есть	1	49
2	т е	1	42
3	не может	5	33
4	не только	8	31
5	может быть	7	29
6	и не	7	28
7	и в	18	26
8	то что	4	24
9	и есть	1	23
10	и т	1	21
11	а не	1	20
12	что имя	1	19
13	не просто	2	18
14	что я	4	16
15	что она	2	14
16	только в	1	14
17	вещи с	1	14
18	по себе	1	13
19	и что	4	13
20	того что	1	13
21	и то	2	12
22	все же	5	12
23	что это	5	12
24	и ее	2	12
25	но и	4	12
26	таким образом	1	11
27	то же	5	10
28	в ней	1	10
29	не значит	1	10
30	как бы	7	10
31	потому что	2	10
32	уже не	2	10
33	в самом	2	9
34	и с	7	9
35	в том	2	9
36	что не	1	9
37	прежде всего	4	9
38	с ее	3	8
39	в себе	4	8
40	и это	2	8
41	ничего не	2	8
42	но это	4	8
43	в этом	9	7
44	его в	2	7
45	том что	4	7
46	в то	5	7
47	ли это	1	7
48	что оно	1	7
49	указывает на	1	7
50	и их	1	7
51	– в	1	7
52	от всего	2	7
53	совершенно не	1	7
54	есть и	1	7
55	и как	3	6
56	но в	6	6
57	бы и	2	6
58	но если	1	6
59	с ним	3	6
60	ее не	1	6
61	она не	1	6
62	можно было	1	6
63	должно быть	3	6
64	так что	2	6
65	для него	3	6
66	в результате	1	6
67	что в	4	6
68	это и	1	5
69	и до	2	5
70	на себя	1	5
71	в чем	1	5
72	но не	1	5
73	отнюдь не	3	5
74	чем же	1	5
75	должна быть	1	5
76	вообще не	1	5
77	содержит в	1	5
78	что тут	1	5
79	это не	5	5
80	с тем	2	5
81	не в	2	5
82	тем не	1	5
83	не менее	1	5
84	одна из	2	5
85	в ее	2	5
86	еще не	4	5
87	с этой	1	5
88	из себя	1	5
89	в и	1	4
90	я не	4	4
91	во всех	1	4
92	в своем	3	4
93	же не	1	4
94	как и	5	4
95	же время	6	4
96	и о	1	4
97	о том	2	4
98	что и	2	4
99	то и	2	4
100	тем что	2	4
101	и даже	4	4
102	даже не	1	4
103	как же	2	4
104	когда я	1	4
105	и потому	1	4
106	в данном	2	4
107	быть не	1	4
108	и все	4	4
109	от самой	1	3
110	сам по	1	3
111	самом деле	1	3
112	вещами и	1	3
113	вопрос о	2	3
114	в нем	4	3
115	перестает быть	1	3
116	что нужно	1	3
117	на этом	1	3
118	было в	2	3
119	несмотря на	5	3
120	в своей	1	3
121	не понимает	1	3
122	все это	4	3
123	чтобы она	1	3
124	и притом	1	3
125	того чтобы	1	3
126	или как	1	3
127	к ней	1	3
128	к себе	1	3
129	к тому	2	3
130	и сам	3	3
131	так и	5	3
132	один из	3	3
133	мы видим	1	3
134	что он	6	3
135	но как	1	3
136	только на	1	3
137	и чисто	1	3
138	а это	1	3
139	в одном	2	3
140	отношение к	2	3
141	никогда не	2	3
142	вместе с	1	3
143	что именно	1	3
144	в той	1	3
145	она должна	2	3
146	это может	1	3
147	бы в	1	3
148	хотя бы	1	3
149	я в	1	3
150	не быть	1	3
151	в сфере	1	2
152	как это	3	2
153	в первом	2	2
154	ту же	1	2
155	той же	1	2
156	как мы	1	2
157	человека и	1	2
158	и мира	1	2
159	тогда как	1	2
160	тут же	2	2
161	наряду с	1	2
162	как в	3	2
163	что ее	1	2
164	что на	1	2
165	то в	1	2
166	только один	1	2
167	если он	1	2
168	и если	1	2
169	он не	2	2
170	душу и	1	2
171	и вот	1	2
172	но все	2	2
173	а затем	1	2
174	об этом	4	2
175	и чтобы	1	2
176	на все	1	2
177	то есть	3	2
178	ни в	2	2
179	но уже	1	2
180	не мог	2	2
181	знает и	1	2
182	жизнь и	3	2
183	есть смысл	1	2
184	тому что	1	2
185	но они	2	2
186	что ему	1	2
187	но только	1	2
188	в самой	1	2
189	и его	6	2
190	это уже	2	2
191	как некое	1	2
192	данном случае	2	2
193	об отношении	1	2
194	говорили что	1	2
195	с собой	1	2
196	мог бы	3	2
197	в виду	1	2
198	на вопрос	1	2
199	это было	1	2
200	заключается в	1	2
201	к личности	1	2
202	как нечто	1	2
203	не из	1	2
204	только к	2	2
205	на столе	1	2
206	не случайно	2	2
207	в особенности	1	2
208	может ли	1	2
209	ничем не	2	2
210	именно так	1	2
211	о чем	3	2
212	в частности	2	2
213	говорится о	1	2
214	навсегда и	1	2
215	это выражение	1	2
216	не я	1	2
217	к ее	1	2
218	жизни в	1	2
219	нужно для	1	2
220	состоит из	2	2
221	но еще	1	2
222	а я	5	2
223	так же	4	2
224	во всяком	1	2
225	эта новая	1	1
226	я и	1	1
227	ли мы	1	1
228	также что	1	1
229	чтобы не	1	1
230	это значит?	1	1
231	же по	1	1
232	что когда	1	1
233	от самого	1	1
234	из самых	2	1
235	она все	2	1
236	что эти	2	1
237	исходит из	1	1
238	хотя сам	1	1
239	в которой	1	1
240	что уже	1	1
241	из своих	2	1
242	вместо того	1	1
243	уже в	3	1
244	в xix	1	1
245	другим в	2	1
246	и на	7	1
247	между собой	1	1
248	себя а	1	1
249	всего этого	1	1
250	с его	2	1
251	ее к	2	1
252	могло быть	1	1
253	всегда стремится	1	1
254	в общем	1	1
255	с совершенно	1	1
256	отличие от	2	1
257	в настоящем	1	1
258	от злости	1	1
259	понял и	1	1
260	в истории	1	1
261	сознательно и	1	1
262	эта связь	1	1
263	перед нами	2	1
264	слова он	1	1
265	чего же	1	1
266	все эти	3	1
267	но без	1	1
268	в этой	4	1
269	жизнь как	1	1
270	как он	1	1
271	не могла	1	1
272	при этом	3	1
273	что же?	2	1
274	и еще	1	1
275	и совершенно	1	1
276	к одному	1	1
277	не к	1	1
278	не как	1	1
279	и по	1	1
280	конечно в	1	1
281	и общий	1	1
282	по природе	1	1
283	– со	1	1
284	в это	2	1
285	который сам	1	1
286	во многом	1	1
287	в них	1	1
288	а за	1	1
289	со своими	1	1
290	он и	2	1
291	и вне	1	1
292	даже я	1	1
293	же я	1	1
294	пусть мы	2	1
295	же ведь	1	1
296	этом случае	1	1
297	я его	1	1
298	я опять	1	1
299	в котором	1	1
300	ту сторону	1	1
301	то для	1	1
302	уместно вспомнить	1	1
303	совершенно случайно	1	1
304	представление о	1	1
305	в отличие	2	1
306	стало быть	1	1
307	но эта	2	1
308	тем самым	3	1
309	не могли	1	1
310	с такими	1	1
311	iii и	1	1
312	раз и	2	1
313	особым образом	1	1
314	что эта	1	1
315	что с	3	1
