N	2gram	Tiupa_Narr_1	FransuaR
1	и в	19	41
2	то есть	19	20
3	таким образом	1	19
4	в этом	17	15
5	как и	7	14
6	и все	2	14
7	то же	4	13
8	все эти	2	13
9	в этой	5	13
10	мы уже	1	12
11	в его	9	12
12	в себе	8	11
13	как мы	3	11
14	в том	18	11
15	прежде всего	4	11
16	так и	9	10
17	в то	3	10
18	никто не	1	10
19	в своем	2	9
20	не в	14	9
21	же время	4	9
22	и его	5	9
23	в качестве	21	9
24	и т.п	8	9
25	но и	23	9
26	что в	3	9
27	но в	6	8
28	в конце	1	8
29	то что	11	8
30	и от	1	8
31	по существу	2	8
32	в нем	4	7
33	вовсе не	1	7
34	в них	1	7
35	как бы	4	7
36	и не	20	7
37	и до	2	6
38	ни в	3	6
39	о том	6	6
40	только в	4	6
41	это не	2	6
42	есть в	2	6
43	для него	2	6
44	у него	4	6
45	в году	1	5
46	как в	7	5
47	в эпизоде	3	5
48	и к	1	5
49	не только	32	5
50	в плане	1	5
51	на этом	1	5
52	мы видели	1	5
53	точки зрения	10	5
54	потому что	1	5
55	всего в	1	5
56	в ней	3	5
57	к нему	5	5
58	на одном	1	5
59	до нас	1	5
60	и у	1	5
61	уже в	3	5
62	что и	1	5
63	так же	2	5
64	и для	2	5
65	в другое	1	5
66	а в	11	5
67	место в	1	4
68	в сущности	3	4
69	и на	3	4
70	хотя и	3	4
71	и наконец	1	4
72	та же	2	4
73	что это	3	4
74	он не	3	4
75	на земле	1	4
76	картины мира	5	4
77	но все	4	4
78	и с	4	4
79	том что	14	4
80	но он	1	4
81	одна из	3	4
82	ничего не	2	4
83	в виду	1	4
84	и здесь	1	4
85	слов и	1	4
86	может быть	25	4
87	было бы	4	4
88	мира в	5	4
89	к жизни	1	4
90	мира и	2	4
91	том числе	6	4
92	например в	2	3
93	он может	1	3
94	и есть	1	3
95	с точки	2	3
96	с ее	3	3
97	на них	1	3
98	во всех	1	3
99	совсем не	1	3
100	от этого	1	3
101	лица и	2	3
102	так сказать	1	3
103	при этом	9	3
104	но именно	1	3
105	и по	1	3
106	в мире	9	3
107	его в	2	3
108	несмотря на	2	3
109	таким же	1	3
110	в их	1	3
111	тем самым	6	3
112	не имеет	2	3
113	тем что	3	3
114	как о	1	3
115	очень часто	1	3
116	все то	2	3
117	свою очередь	3	3
