N	2gram	Tiupa_Anal_2	ViktorSh
1	в том	12	2
2	и в	16	2
3	в конце	4	2
4	том что	12	2
5	речи и	2	1
6	только в	4	1
7	и не	12	1
8	в другом	1	1
9	то же	4	1
10	и заключается	1	1
11	уже известно	1	1
12	по крайней	3	1
13	так как	1	1
14	и его	4	1
15	к этому	2	1
16	да и	1	1
17	прозы в	1	1
18	сколь и	1	1
19	в этом	18	1
20	крайней мере	3	1
21	столь же	4	1
22	сводится к	3	1
23	том же	1	1
24	в их	3	1
25	именно в	3	1
26	ни к	1	1
27	и то	3	1
28	в частности	16	1
29	по поводу	3	1
30	потому что	1	1
31	далеко не	1	1
32	хотя бы	1	1
33	в значительной	2	1
34	в самом	6	1
35	и т.д	3	1
36	имеется в	1	1
37	по существу	2	1
38	другое дело	1	1
39	даже не	1	1
40	и способами	1	1
41	все это	4	1
42	бы уже	1	1
43	ведь это	2	1
44	но это	1	1
45	в устах	2	1
46	одно и	1	1
47	самом деле	1	1
48	значительной степени	2	1
49	тем более	1	1
50	я не	1	1
