N	3gram	Losev_Dial_3	EvropaiE
1	с точки зрения	14	16
2	в то же	1	15
3	то же время	1	14
4	и в то	1	8
5	с одной стороны	3	8
6	одной стороны и	1	6
7	в том что	3	6
8	с этой точки	2	5
9	так же как	2	5
10	этой точки зрения	2	5
11	бы то ни	1	4
12	то ни было	1	4
13	и в этом	2	4
14	того или иного	2	4
15	само по себе	5	4
16	той или иной	2	4
17	же как и	1	3
18	в этом отношении	1	3
19	в применении к	1	3
20	во всяком случае	2	3
21	и прежде всего	3	3
22	имеет место в	1	2
23	не говоря уже	2	2
24	из того что	2	2
25	и в частности	1	2
26	в данном случае	1	2
27	с другой стороны	2	2
28	не может быть	6	2
29	в одном из	1	2
30	есть не только	2	2
31	на то что	3	2
32	в этом мире	1	1
33	хотя и не	2	1
34	из всего этого	1	1
35	чем в других	1	1
36	в последнее время	1	1
37	но так как	1	1
38	хотя бы только	2	1
39	более или менее	1	1
40	то что с	1	1
41	сотни и тысячи	1	1
42	и не только	3	1
43	если так то	1	1
44	совершенно достаточно чтобы	1	1
45	в лучшем случае	1	1
46	говоря уже о	2	1
47	есть то что	5	1
48	и это потому	1	1
49	и та же	1	1
50	и эта последняя	1	1
51	религии и философии	1	1
52	не значит ли	1	1
53	этом отношении с	1	1
54	в силу этого	2	1
55	это может быть	1	1
56	и имеет место	1	1
57	только в виде	1	1
58	и в отношении	1	1
59	не могут быть	2	1
60	то время как	4	1
61	в связи с	1	1
62	так как мы	1	1
63	мы отнюдь не	1	1
64	одна и та	1	1
65	в каком смысле	3	1
66	этом несмотря на	1	1
67	это потому что	1	1
68	именно тогда когда	1	1
69	вовсе не в	1	1
70	мы не можем	2	1
71	том смысле что	1	1
72	в то время	4	1
73	связи с этим	1	1
74	это значит что	21	1
75	и даже более	1	1
76	речь идет о	1	1
77	во всем его	1	1
78	не более как	1	1
79	для нас в	2	1
80	к тому что	2	1
81	в том смысле	1	1
82	тех или иных	1	1
83	т е не	4	1
84	в себе не	1	1
85	к тому же	2	1
86	только тогда когда	3	1
87	поскольку речь идет	1	1
88	и т д	23	1
