N	3gram	Propp_Isto_7	VLabPisa
1	и т д	16	15
2	и т п	1	9
3	с другой стороны	8	8
4	не может быть	3	8
5	по отношению к	1	7
6	более или менее	1	6
7	в зависимости от	1	5
8	в связи с	1	4
9	в том что	4	4
10	о том как	1	3
11	вместе с тем	1	3
12	мы видели что	1	3
13	о том что	5	3
14	к тому что	1	3
15	в другом месте	1	2
16	до сих пор	2	2
17	можно было бы	1	2
18	в том чтобы	2	2
19	с одной стороны	4	2
20	ни один из	1	2
21	они должны быть	1	2
22	во всех этих	6	2
23	в этом и	2	2
24	этой точки зрения	3	2
25	мы знаем что	1	2
26	материалы показывают что	2	1
27	и может быть	1	1
28	при помощи которых	1	1
29	на этот вопрос	2	1
30	хотя и не	1	1
31	идти только о	2	1
32	в которой он	1	1
33	к этому же	1	1
34	из этих способностей	1	1
35	то время как	2	1
36	в самом деле	1	1
37	же как и	1	1
38	и он же	1	1
39	т д что	1	1
40	с этой точки	3	1
41	совершенно очевидно что	1	1
42	сама по себе	1	1
43	что он не	1	1
44	но и в	2	1
45	т д но	1	1
46	только в том	1	1
47	то что в	3	1
48	как это происходит	2	1
49	может идти только	2	1
50	не отличается от	1	1
51	как если бы	1	1
52	эти примеры показывают	1	1
53	говорит о том	1	1
54	в этом же	1	1
55	ту или иную	1	1
56	что во всех	1	1
57	в данном случае	3	1
58	по этому вопросу	1	1
59	один из них	1	1
60	не только в	5	1
61	таким образом и	1	1
62	речь может идти	2	1
63	об этом же	1	1
64	то же самое	1	1
65	так же как	4	1
66	одна из них	1	1
67	мы видим что	3	1
68	это одна из	1	1
69	имеем дело с	1	1
70	оно может быть	1	1
71	все же не	1	1
72	ответ на этот	1	1
73	на вопрос что	1	1
74	что они не	1	1
75	а в том	2	1
76	но с другой	1	1
77	в то время	2	1
78	это происходит в	2	1
79	невозможно речь может	1	1
80	одна из форм	1	1
81	образом связана с	1	1
82	вопрос о том	1	1
83	по его мнению	1	1
84	от всех других	2	1
85	лежит в основе	2	1
86	после того как	2	1
87	по существу в	1	1
88	все это не	1	1
89	дело не в	3	1
90	не в этом	1	1
91	т е в	2	1
