N	2gram	Losev_Dial_3	VrazhdaK
1	не только	23	9
2	в этом	8	8
3	и в	24	8
4	и что	15	8
5	но и	9	7
6	и все	6	7
7	то что	14	7
8	что в	7	7
9	все же	3	6
10	но в	2	6
11	в нем	3	6
12	как и	7	6
13	в котором	1	6
14	и с	6	6
15	о нем	4	6
16	и даже	13	6
17	– это	6	6
18	то же	6	5
19	об этом	6	5
20	в то	5	5
21	же время	3	5
22	у него	2	5
23	не было	3	5
24	и не	27	5
25	в ней	2	4
26	что он	13	4
27	в истории	4	4
28	целый ряд	2	4
29	при этом	2	4
30	это не	4	4
31	несмотря на	2	4
32	все это	6	4
33	в виду	7	4
34	во многом	1	4
35	с ним	1	4
36	о том	6	4
37	для нас	2	4
38	может быть	13	4
39	как бы	3	4
40	в своих	2	4
41	так же	4	4
42	речь идет	1	3
43	я не	6	3
44	он был	1	3
45	в чем	4	3
46	с его	2	3
47	в своем	3	3
48	и как	8	3
49	в этот	1	3
50	на то	3	3
51	его в	1	3
52	он не	5	3
53	далеко не	1	3
54	и уже	2	3
55	том что	8	3
56	но он	1	3
57	что есть	4	3
58	и его	5	3
59	связи с	1	3
60	и о	3	3
61	что у	2	3
62	и во	2	3
63	в его	2	3
64	в том	5	3
65	и у	2	3
66	чтобы он	1	3
67	тем что	3	3
68	в связи	1	3
69	о себе	2	3
70	я хотел	1	3
71	т е	48	3
72	отношения к	1	2
73	же как	2	2
74	и то	4	2
75	на место	1	2
76	и он	2	2
77	но как	2	2
78	тогда как	1	2
79	отнюдь не	10	2
80	его на	2	2
81	что к	1	2
82	в себе	2	2
83	чувств и	1	2
84	после этого	1	2
85	их в	2	2
86	таким образом	13	2
87	в мире	1	2
88	в них	5	2
89	мы знаем	3	2
90	не мог	1	2
91	на первый	4	2
92	во время	1	2
93	точки зрения	25	2
94	и ее	3	2
95	с точки	14	2
96	место в	1	2
97	не менее	11	2
98	одна из	3	2
99	никогда не	7	2
100	его с	1	2
101	и это	4	2
102	россии в	1	2
103	так в	2	2
104	еще не	2	2
105	тем более	3	2
106	об их	1	2
107	уже не	5	2
108	при помощи	3	2
109	из них	3	2
110	для него	4	2
111	к ним	1	2
112	как раз	7	2
113	как же	5	2
114	о чем	1	2
115	не может	19	2
116	вместе с	1	2
117	в него	1	2
118	в это	1	2
119	но это	5	2
120	же в	2	2
121	очень хорошо	1	2
122	а в	2	2
123	личность и	2	2
124	себя как	3	1
125	от этой	1	1
126	этого в	1	1
127	также и	2	1
128	он весьма	1	1
129	и общественную	1	1
130	это и	7	1
131	идет о	1	1
132	и есть	16	1
133	по преимуществу	1	1
134	едва ли	1	1
135	уже по	2	1
136	в их	2	1
137	по его	1	1
138	вы не	6	1
139	той же	3	1
140	что уже	1	1
141	пока только	1	1
142	что никто	1	1
143	начинается с	1	1
144	еще до	1	1
145	говорить о	4	1
146	в разные	2	1
147	меня в	2	1
148	утверждаю что	5	1
149	одном из	1	1
150	на них	2	1
151	первый план	4	1
152	влияния на	1	1
153	крестьян и	1	1
154	по своему	1	1
155	а следовательно	1	1
156	не мешало	1	1
157	но не	2	1
158	о смерти	1	1
159	в сторону	1	1
160	она появилась	1	1
161	есть по	1	1
162	тут же	1	1
163	чтобы потом	1	1
164	и я	3	1
165	независимо от	1	1
166	с этим	3	1
167	по которому	2	1
168	как к	1	1
169	что как	1	1
170	в мысли	2	1
171	и наконец	1	1
172	нападает на	1	1
173	себе не	1	1
174	них он	1	1
175	тут нет	1	1
176	то в	2	1
177	нему с	1	1
178	в самом	7	1
179	что это	12	1
180	что же	11	1
181	пользу и	1	1
182	тому же	2	1
183	во многих	1	1
184	но ведь	1	1
185	он всегда	1	1
186	да и	1	1
187	высшей степени	1	1
188	при виде	1	1
189	всех этих	1	1
190	же это	1	1
191	чем у	1	1
192	в силу	3	1
193	сказал что	1	1
194	из него	1	1
195	что ни	1	1
196	которым не	1	1
197	и этот	1	1
198	людей и	2	1
199	одно и	5	1
200	это конечно	1	1
201	не будет	3	1
202	из-за этого	1	1
203	есть все	1	1
204	в глубине	1	1
205	говорить не	2	1
206	это было	3	1
207	было бы	5	1
208	не помогут	1	1
209	не ясно	1	1
210	этого не	2	1
211	не всегда	1	1
212	во внимание	2	1
213	которой он	1	1
214	он и	3	1
215	несколько минут	1	1
216	может идти	1	1
217	такой же	1	1
218	он сказал	1	1
219	но я	1	1
220	в этих	1	1
221	или вообще	1	1
222	всяком случае	2	1
223	на свою	1	1
224	представление о	1	1
225	и уж	2	1
226	тем не	10	1
227	по крайней	5	1
228	без всяких	1	1
229	есть еще	3	1
230	что этот	2	1
231	далее я	1	1
232	и какая	1	1
233	раз и	3	1
234	вплоть до	1	1
235	но они	2	1
236	тем самым	3	1
237	всего была	1	1
238	что эта	1	1
239	человека но	1	1
240	это дает	1	1
241	не имеет	11	1
242	в процессе	1	1
243	как о	4	1
244	близок к	1	1
245	это опять	1	1
246	только не	10	1
247	следовательно и	2	1
248	ничего не	17	1
249	того как	1	1
250	в другую	1	1
251	он хочет	1	1
252	по своей	1	1
253	такая же	1	1
254	потому что	7	1
255	хочет быть	2	1
256	этом отношении	1	1
257	в каком	3	1
258	ли это	1	1
259	этот закон	1	1
260	только от	2	1
261	этот факт	1	1
262	могут быть	2	1
263	отличается от	8	1
264	за что	1	1
265	не есть	54	1
266	не забудем	2	1
267	с ее	1	1
268	это будет	4	1
269	в ее	1	1
270	только при	1	1
271	другой раз	1	1
272	то время	4	1
273	верит в	1	1
274	и сам	1	1
275	так и	5	1
276	не с	1	1
277	ясно что	7	1
278	было в	1	1
279	согласен что	1	1
280	жизнь и	4	1
281	быть может	3	1
282	и вообще	2	1
283	во всяком	2	1
284	до сих	1	1
285	нас в	2	1
286	к нему	3	1
287	во всех	1	1
288	я думаю	2	1
289	из своего	1	1
290	я вижу	3	1
291	крайней мере	5	1
