N	4gram	Vinokur_Ku_2	Myshleni
1	заключается в том что	1	4
2	состоит в том что	1	3
3	в предисловии к книге	1	1
4	дело в том что	1	1
5	ответ на этот вопрос	1	1
6	только для того чтобы	1	1
7	что это действительно так	1	1
8	только в том что	1	1
9	несмотря на то что	1	1
10	зависит не только от	1	1
11	чтобы показать что в	1	1
12	том случае если бы	1	1
13	само по себе не	1	1
14	и до некоторой степени	1	1
15	бы то ни было	1	1
16	он был бы вполне	1	1
17	в зависимости от того	1	1
18	все более и более	1	1
19	в том случае если	2	1
20	и в самом деле	2	1
21	можно было бы привести	2	1
22	в связи с этим	1	1
