N	2gram	Bakhtin_Fr_5	Vvedenie
1	и в	45	32
2	в том	10	31
3	в этом	14	30
4	том что	7	26
5	может быть	2	26
6	не только	14	22
7	для того	6	21
8	того чтобы	6	20
9	таким образом	8	19
10	также и	7	18
11	то что	2	16
12	потому что	7	15
13	так как	6	15
14	не может	5	14
15	в самом	4	13
16	в нем	10	13
17	о том	4	13
18	в их	4	12
19	в общем	4	12
20	в его	13	12
21	того что	3	12
22	только в	4	12
23	и не	15	12
24	как на	4	12
25	как мы	8	11
26	в данном	2	11
27	что в	12	10
28	то же	11	9
29	в истории	2	9
30	и как	5	9
31	но в	14	9
32	между тем	2	9
33	в той	1	9
34	этого рода	1	9
35	это не	3	8
36	не в	7	8
37	тем не	1	8
38	не менее	3	8
39	именно в	3	8
40	самом деле	5	7
41	но не	4	7
42	все же	2	7
43	было бы	2	7
44	точки зрения	4	7
45	уже и	2	7
46	можно было	4	7
47	прежде всего	10	7
48	и это	4	6
49	из этих	3	6
50	как он	3	6
51	его в	5	6
52	с тем	2	6
53	как и	10	6
54	вовсе не	8	6
55	в то	11	6
56	в качестве	2	6
57	же время	9	6
58	тем что	1	6
59	не могут	2	6
60	один из	2	6
61	и его	13	6
62	и даже	4	6
63	до сих	3	6
64	но и	10	6
65	а именно	2	6
66	сих пор	3	6
67	все это	7	6
68	хотя бы	2	6
69	одним из	5	5
70	а как	1	5
71	в целом	2	5
72	иное как	1	5
73	так например	2	5
74	об этом	4	5
75	данном случае	2	5
76	в них	6	5
77	в которых	3	5
78	сказать что	4	5
79	что не	1	5
80	на этот	3	5
81	а не	4	5
82	по своему	4	5
83	в течение	3	5
84	как бы	12	5
85	в г	2	5
86	есть и	5	5
87	вместе с	3	5
88	связана с	1	4
89	как это	4	4
90	связи между	1	4
91	той же	4	4
92	что иное	1	4
93	по отношению	1	4
94	не просто	1	4
95	независимо от	2	4
96	от этого	2	4
97	в себе	1	4
98	должен был	1	4
99	в своей	3	4
100	в котором	1	4
101	не имеет	3	4
102	в каждом	2	4
103	здесь нет	3	4
104	это только	1	4
105	на вопрос	1	4
106	и т.д	2	4
107	времени и	1	4
108	и что	2	4
109	как она	1	4
110	и история	1	4
111	еще не	1	4
112	что он	6	4
113	и ее	1	4
114	в виде	1	4
115	одно из	2	4
116	как раз	5	4
117	этом отношении	5	4
118	в особенности	2	4
119	еще и	3	4
120	о чем	3	4
121	и для	3	4
122	а в	4	4
123	не что	1	4
124	отношению к	1	4
125	во всяком	1	4
126	и есть	2	3
127	что уже	1	3
128	в сущности	4	3
129	говорить о	2	3
130	то это	1	3
131	и на	5	3
132	в различных	2	3
133	в чем	2	3
134	своего рода	4	3
135	хотя и	5	3
136	и к	5	3
137	сливается с	1	3
138	бы и	1	3
139	что это	2	3
140	все эти	5	3
141	в этой	6	3
142	что она	3	3
143	как оно	1	3
144	при этом	2	3
145	если бы	1	3
146	не как	1	3
147	вообще не	3	3
148	смысле как	1	3
149	на этом	5	3
150	на этой	1	3
151	второй половины	2	3
152	в свое	1	3
153	мы видели	7	3
154	строгом смысле	1	3
155	здесь все	3	3
156	нисколько не	3	3
157	со всей	1	3
158	понятно что	1	3
159	и вот	3	3
160	есть еще	1	3
161	тогда когда	1	3
162	дело в	3	3
163	связи с	6	3
164	как будто	1	3
165	в области	1	3
166	но все	1	3
167	должен быть	2	3
168	в ней	8	3
169	на том	2	3
170	во второй	2	3
171	и вообще	2	3
172	истории литературы	1	3
173	вот почему	1	3
174	можно сказать	2	3
175	а также	4	3
176	времени в	1	3
177	в конечном	1	3
178	что с	1	3
179	к нему	2	3
180	одной из	5	3
181	до нас	3	3
182	в начале	2	3
183	из них	1	3
184	в известной	2	3
185	в одном	3	3
186	в конце	7	3
187	что и	7	3
188	а потому	1	3
189	до конца	1	3
190	говорит о	1	3
191	так называемой	1	3
192	так же	8	3
193	в строгом	1	3
194	да и	1	3
195	с историей	1	3
196	в своем	11	3
197	но с	1	3
198	к тому	2	3
199	культуры в	1	3
200	к этому	2	3
201	в частности	1	3
202	вряд ли	1	2
203	же как	4	2
204	и до	2	2
205	из его	2	2
206	нечто что	1	2
207	мы уже	4	2
208	есть не	1	2
209	мы не	4	2
210	в основу	1	2
211	и со	1	2
212	того же	3	2
213	целое и	1	2
214	время в	1	2
215	и всего	1	2
216	значение и	2	2
217	надо было	1	2
218	чем же	4	2
219	в этот	2	2
220	чем больше	1	2
221	о которой	1	2
222	но вместе	1	2
223	одной и	1	2
224	но дело	2	2
225	в другом	3	2
226	и с	10	2
227	них не	1	2
228	традиции и	1	2
229	на протяжении	1	2
230	на свои	1	2
231	для них	2	2
232	но уже	1	2
233	о которых	1	2
234	несмотря на	2	2
235	она была	1	2
236	не мог	4	2
237	момента в	1	2
238	об особом	1	2
239	и при	1	2
240	и сейчас	1	2
241	с точки	2	2
242	не столько	2	2
243	мысли и	6	2
244	и той	1	2
245	не могли	1	2
246	том же	2	2
247	тому что	1	2
248	и науки	1	2
249	в отношении	2	2
250	определяет как	1	2
251	на котором	2	2
252	того как	1	2
253	одна из	1	2
254	никогда не	1	2
255	казалось бы	1	2
256	ничего не	4	2
257	исходный пункт	1	2
258	находит себе	1	2
259	от того	3	2
260	у нас	1	2
261	как только	1	2
262	с полной	3	2
263	той или	1	2
264	рядом с	2	2
265	свое значение	1	2
266	значительной мере	1	2
267	средних веков	1	2
268	в дальнейшем	1	2
269	значение в	1	2
270	и сам	1	2
271	так и	6	2
272	отсюда и	1	2
273	к самой	1	2
274	известной мере	2	2
275	для этого	1	2
276	же самое	2	2
277	смысле и	1	2
278	и здесь	4	2
279	другом месте	2	2
280	в значительной	2	2
281	по их	1	2
282	связь между	1	2
283	во всех	13	2
284	этому поводу	1	2
285	нуждается в	3	2
286	в языке	1	2
287	в форме	1	2
288	тем более	1	2
289	быть и	1	2
290	здесь не	6	2
291	для нее	1	2
292	по этому	1	2
293	именно на	1	2
294	литературы в	1	2
295	мы можем	2	2
296	или иной	1	2
297	и чем	1	2
298	по его	1	2
299	в ряде	2	2
300	и др	8	2
301	не было	3	2
302	должна была	1	2
303	в связи	5	2
304	с помощью	3	2
305	мы говорим	1	2
306	с этим	4	2
307	истории в	1	2
308	этого слова	1	2
309	человеческой культуры	2	2
310	по существу	3	2
311	был в	1	2
312	еще раз	1	2
313	но это	5	2
314	которые были	1	2
315	в более	1	2
316	это уже	1	2
317	не существует	1	2
318	котором он	1	2
319	между ними	1	2
320	бы в	4	2
321	но зато	1	2
322	нами не	1	2
323	не похожи	1	2
324	он и	3	2
325	жизни и	8	2
326	и другие	3	2
327	это в	2	2
328	его представители	1	1
329	также что	1	1
330	например в	5	1
331	от собственно	1	1
332	не остается	1	1
333	века но	1	1
334	выражения в	1	1
335	на самом	5	1
336	сохранять свое	1	1
337	в стороне	1	1
338	это и	5	1
339	в средние	2	1
340	например у	1	1
341	можно говорить	2	1
342	права и	3	1
343	ведь и	3	1
344	др в	2	1
345	вкладывает в	1	1
346	и за	2	1
347	которыми он	1	1
348	что всякий	1	1
349	нуждаются в	1	1
350	ней есть	1	1
351	настолько тесно	1	1
352	уже более	2	1
353	та же	1	1
354	нам в	1	1
355	к одной	1	1
356	в возможности	1	1
357	который был	1	1
358	в учении	1	1
359	всего сказанного	2	1
360	в полной	1	1
361	похожи на	1	1
362	он был	7	1
363	в уста	2	1
364	ему надо	1	1
365	более того	1	1
366	то мы	1	1
367	отрицание не	1	1
368	различия между	1	1
369	одна за	1	1
370	но как	1	1
371	в сторону	2	1
372	одном и	1	1
373	только тогда	1	1
374	как в	3	1
375	отличие от	2	1
376	и будет	1	1
377	нет и	2	1
378	произведение в	2	1
379	и речи	1	1
380	что они	1	1
381	общего с	1	1
382	идут в	1	1
383	народа в	2	1
384	кроме того	4	1
385	склонность к	1	1
386	понять и	1	1
387	что по	1	1
388	это тоже	1	1
389	в необходимости	3	1
390	то в	1	1
391	духа в	2	1
392	из самых	1	1
393	он в	2	1
394	раз в	2	1
395	тому же	4	1
396	на то	1	1
397	но на	3	1
398	на его	1	1
399	больше всего	1	1
400	оно было	2	1
401	время и	1	1
402	в какой-то	1	1
403	смысла этих	1	1
404	перестает быть	2	1
405	эту задачу	1	1
406	формы но	1	1
407	когда человечество	1	1
408	он должен	2	1
409	же это	1	1
410	котором мы	1	1
411	чтобы в	1	1
412	из него	1	1
413	именно это	1	1
414	это конечно	1	1
415	подход к	1	1
416	мы его	1	1
417	как они	3	1
418	а затем	1	1
419	что все	2	1
420	им как	1	1
421	целое как	1	1
422	нем есть	1	1
423	с позиций	1	1
424	особенности в	2	1
425	этой традиции	3	1
426	зрения на	4	1
427	лишь в	2	1
428	известно что	1	1
429	чаще всего	1	1
430	говорить в	3	1
431	его и	1	1
432	она и	2	1
433	ни одной	1	1
434	своему характеру	1	1
435	их для	1	1
436	были в	1	1
437	он действительно	1	1
438	здесь следовательно	1	1
439	эту тему	1	1
440	была уже	1	1
441	говорится о	1	1
442	и того	1	1
443	народа и	2	1
444	одного и	1	1
445	в эту	2	1
446	его нельзя	1	1
447	во время	12	1
448	история есть	1	1
449	в ходе	1	1
450	никак не	1	1
451	и без	2	1
452	и всеми	1	1
453	почти не	2	1
454	смешным и	1	1
455	не от	1	1
456	в отличие	2	1
457	от его	3	1
458	должны были	1	1
459	создавалась атмосфера	1	1
460	точку зрения	2	1
461	но он	3	1
462	труда и	2	1
463	не его	1	1
464	его время	1	1
465	языков и	2	1
466	не должно	1	1
467	что этот	1	1
468	здесь об	1	1
469	более древних	1	1
470	любовь к	1	1
471	не была	1	1
472	это особенно	1	1
473	себе должно	1	1
474	любви и	1	1
475	в атмосфере	6	1
476	как может	1	1
477	могло не	2	1
478	человечества и	1	1
479	у платона	1	1
480	мышления и	1	1
481	ее с	1	1
482	к этим	1	1
483	тому кто	1	1
484	не по	1	1
485	было не	1	1
486	представлением о	2	1
487	на некоторое	1	1
488	о таких	2	1
489	случае не	1	1
490	не могло	3	1
491	следовательно и	1	1
492	и всегда	1	1
493	правда в	1	1
494	это то	1	1
495	в самой	8	1
496	и способы	1	1
497	и по-видимому	1	1
498	этих двух	1	1
499	войны в	1	1
500	к концу	1	1
501	целое в	1	1
502	связь и	1	1
503	и является	1	1
504	но теперь	1	1
505	не принадлежит	1	1
506	платона и	1	1
507	что на	3	1
508	превращается в	2	1
509	в специальном	1	1
510	в духе	2	1
511	она во	1	1
512	прямо говорит	1	1
513	встречается в	1	1
514	на особую	1	1
515	вполне понятным	1	1
516	человека в	1	1
