N	3gram	Nazirov_Vr_1	Literetu
1	в е годы	1	8
2	то же время	4	7
3	в то же	4	7
4	в этом отношении	1	5
5	о том что	1	4
6	в том что	2	4
7	в соответствии с	1	3
8	с точки зрения	2	3
9	начале х годов	1	3
10	не может быть	2	3
11	в начале х	1	3
12	то что я	1	2
13	с другой стороны	1	2
14	и в самом	1	2
15	тем что он	1	2
16	на то что	1	2
17	на свое место	1	1
18	х годов в	1	1
19	о том как	1	1
20	имеется в виду	1	1
21	а также в	1	1
22	в те годы	2	1
23	но это не	1	1
24	в своем дневнике	1	1
25	с тех пор	1	1
26	и то что	1	1
27	как раз в	2	1
28	едва ли не	1	1
29	на первый взгляд	1	1
30	но при этом	1	1
31	что я хотел	1	1
32	это и есть	1	1
33	в связи с	3	1
34	он и не	1	1
35	как бы в	1	1
36	в свою очередь	1	1
37	одним из первых	1	1
38	не только не	1	1
39	из героев достоевского	1	1
40	тем не менее	1	1
41	вот в чем	1	1
42	в глубине души	1	1
