N	2gram	Medvedev_F_2	RusskieA
1	и в	38	36
2	а а	1	25
3	не только	9	22
4	том что	2	19
5	что в	7	19
6	в том	11	17
7	т е	26	17
8	но и	13	16
9	так как	4	15
10	и другие	2	13
11	п в	1	13
12	в этом	27	12
13	в других	7	11
14	и т	14	10
15	и на	3	10
16	в этот	1	10
17	это не	2	10
18	как и	9	10
19	как мы	7	10
20	вместе с	6	10
21	потому что	2	10
22	т д	5	9
23	а в	6	9
24	в другие	1	8
25	состоит в	2	8
26	и по	2	8
27	с тем	11	8
28	у нас	1	8
29	о том	1	8
30	один из	2	8
31	мы увидим	1	8
32	из них	4	8
33	может быть	23	8
34	как это	2	8
35	е в	1	8
36	что они	4	7
37	так и	8	7
38	между тем	2	7
39	что и	8	7
40	и других	2	7
41	полагает что	1	6
42	мы не	3	6
43	в виде	1	6
44	таким образом	20	6
45	при этом	9	6
46	не имеет	2	6
47	уже не	7	6
48	в них	1	6
49	и не	20	6
50	все это	3	6
51	для нас	1	6
52	то что	6	6
53	иногда и	1	5
54	как в	4	5
55	все же	8	5
56	при изучении	1	5
57	как будто	1	5
58	некоторые другие	1	5
59	с ними	2	5
60	как бы	4	5
61	этом случае	1	5
62	мы имеем	1	4
63	в первый	5	4
64	во всех	5	4
65	в эти	1	4
66	следующим образом	1	4
67	в россии	1	4
68	с собой	1	4
69	входит в	4	4
70	из этих	3	4
71	в их	6	4
72	тому что	2	4
73	в русском	1	4
74	связи с	13	4
75	что на	2	4
76	к тому	4	4
77	его с	3	4
78	так в	3	4
79	и их	3	4
80	тем что	8	4
81	и др	3	4
82	в некоторых	4	4
83	и а	1	4
84	в тех	2	4
85	того что	3	4
86	по существу	7	4
87	но это	2	4
88	в связи	10	4
89	не может	14	4
90	только в	6	4
91	к этому	4	4
92	то на	1	3
93	их и	1	3
94	представление о	2	3
95	если в	3	3
96	в своем	1	3
97	не можем	1	3
98	что это	3	3
99	думать что	1	3
100	связанные с	1	3
101	на этом	2	3
102	то же	6	3
103	но все	3	3
104	для них	3	3
105	далеко не	1	3
106	несмотря на	1	3
107	в этих	2	3
108	точки зрения	8	3
109	с точки	7	3
110	тем не	1	3
111	но они	1	3
112	их в	2	3
113	не менее	1	3
114	ничего не	4	3
115	и другой	1	3
