N	2gram	Medvedev_U_1	Marksizm
1	может быть	6	28
2	и в	14	19
3	и не	8	19
4	в процессе	1	18
5	не может	7	18
6	то же	5	16
7	в этом	7	15
8	таким образом	2	14
9	не только	10	13
10	в нем	1	11
11	если бы	2	11
12	не в	2	10
13	речи в	1	10
14	так и	1	10
15	но и	4	10
16	в пределах	1	10
17	том что	2	10
18	самом деле	2	9
19	как и	3	9
20	для него	3	9
21	а не	10	9
22	с его	2	8
23	в то	3	8
24	же время	3	8
25	только в	2	8
26	отнюдь не	1	8
27	никогда не	1	7
28	в том	2	7
29	прежде всего	8	7
30	и для	2	7
31	но в	3	7
32	в таком	1	7
33	в самом	2	6
34	же самое	2	6
35	между тем	2	6
36	мы можем	1	6
37	и все	1	6
38	хотя бы	5	6
39	ни было	3	6
40	все же	3	5
41	то ни	3	5
42	в данном	1	5
43	в их	4	5
44	в его	2	5
45	в той	1	5
46	тем более	1	5
47	к этому	1	5
48	должна быть	2	4
49	а как	2	4
50	бы то	3	4
51	конечно не	4	4
52	в себе	2	4
53	на то	1	4
54	это не	3	4
55	было бы	3	4
56	ничего не	2	4
57	точном смысле	1	4
58	и т.д	3	4
59	для себя	1	4
60	в точном	1	4
61	того что	1	4
62	что он	2	4
63	как раз	2	4
64	смысле этого	2	4
65	бы в	1	4
66	то что	7	4
67	сказать что	1	4
68	и то	3	3
69	в котором	1	3
70	в ней	1	3
71	за пределы	1	3
72	относится к	1	3
73	в этой	4	3
74	он не	1	3
75	не как	3	3
76	той же	1	3
77	форму и	2	3
78	по себе	2	3
79	в своей	3	3
80	формы как	1	3
81	у нас	3	3
82	могут быть	2	3
83	не есть	2	3
84	и это	1	3
85	о том	1	3
86	что и	2	3
87	с одной	1	3
88	в качестве	1	3
89	его и	2	3
90	до сих	2	3
91	с другой	4	3
92	не было	1	3
93	одной стороны	1	3
94	как целого	1	3
95	должно быть	1	3
96	и формы	3	3
97	сих пор	2	3
98	не существует	1	3
99	в различных	1	3
100	одним из	2	2
101	группы и	1	2
102	он был	1	2
103	оно является	1	2
104	определяется не	1	2
105	независимо от	1	2
106	в своем	1	2
107	в противном	2	2
108	более или	1	2
109	не следует	3	2
110	мы полагаем	1	2
111	и с	2	2
112	то есть	1	2
113	это было	2	2
114	далеко не	1	2
115	и потому	1	2
116	он и	1	2
117	мы не	2	2
118	восприятия и	1	2
119	или менее	1	2
120	установка на	1	2
121	является в	2	2
122	является только	1	2
123	по крайней	2	2
124	находятся в	1	2
125	и является	2	2
126	находит себе	1	2
127	слово является	1	2
128	но по	1	2
129	формы и	2	2
130	приводит к	1	2
131	и даже	1	2
132	сводится к	2	2
133	к проблемам	1	2
134	все его	1	2
135	в значительной	1	2
136	крайней мере	2	2
137	но не	2	2
138	это же	1	2
139	и у	2	2
140	в виде	1	2
141	но для	1	2
142	слово как	1	2
143	но что	1	2
144	у него	1	2
145	тем что	2	2
146	даже и	2	2
147	бы это	1	2
148	именно как	2	2
149	и прежде	1	2
150	противном случае	2	2
151	до конца	1	2
152	о чем	2	2
153	к проблеме	1	2
154	случайной и	1	2
155	на слово	1	2
156	такое понимание	1	2
157	в системе	2	2
158	слагается из	1	2
159	что в	1	2
160	и эта	1	2
161	как на	1	2
162	и действительно	1	1
163	человека и	1	1
164	сам по	1	1
165	к созданию	1	1
166	конечно нет	2	1
167	не приходится	2	1
168	не делает	1	1
169	дан в	1	1
170	именно к	1	1
171	имеет свою	1	1
172	мы и	2	1
173	установку на	2	1
174	к которой	1	1
175	только при	1	1
176	не все	2	1
177	мы снова	1	1
178	его на	1	1
179	в художественном	5	1
180	может обойтись	1	1
181	как нам	1	1
182	могли бы	2	1
183	а оно	1	1
184	искусство и	1	1
185	в этот	1	1
186	в которой	1	1
187	формы в	3	1
188	так или	1	1
189	как основной	1	1
190	ее как	1	1
191	этот процесс	1	1
192	случае все	1	1
193	что она	2	1
194	но именно	1	1
195	о которой	1	1
196	поскольку он	1	1
197	перестает быть	5	1
198	они в	1	1
199	всех этих	2	1
200	в первую	1	1
201	не значит	1	1
202	широком смысле	1	1
203	что нельзя	1	1
204	же не	2	1
205	связанные с	1	1
206	связанных с	1	1
207	которой принадлежит	1	1
208	ее нельзя	2	1
209	входит в	1	1
210	первую очередь	1	1
211	вся работа	2	1
212	к области	2	1
213	котором говорил	1	1
214	с тем	1	1
215	место и	1	1
216	и вне	1	1
217	все это	5	1
218	отказывался признать	1	1
219	остается в	1	1
220	до крайности	1	1
221	метода в	1	1
222	или точнее	3	1
223	что такое	4	1
224	только для	1	1
225	почти не	1	1
226	не столько	2	1
227	напр в	1	1
228	конечном счете	4	1
229	для изучения	1	1
230	но он	1	1
231	друг другу	1	1
232	что было	1	1
233	произведения в	1	1
234	и единого	1	1
235	и вся	1	1
236	принципов и	1	1
237	что с	1	1
238	тогда когда	1	1
239	понимая под	1	1
240	не столь	1	1
241	так то	1	1
242	этом отношении	2	1
243	и делает	1	1
244	с другом	1	1
245	необходимость ее	1	1
246	представляется нам	2	1
247	по нашему	3	1
248	искусства и	1	1
249	не могут	2	1
250	восприятия а	1	1
251	что все	2	1
252	но также	1	1
253	и свое	1	1
