N	2gram	Voloshinov_1	IolandNe
1	и с	5	3
2	должен быть	2	2
3	и не	14	2
4	в этом	10	2
5	он не	2	2
6	что в	1	2
7	ничего не	8	2
8	бы что	1	2
9	себя в	4	1
10	все это	4	1
11	и в	38	1
12	и о	1	1
13	я не	1	1
14	какую роль	3	1
15	бы в	5	1
16	более чем	1	1
17	как только	4	1
18	того же	1	1
19	не остается	1	1
20	с другой	1	1
21	и та	1	1
22	а в	5	1
23	художественного творчества	5	1
24	доказать что	1	1
25	того что	4	1
26	в художественном	1	1
27	и без	4	1
28	достоевского тем	1	1
29	в руки	1	1
30	а с	5	1
31	другой стороны	1	1
32	в материале	2	1
33	не так	3	1
34	нее и	1	1
35	для него	3	1
36	нам в	3	1
37	в основе	2	1
38	что для	1	1
39	что при	1	1
40	в значительной	2	1
41	говорить о	1	1
42	могло бы	1	1
43	и сам	2	1
44	ненависть к	1	1
45	так и	6	1
46	от этого	1	1
47	произведения и	1	1
48	того чтобы	7	1
49	никогда не	7	1
50	не здесь	1	1
51	жизни и	3	1
52	тем что	2	1
53	в целом	4	1
54	очевидно что	2	1
55	все эти	2	1
56	допустил бы	1	1
57	автор и	1	1
58	если бы	4	1
59	для того	9	1
60	другое дело	1	1
