N	3gram	Vinokur_St_1	Tragedij
1	то же время	4	5
2	в то же	4	5
3	так и в	4	3
4	точно так же	1	2
5	в данном случае	6	2
6	но в то	2	2
7	о том что	11	2
8	и в самом	3	2
9	но все же	3	2
10	в том что	17	2
11	в этом случае	2	1
12	а между тем	1	1
13	в обоих случаях	1	1
14	мировой литературы и	1	1
15	в таком виде	1	1
16	том что он	1	1
17	и не может	1	1
18	бориса годунова и	1	1
19	хотя бы и	2	1
20	в той же	2	1
21	что он не	1	1
22	и то что	2	1
23	объясняется и то	1	1
24	и т п	9	1
25	за то что	3	1
26	вся состоит из	1	1
27	же во времена	1	1
28	это может быть	1	1
29	в применении к	3	1
30	во всяком случае	6	1
31	в конце концов	1	1
32	смысле этого слова	1	1
33	ответа на вопрос	1	1
34	объясняется тем что	1	1
35	и в этом	3	1
36	тем не менее	2	1
37	прежде всего необходимо	1	1
38	что в таком	1	1
39	и с тем	1	1
40	то что он	1	1
41	не может быть	5	1
42	на вопрос о	2	1
43	в одном из	1	1
44	с того что	1	1
45	мысль о том	1	1
46	в самом деле	5	1
47	отметить что в	1	1
48	писателя в том	1	1
49	после того как	1	1
50	к тому что	1	1
51	это не просто	1	1
52	как и в	2	1
