N	4gram	Vinokur_Vv_1	Problemy
1	в то же время	5	9
2	но в то же	3	5
3	в целом ряде других	1	2
4	и в этом смысле	1	2
5	но с другой стороны	1	2
6	и в целом ряде	1	2
7	дело в том что	2	1
8	какой бы то ни	1	1
9	мы имеем в виду	1	1
10	бы то ни было	1	1
11	по отношению к нему	1	1
12	т е все то	1	1
13	уже само по себе	1	1
14	е все то что	1	1
15	в зависимости от того	1	1
16	в данном случае и	1	1
17	и не потому что	1	1
18	в этом смысле как	1	1
19	заключается в том что	2	1
20	в большей или меньшей	1	1
21	большей или меньшей степени	1	1
