N	2gram	Ircho_Kome_3	EvropaiC
1	таким образом	12	32
2	в том	12	31
3	и в	22	24
4	том что	13	20
5	все эти	1	19
6	не может	3	18
7	то что	4	17
8	может быть	6	15
9	все же	4	15
10	точки зрения	4	13
11	самом деле	6	12
12	в своем	8	12
13	до сих	9	12
14	в этом	8	12
15	сих пор	9	12
16	с этим	3	11
17	между тем	2	11
18	все это	5	11
19	во всех	2	10
20	по отношению	5	10
21	так и	4	10
22	из себя	3	10
23	мы знаем	2	10
24	как бы	3	10
25	отношению к	3	10
26	все что	3	10
27	того же	6	9
28	на то	3	9
29	при этом	7	9
30	как и	3	9
31	с другом	1	9
32	друг с	1	9
33	в результате	2	9
34	что в	5	9
35	в самом	9	8
36	с точки	3	8
37	знаем что	1	8
38	не в	4	8
39	ясно что	6	8
40	если бы	8	8
41	так же	4	8
42	и все	2	8
43	из этих	1	7
44	в силу	2	7
45	или менее	1	7
46	не менее	5	7
47	по существу	2	7
48	того чтобы	6	7
49	по своей	1	7
50	к тому	6	7
51	для этого	1	7
52	о том	8	7
53	и что	6	7
54	что он	8	7
55	для того	6	7
56	но и	4	7
57	и не	21	7
58	более или	1	7
59	о котором	1	7
60	из этого	2	7
61	еще не	6	6
62	и на	2	6
63	что касается	2	6
64	в этой	3	6
65	в мире	2	6
66	в сознании	1	6
67	несмотря на	4	6
68	от друга	1	6
69	с ним	5	6
70	что и	8	6
71	только в	1	6
72	все они	1	6
73	так что	6	6
74	так как	11	6
75	мы можем	3	6
76	друг от	1	6
77	с другой	4	6
78	вместе с	9	6
79	у них	1	6
80	как на	1	6
81	из всех	2	5
82	столь же	3	5
83	как к	1	5
84	и к	3	5
85	но в	5	5
86	в которой	3	5
87	в целом	3	5
88	в себе	4	5
89	тому же	6	5
90	не только	5	5
91	и если	2	5
92	но все	4	5
93	не будет	2	5
94	что все	1	5
95	и с	4	5
96	его в	8	5
97	и без	2	5
98	так называемого	1	5
99	что с	2	5
100	в то	6	5
101	что при	1	5
102	по сравнению	2	5
103	в пользу	1	5
104	в его	8	5
105	потому что	10	5
106	и их	1	5
107	у него	4	5
108	далеко не	3	5
109	ничем не	4	5
110	другой стороны	2	5
111	по своему	3	5
112	сравнению с	2	5
113	и для	4	5
114	и от	1	5
115	к этому	6	5
116	одним из	2	4
117	то же	7	4
118	из того	3	4
119	между собой	4	4
120	что его	5	4
121	отношение к	5	4
122	хотя и	5	4
123	чем больше	1	4
124	он не	5	4
125	мало того	1	4
126	из них	5	4
127	в их	2	4
128	признать что	1	4
129	тем не	3	4
130	том же	1	4
131	из которых	2	4
132	что эта	2	4
133	связи с	5	4
134	многие из	1	4
135	никогда не	3	4
136	на вопрос	2	4
137	пор не	2	4
138	и у	1	4
139	если мы	2	4
140	не так	3	4
141	в конце	7	4
142	без того	1	4
143	в области	2	4
144	а с	1	4
145	конце концов	2	4
146	не могут	2	4
147	в течение	3	4
148	в состоянии	1	4
149	этом случае	2	4
150	ибо в	1	4
151	хотя бы	4	4
152	совершенно не	2	4
153	в таком	2	4
154	с более	1	3
155	вопрос о	1	3
156	очевидно что	1	3
157	которые не	1	3
158	в истории	1	3
159	еще больше	3	3
160	целый ряд	2	3
161	что по	1	3
162	и наконец	1	3
163	так или	2	3
164	в нашем	1	3
165	в тех	1	3
166	к которой	1	3
167	в нем	3	3
168	на земле	1	3
169	и по	1	3
170	и может	1	3
171	это не	2	3
172	с тем	4	3
173	чем в	3	3
174	в этих	1	3
175	таким же	1	3
176	представление о	2	3
177	что их	2	3
178	для нас	1	3
179	во всем	1	3
180	от того	2	3
181	ничего общего	1	3
182	и это	2	3
183	то ни	3	3
184	жизнь и	1	3
185	с одной	3	3
186	то они	1	3
187	настоящее время	1	3
188	может не	1	3
189	тот же	2	3
190	даже если	2	3
191	в эти	1	3
192	конечно не	3	3
193	в начале	3	3
194	и других	1	3
195	может служить	1	3
196	отличие от	2	3
197	является ли	2	3
198	или иначе	2	3
199	прежде всего	5	3
200	же не	1	3
201	в связи	4	3
202	ко всем	1	3
203	и потому	1	3
204	в с	1	3
205	в настоящее	1	3
206	бы в	4	3
207	тем более	4	3
208	только что	7	3
209	а в	7	3
210	что мы	2	3
211	указывают на	1	3
212	можно назвать	1	3
213	он считает	1	2
214	от своей	2	2
215	в котором	2	2
216	и до	1	2
217	входящих в	1	2
218	в сущности	2	2
219	а для	1	2
220	и ее	2	2
221	же что	1	2
222	в ней	4	2
223	свою очередь	6	2
224	меньше чем	2	2
225	бы то	2	2
226	тем как	1	2
227	во всяком	3	2
228	но как	1	2
229	заметим что	1	2
230	в сторону	1	2
231	что они	2	2
232	общего с	1	2
233	то в	1	2
234	и там	1	2
235	и те	1	2
236	если он	2	2
237	что она	4	2
238	о которой	2	2
239	при виде	3	2
240	он должен	1	2
241	том чтобы	1	2
242	или вовсе	1	2
243	а затем	2	2
244	конечно в	1	2
245	в глазах	8	2
246	же образом	1	2
247	в них	3	2
248	нет в	1	2
249	и особенно	2	2
250	со своими	1	2
251	такой же	1	2
252	на первый	1	2
253	которую он	2	2
254	но если	3	2
255	следует что	3	2
256	на месте	3	2
257	в которых	5	2
258	точку зрения	1	2
259	образом и	1	2
260	том и	1	2
261	тому что	2	2
262	она не	2	2
263	на себе	1	2
264	на него	4	2
265	в основе	2	2
266	говорить о	3	2
267	вся его	1	2
268	и весь	1	2
269	на этом	1	2
270	раннем детстве	1	2
271	ему и	2	2
272	что на	1	2
273	более на	1	2
274	от нее	3	2
275	если же	2	2
276	о них	1	2
277	должен быть	2	2
278	как мы	2	2
279	быть вполне	1	2
280	в себя	1	2
281	и сам	5	2
282	что у	1	2
283	те же	1	2
284	из одного	1	2
285	все его	1	2
286	в виду	2	2
287	а к	1	2
288	и начало	1	2
289	сводится к	1	2
290	именно потому	2	2
291	в другом	2	2
292	и поэтому	4	2
293	же время	5	2
294	к нему	5	2
295	которой мы	2	2
296	во втором	1	2
297	них в	1	2
298	в ту	1	2
299	для самого	1	2
300	было бы	3	2
301	войдя в	1	2
302	но так	1	2
303	образом как	1	2
304	жизни и	1	2
305	ни было	2	2
306	со временем	3	2
307	к своим	1	2
308	это обстоятельство	3	2
309	одно из	1	2
310	всяком случае	3	2
311	вовсе не	4	2
312	к ним	3	2
313	на долю	3	2
314	до тех	3	2
315	и только	1	2
316	не было	2	2
317	с общим	1	2
318	только один	2	2
319	наконец не	1	2
320	считает себя	1	2
321	себя и	2	2
322	что для	2	2
323	одной стороны	3	2
324	отнюдь не	4	2
325	ближе к	2	2
326	в частности	3	2
327	все то	1	2
328	вопросов на	1	2
329	независимо от	1	2
330	но не	1	2
331	из этой	2	2
332	с этой	3	2
333	и тому	1	2
334	это может	1	2
335	с уже	2	2
336	было принято	1	2
337	не от	1	2
338	и говорить	1	2
339	между ними	2	2
340	не знает	3	2
341	в свою	7	2
342	они не	1	2
343	и наиболее	1	1
344	я и	1	1
345	в силе	1	1
346	например в	1	1
347	по адресу	1	1
348	предшественников для	1	1
349	а позднее	1	1
350	к удовлетворению	1	1
351	в первом	1	1
352	которую они	1	1
353	из его	2	1
354	в зависимости	1	1
355	и должен	1	1
356	той же	1	1
357	отношения к	2	1
358	а как	2	1
359	должна бы	1	1
360	мы не	2	1
361	что между	1	1
362	той ступени	1	1
363	спасения от	1	1
364	этом не	1	1
365	время как	2	1
366	на себя	4	1
367	я не	1	1
368	пор на	1	1
369	похожи на	1	1
370	зависимости от	1	1
371	из свободного	1	1
372	к своему	2	1
373	стороны его	1	1
374	на них	3	1
375	он сам	1	1
376	при сравнении	1	1
377	а из	1	1
378	всю свою	1	1
379	с его	3	1
380	только после	1	1
381	бы не	2	1
382	предположим что	1	1
383	подходить к	1	1
384	не требует	1	1
385	малейшего намека	1	1
386	с возмущением	1	1
387	если в	1	1
388	можем не	1	1
389	себе и	1	1
390	со стороны	11	1
391	это? неужели	1	1
392	нет и	4	1
393	настаивают на	1	1
394	отличаются от	1	1
395	можно отнести	1	1
396	к сожалению	1	1
397	еще один	1	1
398	к точке	1	1
399	если она	1	1
400	как в	2	1
401	течение которого	1	1
402	бы при	1	1
403	перед нами	1	1
404	этого еще	1	1
405	и как	1	1
406	себе на	1	1
407	тем же	3	1
408	и хотя	2	1
409	в этот	1	1
410	от чего	1	1
411	не приходится	2	1
412	отказывается от	1	1
413	возможно что	3	1
414	то обстоятельство	2	1
415	и заставить	1	1
416	не могла	3	1
417	на его	2	1
418	по происхождению	1	1
419	после которого	1	1
420	после этого	2	1
421	образом для	1	1
422	от которого	1	1
423	и еще	3	1
424	к одному	1	1
425	для восстановления	1	1
426	но вместе	1	1
427	прошлого века	1	1
