N	4gram	Bakhtin_Pr_4	SlovoVZh
1	дело в том что	1	4
2	так как если бы	1	4
3	с одной стороны и	1	2
4	одно и то же	1	2
5	мы имеем в виду	3	1
6	до сих пор не	2	1
7	по отношению к ним	1	1
8	как мы уже сказали	2	1
9	но в то же	2	1
10	как если бы оно	1	1
11	и не может быть	5	1
12	на самом же деле	1	1
13	раз подчеркнуть что мы	1	1
14	в то же время	5	1
15	звучит так как если	1	1
16	героя никогда не бывает	1	1
17	что мы имеем в	1	1
18	в том что все	1	1
19	в самом деле в	1	1
20	может быть более или	2	1
21	быть более или менее	2	1
22	если бы не было	1	1
23	форма сама по себе	1	1
24	что до сих пор	1	1
25	одним и тем же	1	1
26	еще раз подчеркнуть что	1	1
