N	2gram	Medvedev_I_1	RusskieA
1	и в	1	36
2	что в	2	19
3	в этом	2	12
4	а в	1	9
5	так и	1	7
6	в них	1	6
7	и не	2	6
8	все это	1	6
9	следующим образом	1	4
10	вплоть до	1	4
11	тем что	1	4
12	а с	1	4
13	и др	1	4
14	того что	1	4
15	по существу	1	4
16	ничего не	2	3
17	а также	1	3
18	к нам	1	2
19	в целом	1	2
20	все эти	1	2
21	и и	1	2
22	и с	3	2
23	не случайно	1	2
24	только для	1	2
25	у и	1	2
26	тех же	1	1
27	говорить о	1	1
28	того же	1	1
29	после смерти	1	1
30	по отношению	1	1
31	очевидно что	1	1
32	и дети	1	1
33	это был	1	1
34	от этого	1	1
35	то и	1	1
36	он не	2	1
37	не здесь	1	1
38	и без	1	1
39	работы не	1	1
40	было не	1	1
41	в основе	1	1
42	доказать что	1	1
43	и о	1	1
44	и сам	1	1
45	если бы	1	1
46	при такой	1	1
47	и та	1	1
48	с а	1	1
49	не так	1	1
50	не дает	1	1
51	что для	1	1
52	по поводу	1	1
53	как только	1	1
54	цель и	1	1
55	отношению к	1	1
56	жизни и	1	1
