N	2gram	Potebnia_M_4	Vvedenie
1	и т	7	42
2	т д	3	36
3	и в	23	32
4	в том	23	31
5	в этом	23	30
6	том что	12	26
7	может быть	26	26
8	не только	10	22
9	для того	6	21
10	того чтобы	4	20
11	таким образом	24	19
12	то что	29	16
13	потому что	33	15
14	так как	14	15
15	не может	11	14
16	в самом	3	13
17	в нем	7	13
18	о том	8	13
19	со стороны	3	13
20	в их	1	12
21	в его	5	12
22	того что	14	12
23	только в	15	12
24	и не	18	12
25	как на	1	12
26	как мы	2	11
27	в ее	2	11
28	ясно что	1	11
29	в данном	4	11
30	что такое	7	11
31	языка и	3	10
32	что в	17	10
33	то же	14	9
34	в истории	4	9
35	и как	2	9
36	но в	8	9
37	по себе	11	9
38	между тем	9	9
39	в той	4	9
40	науки о	1	8
41	это не	7	8
42	не в	11	8
43	тем не	4	8
44	не менее	5	8
45	с другой	2	8
46	именно в	3	8
47	самом деле	3	7
48	вопрос о	2	7
49	но не	1	7
50	все же	1	7
51	было бы	8	7
52	точки зрения	4	7
53	уже и	2	7
54	в применении	1	7
55	можно было	2	7
56	дело с	1	7
57	как нечто	1	7
58	прежде всего	1	7
59	смысле этого	1	7
60	о котором	1	7
61	только как	4	7
62	и это	2	6
63	из этих	2	6
64	том чтобы	1	6
65	его в	4	6
66	с тем	7	6
67	как и	14	6
68	представить себе	2	6
69	к истории	1	6
70	вовсе не	7	6
71	в то	4	6
72	в качестве	1	6
73	же время	3	6
74	тем что	10	6
75	не могут	2	6
76	о природе	1	6
77	один из	2	6
78	этот вопрос	3	6
79	и его	2	6
80	и даже	2	6
81	до сих	4	6
82	но и	11	6
83	а именно	4	6
84	сих пор	4	6
85	все это	5	6
86	хотя бы	4	6
87	одним из	1	5
88	а как	2	5
89	иное как	2	5
90	приходим к	1	5
91	об этом	2	5
92	и тем	4	5
93	данном случае	2	5
94	в них	3	5
95	но если	1	5
96	в которых	3	5
97	сказать что	8	5
98	течением времени	2	5
99	могут быть	7	5
100	с течением	2	5
101	быть в	1	5
102	так что	5	5
103	уже в	5	5
104	не есть	9	5
105	т п	4	5
106	что не	6	5
107	на этот	2	5
108	а не	12	5
109	по своему	2	5
110	она есть	1	5
111	в течение	2	5
112	как бы	5	5
113	другой стороны	1	5
114	есть и	2	5
115	вместе с	6	5
116	связана с	1	4
117	и то	5	4
118	как это	1	4
119	в первом	3	4
120	той же	3	4
121	мы имеем	4	4
122	что иное	2	4
123	по отношению	10	4
124	независимо от	6	4
125	как уже	1	4
126	уже не	3	4
127	так или	2	4
128	в себе	14	4
129	этот процесс	1	4
130	истории и	1	4
131	должен был	1	4
132	науки а	1	4
133	в своей	1	4
134	в котором	4	4
135	по крайней	5	4
136	как о	1	4
137	не имеет	5	4
138	в разных	3	4
139	только с	1	4
140	в каждом	3	4
141	это только	1	4
142	на вопрос	4	4
143	времени и	1	4
144	внимание на	5	4
145	и что	7	4
146	крайней мере	5	4
147	как она	2	4
148	и история	1	4
149	еще не	3	4
