N	3gram	Tiupa_Hudo_1	Dialekti
1	и т д	3	15
2	с точки зрения	3	8
3	не потому что	1	6
4	в том что	6	6
5	и та же	1	4
6	в связи с	3	4
7	одна и та	1	4
8	то же время	8	4
9	о том что	9	4
10	в том смысле	1	4
11	не может не	1	3
12	в самом деле	4	3
13	в таком случае	1	3
14	сами по себе	1	3
15	как будто бы	1	3
16	в то же	8	3
17	содержит в себе	1	3
18	не может быть	2	3
19	мы уже знаем	2	3
20	потому что он	1	2
21	более или менее	1	2
22	до сих пор	2	2
23	и т п	8	2
24	как и все	1	2
25	может быть только	1	2
26	в данном случае	1	2
27	не только в	2	2
28	тем не менее	3	2
29	так или иначе	2	2
30	во всяком случае	1	2
31	та или иная	3	2
32	с самого начала	1	2
33	то же самое	1	2
34	можно сказать почти	1	1
35	том что в	2	1
36	одних и тех	1	1
37	уже знаем что	1	1
38	ни с какой	1	1
39	что она не	1	1
40	только потому что	2	1
41	том смысле как	1	1
42	я никогда не	1	1
43	на самом деле	1	1
44	в этом смысле	1	1
45	в том и	1	1
46	о том как	2	1
47	одной стороны и	1	1
48	таит в себе	1	1
49	же как и	1	1
50	самого начала есть	1	1
51	и то и	1	1
52	и в то	1	1
53	это еще не	1	1
54	на самом же	1	1
55	в себе и	1	1
56	в этом отношении	3	1
57	того и другого	1	1
58	и тех же	1	1
59	в частности к	1	1
60	а в конце	1	1
61	то и другое	2	1
62	тому и другому	1	1
63	ту или иную	2	1
64	в это время	1	1
65	как раз в	2	1
66	личности в ее	1	1
67	не в том	2	1
68	с одной стороны	1	1
69	на первый взгляд	1	1
70	в конце концов	1	1
71	но при этом	1	1
72	в том как	1	1
73	и в этом	1	1
74	том как он	1	1
75	приводит к тому	1	1
76	все же не	1	1
77	жизни так и	1	1
78	и из нее	1	1
79	в нем не	1	1
80	мы уже говорили	1	1
81	с ним в	1	1
82	при всей своей	1	1
83	в свое время	1	1
84	не только потому	1	1
85	личности с ее	1	1
86	друг с другом	1	1
87	того или иного	2	1
88	он не умеет	1	1
89	от личности и	1	1
90	и как будто	1	1
91	то что мы	1	1
92	связи с этим	2	1
93	во многих отношениях	1	1
94	она в самом	1	1
95	речь идет о	2	1
96	но все же	1	1
97	прежде всего это	1	1
98	за то что	1	1
99	среди всех этих	1	1
100	не только на	1	1
101	в своей жизни	1	1
102	оно все равно	1	1
103	к тому что	4	1
104	же как мы	1	1
105	самом же деле	1	1
106	том что он	1	1
107	она не может	1	1
108	воли и чувства	1	1
109	по себе а	1	1
110	не в этом	1	1
