N	3gram	Trubetskoy_1	RusskieA
1	в том что	7	18
2	состоит в том	1	13
3	в этом случае	3	6
4	в данном случае	3	6
5	для того чтобы	6	6
6	вместе с тем	3	4
7	и в других	1	4
8	так же как	1	4
9	о том что	2	4
10	не может быть	4	3
11	но она не	2	2
12	тем не менее	1	2
13	во многих случаях	1	2
14	и в некоторых	1	2
15	в том чтобы	1	2
16	в этом и	1	2
17	в некоторых других	1	1
18	для нас важно	1	1
19	в другом месте	1	1
20	этом и состоит	1	1
21	а между тем	5	1
22	не может не	3	1
23	которой идет речь	1	1
24	россии еще не	1	1
25	более или менее	4	1
26	в настоящее время	2	1
27	не всегда бывают	1	1
28	в том же	1	1
29	может быть назван	1	1
30	нельзя отрицать что	1	1
31	и то и	1	1
32	в этом отношении	1	1
33	можно было бы	3	1
34	использовать в своих	2	1
35	в применении к	1	1
36	говорить что в	1	1
37	во всяком случае	6	1
38	на первый взгляд	1	1
39	смысле этого слова	1	1
40	так как это	1	1
41	те или другие	1	1
42	и в этом	1	1
43	так как оно	1	1
44	во всех этих	1	1
45	всяком случае не	1	1
46	дело в том	1	1
47	о которой идет	1	1
48	и в том	2	1
49	тогда когда они	2	1
50	между собой и	1	1
51	в свою очередь	1	1
52	на земле что	1	1
53	в своих целях	1	1
54	ни одна из	2	1
55	в остальное время	1	1
56	на то что	4	1
57	тем более что	1	1
58	совершенно очевидно что	1	1
59	вопрос о том	1	1
60	и таким образом	1	1
61	мы уже знаем	1	1
62	всех этих случаях	1	1
63	особое значение и	1	1
64	это и есть	1	1
