N	3gram	Vinokur_Vv_1	Problema
1	и т д	37	13
2	тем не менее	8	10
3	в том что	12	9
4	сама по себе	3	8
5	той или иной	1	8
6	то же самое	2	7
7	и то что	2	7
8	в связи с	2	7
9	в данном случае	4	7
10	сам по себе	1	6
11	во всяком случае	3	6
12	и в этом	3	6
13	в этом случае	6	5
14	по крайней мере	4	5
15	с другой стороны	5	5
16	не может быть	8	5
17	что иное как	4	4
18	потому что он	2	4
19	что же касается	2	4
20	т д и	1	4
21	имеется в виду	1	4
22	есть не что	2	4
23	бы то ни	1	4
24	в то же	5	4
25	и то же	1	4
26	также и то	1	4
27	не что иное	4	4
28	тех или иных	3	4
29	дело в том	2	3
30	того или иного	1	3
31	можно было бы	3	3
32	точно так же	2	3
33	и тем не	3	3
34	может быть и	2	3
35	одно и то	1	3
36	то ни было	1	3
37	в конце концов	2	3
38	как будто бы	2	3
39	когда мы говорим	1	3
40	то что у	1	3
41	заключается в том	3	3
42	само по себе	3	3
43	о том что	12	3
44	в том виде	3	2
45	том виде как	1	2
46	только потому что	1	2
47	нечто целое и	1	2
48	в настоящее время	1	2
49	никак не может	1	2
50	с точки зрения	2	2
51	до сих пор	5	2
52	в отличие от	3	2
53	но и в	1	2
54	мы говорим о	1	2
55	том или ином	1	2
56	широком смысле слова	4	2
57	то или иное	1	2
58	в том или	1	2
59	не только в	4	2
60	не просто как	1	2
61	ни к какому	1	2
62	по сравнению с	3	2
63	есть в нем	1	2
64	этой точки зрения	1	2
65	только то что	1	2
66	такого же рода	1	2
67	так что мы	1	2
68	но с другой	1	2
69	вовсе не в	2	2
70	но также и	9	2
71	на самом деле	1	2
72	можно сказать что	3	2
73	как нечто целое	1	2
74	с теми или	1	2
75	не значит что	1	2
76	в сравнении с	1	2
77	дело не в	1	2
78	что мы можем	1	2
79	в этом понятии	1	2
80	как мы видели	2	2
81	одна от другой	2	2
82	от себя не	1	1
83	и того же	2	1
84	и говорить о	1	1
85	по себе не	1	1
86	но как мы	1	1
87	и как нечто	1	1
88	в прямом смысле	2	1
89	в чем же	3	1
90	этот вопрос мы	1	1
91	на котором он	2	1
92	как целое как	1	1
93	теми или иными	1	1
94	его содержании и	1	1
95	не находятся в	1	1
96	имеют дело с	1	1
97	не одно и	1	1
98	мы видели имеет	1	1
99	еще и тот	1	1
100	и есть то	1	1
101	принять во внимание	2	1
102	и есть тот	1	1
103	говорить о том	1	1
104	потому что и	1	1
105	выделить в нем	1	1
106	что не только	1	1
107	из того что	1	1
108	из них и	1	1
109	в собственном смысле	2	1
110	с тем что	3	1
111	обратить внимание на	2	1
112	на этот вопрос	3	1
113	действительность только в	1	1
114	что в этом	2	1
115	как он сам	1	1
116	с этой точки	1	1
117	и не в	1	1
118	сказать что в	1	1
119	если же мы	1	1
120	так как она	1	1
121	он вовсе не	1	1
122	может быть не	1	1
123	то все это	1	1
124	в том чтобы	5	1
125	с одной стороны	4	1
126	если принять во	1	1
127	как на нечто	1	1
128	все это можно	1	1
129	тот факт что	1	1
130	смысле этого слова	2	1
131	возможно только потому	1	1
132	не могут не	1	1
133	быть и речи	1	1
134	превратить его в	1	1
135	так или иначе	4	1
136	в одном случае	1	1
137	то более то	1	1
138	в нем не	1	1
139	не есть и	1	1
140	то что остается	2	1
141	собственном смысле слова	1	1
142	более то менее	1	1
143	ответ на этот	1	1
144	в этот вопрос	1	1
145	дело заключается в	1	1
146	когда говорил о	1	1
147	т д можно	1	1
148	так же как	1	1
149	как указание на	1	1
150	в целом но	1	1
151	этого слова как	1	1
152	т д все	2	1
153	как нечто вполне	1	1
154	как о чем-то	1	1
155	то обстоятельство что	1	1
156	смысле слова но	1	1
157	крайней мере не	1	1
158	потому что все	1	1
159	имел в виду	1	1
160	от того что	1	1
161	особой точки зрения	1	1
162	и что такое	1	1
163	в первом случае	2	1
164	к выводу что	5	1
165	прийти к выводу	1	1
166	и никогда не	1	1
167	что в нем	2	1
168	значение и как	1	1
169	на то или	1	1
170	а потому что	1	1
171	и даже просто	1	1
172	в самом деле	5	1
173	могут не существовать	1	1
174	ту или иную	1	1
175	совсем другое дело	1	1
176	только в том	2	1
177	одного и того	2	1
178	в этих случаях	2	1
179	к тому что	1	1
180	мы хорошо знаем	1	1
181	это особенно важно	1	1
182	быть и не	1	1
183	для того чтобы	21	1
184	именно такого же	1	1
185	при помощи которого	1	1
186	нечего и говорить	1	1
187	может быть в	2	1
188	т д в	2	1
189	только тогда когда	1	1
190	д все это	1	1
