N	2gram	Medvedev_S_1	Narrotol
1	не только	3	32
2	может быть	2	25
3	но и	2	23
4	и не	1	20
5	и в	3	19
6	в том	5	18
7	в этом	5	17
8	не в	3	14
9	в частности	2	14
10	том что	2	14
11	то что	2	11
12	а в	1	11
13	не может	1	10
14	в мире	1	9
15	так и	1	9
16	в его	3	9
17	с другой	1	8
18	еще не	2	7
19	по отношению	2	7
20	все же	1	7
21	как и	1	7
22	с одной	1	7
23	одной стороны	1	7
24	но не	1	6
25	о том	1	6
26	что он	1	6
27	именно в	1	6
28	отношению к	2	6
29	иначе говоря	1	6
30	отнюдь не	1	5
31	и как	1	5
32	в этой	1	5
33	далеко не	2	5
34	по себе	1	5
35	и его	1	5
36	в данном	1	5
37	то же	2	4
38	перед нами	1	4
39	в силу	1	4
40	же не	1	4
41	было бы	2	4
42	связи с	1	4
43	те же	1	4
44	же время	1	4
45	только в	2	4
46	хотя бы	1	4
47	у него	1	4
48	прежде всего	1	4
49	как бы	2	4
50	это и	2	3
51	в сущности	1	3
52	может не	1	3
53	что это	1	3
54	в то	1	3
55	тем что	1	3
56	никогда не	1	3
57	столь же	1	3
58	в конечном	1	3
59	между тем	1	3
60	один из	1	3
61	даже не	1	3
62	а с	1	3
63	как будто	2	3
64	что в	2	3
65	и потому	1	2
66	должна быть	2	2
67	между собой	1	2
68	время в	1	2
69	но как	1	2
70	все эти	1	2
71	собой не	1	2
72	его в	1	2
73	это не	1	2
74	на первый	1	2
75	даже в	1	2
76	ничего не	1	2
77	что на	1	2
78	когда мы	1	2
79	более не	1	2
80	и только	3	2
81	конечном счете	1	2
82	или даже	2	2
83	к которому	2	2
84	не было	1	2
85	зависит от	1	2
86	наконец в	1	2
87	в область	1	2
88	по существу	2	2
89	в связи	1	2
90	она может	2	2
91	в результате	2	2
92	тем более	2	2
93	все то	1	2
94	не от	1	2
95	между ними	1	2
96	они не	1	2
97	их между	2	1
98	могло и	1	1
99	опираясь на	1	1
100	и есть	1	1
101	этом не	1	1
102	но она	1	1
103	в целом	1	1
104	в чем	1	1
105	друг от	1	1
106	утверждает в	1	1
107	кто не	1	1
108	и наконец	1	1
109	он ни	1	1
110	могут оказаться	1	1
111	новое и	1	1
112	и по	1	1
113	таким образом	2	1
114	но именно	1	1
115	в них	1	1
116	мы не	1	1
117	их на	1	1
118	что данный	1	1
119	в котором	1	1
120	место в	1	1
121	для изучения	1	1
122	по крайней	1	1
123	жанр как	1	1
124	и более	1	1
125	в конце	2	1
126	но стоит	1	1
127	это дает	1	1
128	может служить	1	1
129	дело не	2	1
130	в процессе	1	1
131	к изучению	1	1
132	как то	1	1
133	не желая	1	1
134	сколь и	1	1
135	только когда	1	1
136	в области	1	1
137	представляется нам	1	1
138	же самое	1	1
139	от друга	1	1
140	что все	1	1
141	только то	1	1
142	с ним	1	1
143	тех кто	1	1
144	на что	1	1
145	крайней мере	1	1
146	тотчас же	1	1
147	в него	1	1
148	не мешает	1	1
149	это же	1	1
150	не дает	1	1
151	вовсе не	1	1
152	как же	3	1
153	точке зрения	1	1
154	о художественных	1	1
155	их друг	1	1
156	исторического характера	1	1
157	ни на	1	1
158	очевидно что	2	1
159	дает нам	1	1
160	быть не	1	1
161	как только	2	1
162	благодаря этому	1	1
163	в смысле	2	1
164	именно такого	1	1
165	для нас	3	1
166	бы он	1	1
167	мы переходим	1	1
168	настаивает на	1	1
