N	2gram	Bakhtin_Pr_3	Sotsiolo
1	все это	16	7
2	в этом	16	5
3	в том	3	5
4	не только	10	3
5	в его	22	3
6	и в	34	3
7	но ведь	1	3
8	не в	9	3
9	и только	2	3
10	только в	6	2
11	может быть	19	2
12	и что	5	2
13	это и	2	2
14	главным образом	1	2
15	то же	14	2
16	было бы	2	2
17	далеко не	3	2
18	и заключается	1	2
19	и мы	1	2
20	ведь это	1	2
21	таким образом	5	2
22	но и	12	2
23	как будто	7	2
24	еще не	4	2
25	то что	11	2
26	конце концов	3	2
27	за пределы	2	2
28	по отношению	5	2
29	к которому	2	2
30	отношению к	6	2
31	в конце	5	2
32	что в	7	2
33	как бы	27	2
34	том что	3	2
35	ни одно	1	1
36	и не	29	1
37	в мире	4	1
38	эти вопросы	1	1
39	в этой	1	1
40	столь же	2	1
41	в процессе	1	1
42	в своей	3	1
43	бы в	3	1
44	еще и	1	1
45	по себе	3	1
46	все эти	4	1
47	в заключение	2	1
48	его построения	1	1
49	и его	16	1
50	а между	3	1
51	в целом	5	1
52	с другой	4	1
53	это как	3	1
54	их друг	2	1
55	в сущности	11	1
56	бы они	2	1
57	в те	1	1
58	переходим к	4	1
59	связи с	1	1
60	и должно	2	1
61	быть не	1	1
62	крайней мере	3	1
63	в них	2	1
64	должно было	1	1
65	что он	23	1
66	что все	4	1
67	он ни	3	1
68	не было	2	1
69	в каждом	3	1
70	сказать и	1	1
71	образом в	1	1
72	когда мы	1	1
73	а с	3	1
74	это вовсе	1	1
75	но не	4	1
76	никак не	1	1
77	всего не	1	1
78	из тех	1	1
79	и более	1	1
80	они ни	1	1
81	но она	1	1
82	основной вопрос	1	1
83	вовсе не	11	1
84	все же	7	1
85	что на	1	1
86	так кто	1	1
87	на следующий	1	1
88	между тем	3	1
89	но как	4	1
90	а в	5	1
91	выходит за	2	1
92	бы он	4	1
93	это не	5	1
94	в то	12	1
95	те же	2	1
96	придется не	1	1
97	мы должны	5	1
98	между ними	1	1
99	конечно не	2	1
100	и наконец	5	1
101	для этого	3	1
102	в чем	5	1
103	своих мыслей	1	1
104	никогда не	8	1
105	ними в	1	1
106	собой не	1	1
107	во всяком	5	1
108	него и	2	1
109	в котором	3	1
110	тому что	2	1
111	в него	3	1
112	благодаря этому	2	1
113	отнюдь не	2	1
114	по крайней	3	1
115	и о	1	1
116	же это	1	1
117	в этих	1	1
118	наконец в	3	1
119	у него	4	1
120	как и	18	1
121	не способен	1	1
122	вот в	1	1
123	но именно	2	1
124	нельзя делая	1	1
125	с ним	8	1
126	мысли в	1	1
127	ни на	1	1
128	его собственные	1	1
129	на все	1	1
130	мы еще	1	1
131	том и	1	1
132	один из	2	1
133	стало быть	1	1
134	в строгом	1	1
135	это неизбежно	1	1
136	этого и	2	1
137	и как	3	1
138	же не	2	1
139	сама по	2	1
140	его в	4	1
141	с одной	1	1
142	о том	2	1
143	даже в	5	1
144	тотчас же	4	1
145	каждом своем	1	1
146	вступает в	2	1
147	их на	1	1
148	связь между	1	1
149	и потому	2	1
150	хотя бы	5	1
151	со своими	1	1
152	слова но	1	1
153	к изучению	1	1
154	и по	1	1
155	ничего не	4	1
156	что это	5	1
157	между собой	1	1
158	и цельного	1	1
159	на этот	1	1
160	я и	2	1
161	не может	19	1
162	тех кто	1	1
163	же время	12	1
164	но только	2	1
165	прежде всего	15	1
166	остается в	2	1
167	тогда и	2	1
168	благодаря тому	1	1
169	всяком случае	5	1
170	нет его	1	1
171	или не	1	1
172	тем что	4	1
173	что эти	1	1
174	не исчерпываются	1	1
175	так и	6	1
176	в данном	1	1
177	в виде	4	1
178	только для	1	1
179	перед нами	1	1
180	ни были	1	1
181	правда он	2	1
