N	3gram	Medvedev_F_2	Vladivir
1	в том что	2	7
2	то что он	1	5
3	в этом смысле	2	4
4	что же касается	1	4
5	то же время	5	4
6	в то же	5	4
7	более или менее	1	3
8	что он не	1	3
9	в конце концов	2	3
10	с другой стороны	3	3
11	не может быть	10	3
12	один и тот	1	2
13	мы знаем что	1	2
14	но даже и	1	2
15	как раз и	3	2
16	на первый план	2	2
17	и в то	3	2
18	как мы увидим	1	2
19	в том чтобы	1	2
20	и тот же	1	2
21	во всяком случае	5	2
22	тем не менее	1	2
23	для того чтобы	3	2
24	что и в	1	2
25	и т д	5	2
26	и в конце	1	1
27	как к своему	1	1
28	что иное как	1	1
29	в чем не	1	1
30	из всего этого	3	1
31	по этому вопросу	1	1
32	не говоря уже	1	1
33	в самом деле	5	1
34	и в особенности	1	1
35	в настоящее время	1	1
36	не столько с	1	1
37	не выходя за	1	1
38	это было в	1	1
39	в этой области	1	1
40	нам кажется что	1	1
41	строго говоря в	1	1
42	как это было	2	1
43	и для всех	1	1
44	и не может	3	1
45	говоря уже о	1	1
46	бы то ни	1	1
47	и в дальнейшем	2	1
48	только то что	1	1
49	этом не было	1	1
50	бы она ни	3	1
51	к ней как	1	1
52	вместе с тем	4	1
53	но в то	1	1
54	с одной стороны	1	1
55	смысле этого слова	1	1
56	в связи с	10	1
57	и в этом	5	1
58	в одной плоскости	1	1
59	так или иначе	1	1
60	выходя за пределы	1	1
61	до настоящего времени	1	1
62	выдвинуть на первый	1	1
63	есть не что	1	1
64	ни в чем	2	1
65	раз и навсегда	1	1
66	так и в	3	1
67	но как раз	1	1
68	в свою очередь	1	1
69	это и есть	1	1
70	всех не только	1	1
71	но он не	1	1
72	с тем что	5	1
73	и без того	1	1
74	и тем самым	1	1
75	и литературы и	1	1
76	от нее и	1	1
77	же время и	1	1
78	в известной степени	1	1
79	к тому что	2	1
80	не что иное	1	1
81	по этому поводу	1	1
82	в этом отношении	7	1
