N	2gram	Tiupa_Disk_1	Sovremen
1	таким образом	3	8
2	в результате	1	5
3	в этом	15	5
4	не может	9	5
5	мы можем	1	4
6	мы не	1	4
7	в каждом	2	4
8	как бы	5	4
9	в целом	4	3
10	и мы	1	3
11	следующим образом	1	3
12	из двух	2	3
13	с помощью	1	3
14	такие же	1	2
15	из этих	1	2
16	как известно	1	2
17	на этом	2	2
18	в одном	2	2
19	все же	3	2
20	и в	16	2
21	но в	8	2
22	мы должны	1	2
23	этих двух	1	2
24	что же	2	2
25	в первом	3	2
26	по мнению	1	2
27	и все	2	2
28	мы видели	1	2
29	прежде всего	11	2
30	не только	28	2
31	точки зрения	3	2
32	в виде	1	2
33	то же	7	2
34	не в	7	2
35	с одной	9	2
36	при этом	13	2
37	в системе	1	1
38	и не	11	1
39	совпадают с	1	1
40	как мы	2	1
41	в процессе	5	1
42	это пока	1	1
43	это и	1	1
44	вследствие этого	3	1
45	таким же	1	1
46	он не	1	1
47	ни изменить	1	1
48	поэтому в	1	1
49	его таким	1	1
50	к области	2	1
51	оно имеет	1	1
52	роль в	7	1
53	то они	1	1
54	и составляет	3	1
55	стадии развития	2	1
56	а в	5	1
57	представление о	1	1
58	в то	3	1
59	в своих	3	1
60	но они	2	1
61	со всеми	1	1
62	этот процесс	1	1
63	в нашем	1	1
64	по своим	4	1
65	свою очередь	3	1
66	дело в	1	1
67	с другой	10	1
68	в другом	2	1
69	и т.п	12	1
70	для каждого	1	1
71	отличие от	5	1
72	указать на	1	1
73	цель и	1	1
74	но все	1	1
75	как и	16	1
76	в которой	1	1
77	еще не	14	1
78	отметить что	1	1
79	независимо от	1	1
80	обладает способностью	1	1
81	собственно и	2	1
82	о том	8	1
83	того же	3	1
84	один из	3	1
85	его с	1	1
86	он осуществляет	1	1
87	и потому	3	1
88	это как	1	1
89	между собой	2	1
90	заключать в	1	1
91	же время	4	1
92	для своего	2	1
93	что в	4	1
94	утверждает что	1	1
95	а не	22	1
96	это делает	1	1
97	которых она	1	1
98	на них	1	1
99	той же	1	1
100	может быть	17	1
101	к различным	2	1
102	их по	1	1
103	присущие каждому	1	1
104	стороны и	2	1
105	и должно	1	1
106	и действительно	1	1
107	мы имеем	2	1
108	тем же	1	1
109	себя самого	1	1
110	функционируют как	1	1
111	в том	23	1
112	и т.д	4	1
113	в первый	1	1
114	из одного	1	1
115	это не	3	1
116	то она	2	1
117	во внутреннем	1	1
118	это уже	1	1
119	уже в	2	1
120	в себе	7	1
121	одной стороны	9	1
122	принципиально не	1	1
123	к концу	1	1
124	и даже	3	1
125	и от	1	1
126	в этой	2	1
127	но это	1	1
128	по преимуществу	1	1
129	этом случае	1	1
130	что это	1	1
131	он в	1	1
132	функций и	1	1
133	в нем	9	1
134	немного в	1	1
135	так сказать	2	1
136	значение в	1	1
137	на которых	1	1
138	и к	4	1
139	нам только	1	1
140	же самое	2	1
141	между двумя	1	1
142	и по	2	1
143	идет о	1	1
144	и более	1	1
145	в конце	1	1
146	они не	2	1
147	развития и	1	1
148	в свою	3	1
149	том что	19	1
150	не могут	1	1
151	в своем	6	1
152	в отличие	5	1
153	необходимо отметить	1	1
