N	2gram	Bakhtin_fo_1	slovoVRo
1	и в	50	41
2	в нем	24	30
3	и т	8	28
4	то есть	33	26
5	т п	8	23
6	в романе	32	21
7	в роман	4	19
8	могут быть	5	19
9	во всех	6	17
10	не только	9	16
11	и не	14	16
12	точки зрения	5	16
13	но и	8	16
14	а не	3	15
15	то же	11	14
16	и на	8	14
17	в то	9	14
18	и его	16	14
19	в пределах	5	14
20	может быть	11	14
21	и др	9	14
22	не может	6	14
23	слова и	2	13
24	в сущности	3	13
25	в его	13	13
26	в этом	25	12
27	до конца	4	12
28	же время	9	12
29	как бы	2	12
30	так и	12	11
31	в большинстве	1	10
32	в той	4	10
33	узком смысле	1	10
34	слово в	1	10
35	себя в	1	9
36	все эти	9	9
37	таким образом	11	9
38	той или	2	9
39	иной степени	1	9
40	или иной	2	9
41	точка зрения	1	8
42	как в	6	8
43	но в	10	8
44	с точки	2	8
45	как мы	14	8
46	в особенности	9	8
47	или в	3	8
48	прежде всего	15	8
49	отношение к	2	7
50	все же	6	7
51	в своей	2	7
52	не в	5	7
53	вовсе не	13	7
54	с ним	2	7
55	зрения на	1	7
56	и следовательно	4	7
57	всех его	1	7
58	на фоне	3	7
59	романного жанра	1	7
60	все они	1	7
61	во всяком	3	7
62	того же	8	6
63	при этом	3	6
64	в плане	1	6
65	это не	6	6
66	в них	4	6
67	к своему	2	6
68	в отношении	3	6
69	оно не	2	6
70	только в	4	6
71	и даже	2	6
72	а в	3	6
73	роман и	1	5
74	и к	2	5
75	в самом	8	5
76	так сказать	7	5
77	с другими	3	5
78	далеко не	2	5
79	всяком случае	1	5
80	в риторических	1	5
81	все это	4	5
82	с определенными	1	5
83	в основе	5	5
84	не на	1	5
85	подхода к	3	5
86	и мир	1	5
87	как его	1	5
88	с другой	2	5
89	еще более	3	5
90	почти вовсе	2	5
91	романа и	3	5
92	ту же	2	4
93	одним из	1	4
94	по преимуществу	3	4
95	на мир	1	4
96	в ней	4	4
97	еще не	5	4
98	с его	9	4
99	данный момент	1	4
100	перед нами	1	4
101	и наконец	1	4
102	в которой	2	4
103	всех этих	5	4
104	не как	2	4
105	в каждом	1	4
106	и с	4	4
107	лишь в	6	4
108	входит в	3	4
109	на почве	2	4
110	как и	8	4
111	автора и	2	4
112	в их	6	4
113	речи в	2	4
114	том же	2	4
115	в процессе	4	4
116	и для	4	4
117	с ее	6	4
118	жанра в	1	4
119	ничего не	9	4
120	все его	3	4
121	единого и	1	4
122	один из	3	4
123	с одной	3	4
124	рядом с	2	4
125	одной стороны	2	4
126	и все	6	4
127	там где	2	4
128	и потому	3	4
129	мы сказали	1	4
130	и формы	1	4
131	и от	1	4
132	кроме того	4	4
133	здесь в	2	4
134	известной степени	1	4
135	быть и	2	4
136	также и	2	3
137	жизни поэтому	3	3
138	его же	1	3
139	в зависимости	1	3
140	единство и	1	3
141	эта форма	2	3
142	зависимости от	1	3
143	данном случае	1	3
144	в своем	4	3
145	бы и	1	3
146	момент его	2	3
147	европейского романа	4	3
148	из этих	1	3
149	выражение в	2	3
150	прямой и	1	3
151	в себе	3	3
152	его но	3	3
153	связанные с	1	3
154	вообще не	3	3
155	и сам	1	3
156	как оно	2	3
157	и может	2	3
158	его в	3	3
159	было бы	2	3
160	лишь на	1	3
161	он не	5	3
162	в понимании	1	3
163	и ее	3	3
164	точку зрения	2	3
165	которые в	1	3
166	не должно	1	3
167	на всю	1	3
168	она не	1	3
169	в романном	1	3
170	нем в	2	3
171	не могло	5	3
172	следовательно и	1	3
173	никогда не	2	3
174	в разных	5	3
175	и здесь	1	3
176	не могут	3	3
177	в других	9	3
178	к тому	3	3
179	точками зрения	1	3
180	романе в	2	3
181	и этим	1	3
182	романа у	1	3
183	образом в	1	3
184	но здесь	1	3
185	тем чем	1	3
186	формы и	3	3
187	о том	1	3
188	разновидности романа	3	3
189	и во	7	3
190	переходит в	1	3
191	в него	1	3
192	того что	2	3
193	в том	9	3
194	поэтому и	3	3
195	в качестве	3	3
196	конечно не	4	3
197	и других	3	3
198	из них	1	3
199	его и	2	3
200	для него	2	3
201	так как	6	3
202	друг друга	3	3
203	у него	6	3
204	именно в	3	3
205	в свою	2	3
206	романа в	5	3
207	быть тем	1	3
208	не было	7	3
209	более того	3	3
