N	2gram	Tiupa_Narr_1	Mirosoze
1	и в	19	46
2	в нем	4	22
3	у него	4	22
4	может быть	25	21
5	в этом	17	20
6	не только	32	18
7	и не	20	18
8	никогда не	3	18
9	для него	2	18
10	но и	23	15
11	не может	10	15
12	человека в	2	14
13	как и	7	13
14	а не	12	13
15	не есть	3	13
16	прежде всего	4	12
17	потому что	1	12
18	и он	3	11
19	не было	2	11
20	но он	1	11
21	в ней	3	11
22	у нас	1	11
23	но в	6	10
24	та же	2	10
25	в себе	8	10
26	он не	3	10
27	не в	14	9
28	не знает	1	9
29	и есть	1	8
30	отношение к	2	8
31	в своем	2	8
32	на земле	1	8
33	она не	2	8
34	человека к	1	8
35	как бы	4	8
36	но это	1	8
37	в мире	9	7
38	как в	7	7
39	и к	1	7
40	в этой	5	7
41	человек не	1	7
42	хотя бы	4	7
43	и потому	2	7
44	и для	2	7
45	что он	6	7
46	там и	1	6
47	что это	3	6
48	в русской	1	6
49	он сам	2	6
50	и здесь	1	6
51	так же	2	6
52	того что	1	6
53	и там	1	6
54	жизни и	3	6
55	то же	4	5
56	есть не	1	5
57	совсем не	1	5
58	в самом	1	5
59	что все	1	5
60	в конце	1	5
61	есть прежде	1	5
62	и его	5	5
63	к тому	7	5
64	те же	4	5
65	это не	2	5
66	один из	3	5
67	в его	9	5
68	то что	11	5
69	и все	2	5
70	также и	1	4
71	с его	6	4
72	том что	14	4
73	не имеет	2	4
74	перед ним	1	4
75	они и	1	4
76	что у	2	4
77	так и	9	4
78	на путь	1	4
79	себя в	5	4
80	уже не	5	4
81	что и	1	4
82	в свою	3	4
83	они не	2	4
84	есть уже	1	4
85	что в	3	4
86	же как	3	3
87	это и	3	3
88	к другому	2	3
89	и самого	3	3
90	и на	3	3
91	иное как	2	3
92	в чем	1	3
93	что нет	2	3
94	в россии	1	3
95	не бывает	1	3
96	не будет	3	3
97	и с	4	3
98	его в	2	3
99	ни в	3	3
100	в них	1	3
101	все равно	1	3
102	и тогда	1	3
103	не мог	4	3
104	что было	1	3
105	любви и	1	3
106	человека есть	1	3
107	принадлежат к	1	3
108	что иное	2	3
109	по своей	3	3
110	себя и	2	3
111	не существует	3	3
112	было в	2	3
113	если бы	1	3
114	с ним	1	3
115	и перед	1	3
116	о том	6	3
117	и во	1	3
118	нет у	2	3
119	что они	3	3
120	в том	18	3
121	только в	4	3
122	есть в	2	3
123	не так	1	3
124	тем что	3	3
125	от того	1	3
126	до сих	1	3
127	к которому	2	3
128	с которым	1	3
129	нет ничего	1	3
130	жизни в	3	3
131	сих пор	1	3
132	и от	1	3
133	сказать что	4	3
134	не что	2	3
135	отношения к	2	2
136	сам по	1	2
137	человеческая жизнь	1	2
138	с таким	1	2
139	и за	1	2
140	но она	1	2
141	как то	1	2
142	не от	2	2
143	во всех	1	2
144	по отношению	7	2
145	как к	2	2
146	нельзя было	1	2
147	хотя и	3	2
148	в действительности	1	2
149	от этого	1	2
150	то в	6	2
151	в смысл	1	2
152	бы не	2	2
153	и тот	2	2
154	но на	1	2
155	на его	1	2
156	на этом	1	2
157	образа и	1	2
158	лишь в	1	2
159	достоевского и	1	2
160	а за	1	2
161	не всегда	2	2
162	в церкви	4	2
