N	2gram	Losev_Prob_4	Literetu
1	не только	24	24
2	при этом	6	19
3	в качестве	10	17
4	но и	14	17
5	в том	20	16
6	а не	7	16
7	в частности	2	15
8	том что	12	14
9	в году	1	13
10	может быть	9	13
11	и не	28	12
12	в этом	9	12
13	в своем	3	11
14	прежде всего	11	11
15	такого рода	7	10
16	то что	15	10
17	в целом	1	8
18	не в	13	8
19	и в	20	8
20	только в	23	8
21	как это	3	8
22	как бы	4	7
23	в себе	12	7
24	русской классической	1	7
25	не менее	10	7
26	в его	3	7
27	уже не	5	7
28	то есть	27	6
29	как и	6	6
30	точки зрения	14	6
31	и сам	1	6
32	того что	1	6
33	связи с	3	6
34	в жизни	3	6
35	себя в	2	6
36	xix века	2	6
37	одним из	1	5
38	то же	7	5
39	как в	5	5
40	в то	4	5
41	для себя	2	5
42	казалось бы	3	5
43	искусства и	1	5
44	а также	6	5
45	же в	4	5
46	что он	8	5
47	уже в	4	5
48	не может	5	5
49	в данном	6	5
50	с этой	1	5
51	с его	2	5
52	тем самым	4	5
53	в своей	4	4
54	еще не	7	4
55	столь же	2	4
56	но не	5	4
57	в этой	4	4
58	в художественном	4	4
59	все же	2	4
60	по преимуществу	2	4
61	в случае	1	4
62	перестает быть	2	4
63	не как	1	4
64	в силу	1	4
65	с собой	3	4
66	для этого	2	4
67	в уме	1	4
68	и его	10	4
69	данном случае	5	4
70	никогда не	1	4
71	так и	10	4
72	и тем	7	4
73	из них	3	4
74	в конце	2	4
75	друг друга	2	4
76	как раз	4	4
77	о себе	3	4
78	в стихотворении	2	4
79	в связи	3	4
80	это не	7	4
81	в своих	1	4
82	и есть	4	3
83	тем же	1	3
84	также и	13	3
85	самого себя	1	3
86	что его	4	3
87	в самом	2	3
88	бы не	1	3
89	с их	1	3
90	в принципе	1	3
91	таким образом	8	3
92	исходя из	1	3
93	его в	2	3
94	далеко не	2	3
95	он и	1	3
96	несмотря на	4	3
97	в их	1	3
98	классической литературы	1	3
99	но в	8	3
100	том же	1	3
101	что ему	1	3
102	дело в	2	3
103	в основе	1	3
104	в области	3	3
105	всего в	1	3
106	в виду	6	3
107	в пределах	2	3
108	одного из	1	3
109	нуждается в	1	3
110	по своей	1	3
111	и прежде	2	3
112	потому что	15	3
113	у него	1	3
114	и даже	9	3
115	с другой	7	3
116	еще и	3	3
117	и др	1	3
118	не было	3	3
119	произведения искусства	2	3
120	да и	5	3
121	этой точки	1	3
122	жизни и	5	3
123	что в	3	3
124	а в	4	3
125	же и	3	3
126	во всяком	8	3
127	чтобы не	2	2
128	человека и	1	2
129	и весьма	2	2
130	того же	2	2
131	и то	2	2
132	самом деле	3	2
133	от всякой	2	2
134	на себя	1	2
135	то это	3	2
136	и самого	1	2
137	то он	2	2
138	а только	6	2
139	относится к	2	2
140	отнюдь не	10	2
141	общего с	2	2
142	и нет	1	2
143	или иную	1	2
144	только то	1	2
145	как некий	1	2
146	все эти	16	2
147	из этих	1	2
148	тому же	2	2
149	как он	1	2
150	с чем	1	2
151	в нем	5	2
152	в нашей	1	2
153	не к	2	2
154	здесь как	4	2
