N	2gram	Ircho_Kome_2	VerxiiNi
1	и в	26	26
2	таким образом	6	22
3	с тем	5	18
4	в этом	10	15
5	вместе с	9	15
6	точки зрения	4	13
7	как бы	2	12
8	в том	11	11
9	из этих	4	10
10	не только	7	10
11	и с	5	10
12	может быть	11	10
13	после смерти	3	10
14	связи с	3	9
15	в области	1	9
16	так как	4	9
17	но и	10	9
18	что в	9	9
19	но не	3	8
20	в общем	1	8
21	главным образом	1	8
22	и у	2	8
23	с другой	2	8
24	и не	14	8
25	как на	1	8
26	но в	3	7
27	но все	3	7
28	из них	7	7
29	том что	9	7
30	потому что	6	7
31	в эпоху	1	7
32	к нему	3	7
33	с одной	2	7
34	то что	6	7
35	а с	1	7
36	одной стороны	2	7
37	того же	3	6
38	представление о	2	6
39	все же	4	6
40	все эти	1	6
41	в себе	1	6
42	всяком случае	2	6
43	с точки	1	6
44	к тому	12	6
45	так и	12	6
46	о том	6	6
47	в конце	2	6
48	что и	7	6
49	несмотря на	1	6
50	все это	3	6
51	во всяком	2	6
52	отношение к	2	5
53	сих пор	2	5
54	и к	2	5
55	тому же	11	5
56	в силу	2	5
57	в мире	2	5
58	или менее	1	5
59	не имеет	3	5
60	того чтобы	6	5
61	никогда не	1	5
62	с другом	2	5
63	для того	5	5
64	в его	4	5
65	до сих	2	5
66	а не	1	5
67	друг с	2	5
68	и для	4	5
69	так же	1	5
70	одной из	4	5
71	более или	1	5
72	том числе	3	5
73	в котором	3	4
74	то же	3	4
75	при жизни	1	4
76	в течение	2	4
77	целый ряд	2	4
78	в самом	4	4
79	в этой	3	4
80	он не	2	4
81	попадает в	1	4
82	и тогда	1	4
83	в то	6	4
84	в нем	6	4
85	а в	3	4
86	числе и	1	4
87	и что	2	4
88	только в	4	4
89	к своим	1	4
90	на этот	4	4
91	не может	3	4
92	из которых	3	4
93	в так	2	4
94	и от	4	4
95	в этих	4	4
96	во время	6	4
97	что он	5	4
98	на западе	1	3
99	не вполне	2	3
100	большей частью	1	3
101	в народном	2	3
102	если в	2	3
103	в своем	6	3
104	и нет	1	3
105	когда он	1	3
106	и как	1	3
107	за собой	2	3
108	в которой	5	3
109	что это	4	3
110	так или	3	3
111	к достижению	1	3
112	и если	2	3
113	европейской культуры	1	3
114	и при	1	3
115	тем не	1	3
116	если бы	9	3
117	не менее	4	3
118	как о	1	3
119	представляет собой	1	3
120	к концу	3	3
121	в других	2	3
122	с самого	2	3
123	ясно что	8	3
124	богов не	1	3
125	хотя бы	2	3
126	в качестве	5	3
127	так что	5	3
128	что эти	1	3
129	для него	1	3
130	в одном	2	3
131	и даже	1	3
132	или иначе	3	3
133	в связи	3	3
134	в рамках	1	3
135	с этой	3	3
136	в результате	1	3
137	отношению к	3	3
138	и другие	2	3
139	к этому	5	3
140	точно так	1	3
141	одним из	2	2
142	и это	2	2
143	имя его	1	2
144	его не	1	2
145	мы имеем	2	2
146	надо было	3	2
147	ни у	1	2
148	такое положение	1	2
149	еще не	6	2
150	и на	7	2
151	бы то	2	2
152	с его	5	2
153	во всех	3	2
154	в создании	1	2
155	этого последнего	1	2
