N	2gram	Kanaev_Sov_1	formyVre
1	и в	7	50
2	в этом	7	25
3	в нем	3	24
4	человека в	1	17
5	и его	1	16
6	прежде всего	5	15
7	как мы	2	14
8	и не	6	14
9	в его	2	13
10	вовсе не	1	13
11	по существу	1	12
12	человека и	1	11
13	то же	3	11
14	мы уже	1	11
15	таким образом	11	11
16	может быть	12	11
17	но в	3	10
18	времени и	2	10
19	с его	1	9
20	все эти	5	9
21	роль в	2	9
22	не только	4	9
23	в то	1	9
24	ничего не	6	9
25	же время	1	9
26	в том	4	9
27	в конце	3	9
28	того же	1	8
29	в самом	2	8
30	ни в	1	8
31	жизни в	1	8
32	и их	1	8
33	как и	6	8
34	жизни и	4	8
35	так сказать	2	7
36	и во	2	7
37	не было	1	7
38	в условиях	5	7
39	между двумя	1	6
40	во всех	1	6
41	с этим	2	6
42	все же	3	6
43	это не	4	6
44	так как	4	6
45	с ее	1	6
46	в дальнейшем	4	6
47	связи с	1	6
48	у него	2	6
49	не может	17	6
50	так же	1	6
51	в результате	6	6
52	и все	3	6
53	отношению к	1	5
54	и до	1	5
55	еще не	3	5
56	но не	1	5
57	и речи	1	5
58	отнюдь не	3	5
59	и у	1	5
60	не в	3	5
61	этот процесс	1	5
62	он не	1	5
63	значение в	2	5
64	жизни но	1	5
65	точки зрения	12	5
66	только и	1	5
67	могут быть	2	5
68	но все	2	5
69	если бы	1	5
70	в связи	1	5
71	что в	2	5
72	и это	1	4
73	в ней	1	4
74	в своем	1	4
75	конечно не	1	4
76	и пространства	2	4
77	том что	1	4
78	в процессе	1	4
79	не имеет	1	4
80	или как	1	4
81	и следовательно	1	4
82	только в	1	4
83	и т.п	1	4
84	на этой	3	4
85	все это	3	4
86	между собой	3	4
87	кроме того	1	4
88	и для	1	4
89	по преимуществу	1	3
90	не имеют	1	3
91	есть не	1	3
92	мы не	9	3
93	по отношению	1	3
94	к концу	1	3
95	хотя и	1	3
96	всего необходимо	1	3
97	в себе	3	3
98	и те	1	3
99	вследствие этого	1	3
100	при этом	3	3
101	в основу	1	3
102	его в	1	3
103	в новое	1	3
104	здесь нет	1	3
105	для них	1	3
106	между ними	1	3
107	но эта	1	3
108	их в	4	3
109	но они	1	3
110	xviii века	1	3
111	жизни не	1	3
112	не могут	2	3
113	все его	1	3
114	во всей	1	3
115	один из	1	3
116	мы видим	2	3
117	одной из	1	3
118	с одной	2	3
119	со всеми	2	3
120	только на	1	3
121	же в	1	3
122	в начале	1	3
123	в одном	3	3
124	до сих	1	3
125	именно в	1	3
126	только к	1	3
127	быть только	1	3
128	а не	3	3
129	вместе с	4	3
130	и потому	3	3
131	сих пор	1	3
132	ряд в	1	3
133	например у	1	3
134	или в	1	3
135	еще более	2	3
136	а в	4	3
137	всеми его	1	3
138	не знает	1	3
139	сказать что	1	3
