N	2gram	Tiupa_Anal_3	Retstnzi
1	не может	2	4
2	и в	18	3
3	один из	2	2
4	если в	3	2
5	в иную	1	1
6	в особенности	3	1
7	художественного целого	6	1
8	и не	12	1
9	категорий и	1	1
10	не только	22	1
11	связи с	1	1
12	этой проблемы	1	1
13	бы на	1	1
14	точки зрения	3	1
15	на примере	2	1
16	во второй	7	1
17	но и	13	1
18	и должно	1	1
19	не менее	4	1
20	с другими	1	1
21	в ней	2	1
22	может и	1	1
23	с теми	1	1
24	в то	3	1
25	с точки	2	1
26	произведения но	1	1
27	и на	4	1
28	для него	6	1
29	сравнении с	2	1
30	к тому	6	1
31	а не	9	1
32	может быть	9	1
33	при анализе	1	1
34	несмотря на	2	1
35	и взаимное	1	1
36	в его	7	1
37	же время	3	1
38	без учета	1	1
39	то же	3	1
40	и все	2	1
41	из этих	3	1
42	если бы	1	1
43	в каждом	3	1
44	бы в	1	1
