N	3gram	Propp_Morf_1	Problemy
1	с точки зрения	2	9
2	до сих пор	1	8
3	не может быть	9	8
4	в большинстве случаев	3	8
5	по отношению к	4	5
6	друг с другом	1	5
7	то перед нами	5	4
8	более или менее	2	3
9	как мы увидим	4	3
10	с другой стороны	4	3
11	мы имеем в	1	3
12	как и в	2	3
13	хотя и не	1	2
14	здесь не место	1	2
15	и в других	1	2
16	в том что	3	2
17	том или другом	1	2
18	друг на друга	2	2
19	о том что	1	2
20	сих пор не	1	2
21	можно сказать что	1	2
22	двух точек зрения	1	2
23	в этих случаях	11	2
24	мы увидим что	1	2
25	для наших целей	1	2
26	они играют в	1	1
27	но и она	1	1
28	нужно иметь в	1	1
29	иметь в виду	1	1
30	а вовсе не	1	1
31	с большим количеством	1	1
32	и даже не	1	1
33	отношению к этой	1	1
34	том что он	1	1
35	и в некоторых	1	1
36	в этом случае	8	1
37	точки зрения его	1	1
38	ко второму типу	1	1
39	то это совершенно	1	1
40	если же он	1	1
41	мы не будем	2	1
42	мы переходим к	1	1
43	относится ко второму	1	1
44	так как мы	1	1
45	является одним из	1	1
46	в сущности вовсе	1	1
47	хотя и здесь	1	1
48	иногда же она	1	1
49	еще мал и	1	1
50	можно наблюдать что	1	1
51	может быть и	2	1
52	одно и то	1	1
53	мы увидим дальше	1	1
54	но для наших	1	1
55	там где есть	1	1
56	в том или	1	1
57	в данном случае	1	1
58	героя а не	1	1
59	и заставляет его	1	1
60	с одной стороны	1	1
61	важное значение для	1	1
62	а не первого	1	1
63	и то же	1	1
64	если мы не	3	1
65	не входит в	1	1
66	мы будем говорить	1	1
67	то мы не	1	1
68	перед нами в	1	1
69	на его жизнь	1	1
70	в связи с	8	1
71	собственном смысле слова	3	1
72	во всяком случае	2	1
73	в точном смысле	1	1
74	один из его	1	1
75	может быть разрешен	2	1
76	вовсе не с	1	1
77	вместо того чтобы	1	1
78	самом деле в	1	1
79	и пр он	2	1
80	здесь перед нами	1	1
81	так как его	1	1
82	но они не	1	1
83	в собственном смысле	3	1
84	и как их	1	1
85	то что не	1	1
86	с самого начала	1	1
87	но все же	3	1
88	сюда же относится	1	1
89	эта форма в	1	1
90	если же они	1	1
91	после того как	1	1
92	героя может быть	1	1
93	к тому что	3	1
94	типа а не	1	1
95	друг за другом	2	1
96	дело не в	2	1
97	перед нами опять	1	1
98	в высшей степени	1	1
99	самого начала в	1	1
100	следует за ней	1	1
