N	3gram	Tiupa_Narr_2	NovoeSre
1	не может быть	2	4
2	подобно тому как	2	3
3	в этом смысле	1	2
4	так же как	2	2
5	с одной стороны	5	2
6	по своей природе	2	1
7	и того же	1	1
8	и в жизни	1	1
9	и в будущем	1	1
10	то время как	1	1
11	одного и того	1	1
12	до сих пор	1	1
13	и не может	2	1
14	что он может	1	1
15	в зависимости от	1	1
16	в отличие от	5	1
17	но и в	2	1
18	в то что	1	1
19	можно было бы	1	1
20	может быть только	1	1
21	этом я уже	1	1
22	не только в	6	1
23	в известном смысле	3	1
24	по природе своей	1	1
25	не в том	1	1
26	то что он	1	1
27	в нем не	1	1
28	во всяком случае	1	1
29	он не имел	1	1
30	я не могу	1	1
31	в мире а	1	1
32	о том что	4	1
33	в то время	1	1
34	и для другого	1	1
35	ни в чем	1	1
36	в этой системе	1	1
37	несоизмеримо более высокой	1	1
38	в большинстве случаев	1	1
39	нового времени и	1	1
40	в том смысле	1	1
41	в том что	8	1
