N	3gram	Losev_Prob_1	FransuaR
1	в том что	5	6
2	той или иной	4	5
3	как мы уже	1	5
4	искусства и литературы	1	4
5	до сих пор	3	4
6	то есть в	4	4
7	литературы и искусства	4	3
8	даже и в	1	3
9	в известной мере	1	3
10	мы уже сказали	1	3
11	в этом отношении	1	3
12	на самом же	1	3
13	в нем только	2	3
14	самом же деле	1	3
15	выходит за пределы	1	3
16	с точки зрения	3	3
17	литературе и в	1	2
18	так и в	1	2
19	и в литературе	1	2
20	в это время	1	2
21	и в том	1	2
22	и ни на	1	2
23	и в других	3	2
24	на самом деле	4	2
25	вовсе не является	3	2
26	как раз и	7	2
27	в основе своей	1	2
28	и вовсе не	4	2
29	дело в том	3	2
30	во всех этих	2	2
31	в чем же	1	1
32	при этом что	1	1
33	не могут быть	1	1
34	не потому что	2	1
35	мы говорили уже	1	1
36	в его целом	1	1
37	из них не	1	1
38	в то же	4	1
39	в самом деле	2	1
40	о которой мы	1	1
41	в самом начале	1	1
42	мы уже указывали	1	1
43	ни для кого	1	1
44	обеднена и в	1	1
45	говорили выше в	1	1
46	чтобы они стали	1	1
47	во время этого	1	1
48	в какой-то мере	1	1
49	мы встречаемся с	1	1
50	до известной степени	1	1
51	можно сказать что	3	1
52	и в искусстве	2	1
53	сводится к тому	1	1
54	нет в его	1	1
55	моменты его жизни	1	1
56	с другой стороны	3	1
57	к тому же	1	1
58	а между тем	1	1
59	на первый план	1	1
60	все подобного рода	1	1
61	кроме того он	1	1
62	о чем мы	1	1
63	то есть по	2	1
64	во всей своей	1	1
65	только в самом	1	1
66	но как раз	1	1
67	но в то	1	1
68	это не просто	1	1
69	есть еще и	2	1
70	и может быть	1	1
71	между тем и	1	1
72	и ничего не	1	1
73	чем иным как	1	1
74	уже вовсе не	1	1
75	в настоящее время	3	1
76	но еще и	1	1
77	так как он	2	1
78	не только в	1	1
79	его от всех	1	1
80	то или иное	1	1
81	и не подозревает	1	1
82	сами по себе	3	1
83	до наших дней	1	1
84	то что было	1	1
85	в связи с	4	1
86	и даже больше	1	1
87	в нем всегда	1	1
88	мы вовсе не	2	1
89	ни на что	1	1
90	все это в	1	1
91	то что мы	6	1
92	в известном смысле	1	1
93	между прочим в	1	1
94	и отказывается от	1	1
95	можно даже сказать	1	1
96	в дальнейшем мы	1	1
97	в литературе и	4	1
98	не чем иным	1	1
99	тех или иных	2	1
100	для того чтобы	8	1
101	и в них	1	1
102	никогда не может	2	1
103	до настоящего времени	1	1
104	во всяком случае	3	1
105	и пр но	1	1
106	имеет огромное значение	1	1
107	один из них	1	1
108	от нас и	1	1
109	это вовсе не	2	1
110	как раз в	1	1
111	не может быть	2	1
