N	2gram	Vygotskiy__4	Otkroven
1	у него	6	22
2	человеческой природы	2	20
3	и в	33	19
4	но и	3	13
5	и не	13	13
6	в этом	28	12
7	не в	2	11
8	не только	7	11
9	может быть	22	11
10	а не	6	11
11	человека и	1	10
12	вопрос о	2	10
13	в нем	7	10
14	и все	12	10
15	в самой	6	9
16	прежде всего	2	9
17	не было	3	9
18	никогда не	5	9
19	потому что	24	9
20	и он	3	8
21	он всегда	1	7
22	в его	10	7
23	он не	11	7
24	в глубине	1	7
25	до конца	7	7
26	нет ничего	1	7
27	но он	6	7
28	от него	1	7
29	как и	5	6
30	все это	13	6
31	до самого	2	5
32	в том	21	5
33	в самом	12	5
34	в этой	9	5
35	для него	1	5
36	него в	1	5
37	о его	1	5
38	а в	4	5
39	то что	44	5
40	о боге	1	4
41	он сам	1	4
42	с его	2	4
43	все в	1	4
44	все эти	6	4
45	в легенде	2	4
46	что не	4	4
47	человеческих отношений	1	4
48	не может	10	4
49	того чтобы	22	4
50	человек и	1	4
51	и мысли	1	4
52	и его	5	4
53	что в	21	4
54	нем нет	2	3
55	и есть	4	3
56	о том	20	3
57	еще не	1	3
58	к нему	1	3
59	было бы	12	3
60	того что	4	3
61	когда он	7	3
62	что он	20	3
63	и ее	2	3
64	в себе	6	3
65	и вот	6	3
66	для того	23	3
67	это было	4	3
68	это не	6	3
69	только одно	2	3
70	никто не	4	3
71	мысли и	1	3
72	природы но	1	3
73	как бы	25	3
74	с ним	5	3
75	в русской	2	3
76	как художник	1	3
77	и от	2	3
78	в этих	1	3
79	хотя бы	2	3
80	в своих	3	3
81	и с	2	2
82	из всего	1	2
83	те которые	2	2
84	и то	2	2
85	в ее	2	2
86	мысль о	1	2
87	от самого	1	2
88	что у	4	2
89	так и	3	2
90	его не	2	2
91	и о	4	2
92	по себе	9	2
93	вместо того	2	2
94	чего это	1	2
95	и на	5	2
96	природы и	1	2
97	совсем не	1	2
98	не все	2	2
99	что и	3	2
100	самого конца	2	2
101	что они	6	2
102	в истории	1	2
103	как к	1	2
104	в своем	7	2
105	все же	5	2
106	вопросом о	1	2
107	и к	2	2
108	в этот	1	2
109	и потому	2	2
110	должен был	3	2
111	в которой	4	2
112	в уста	3	2
113	так что	7	2
114	уже в	2	2
115	с чем	2	2
116	в душе	1	2
117	что для	5	2
118	одно из	2	2
119	он весь	1	2
120	которую он	2	2
121	много раз	2	2
122	так как	12	2
123	и никогда	1	2
124	тем что	3	2
125	в другом	1	2
126	и из	3	2
127	его в	3	2
128	он восклицает	1	2
129	сказать что	13	2
130	с тем	4	2
131	и очень	1	2
132	личности и	1	2
133	должно быть	3	2
134	него не	1	2
135	том что	22	2
136	что есть	1	2
137	в дневнике	3	2
138	для всякого	1	2
139	к этому	4	2
140	не могли	1	2
141	не имеет	2	2
142	и для	3	2
143	самое главное	1	2
144	ничего не	2	2
145	и ни	1	2
146	к ней	1	2
147	жизни в	1	2
148	в своей	4	2
149	что все	11	2
150	к этой	3	2
151	ее в	4	2
152	но в	2	2
153	не занят	1	2
154	им для	1	1
155	и это	5	1
156	в обычном	1	1
157	также и	2	1
158	например в	3	1
159	и открывает	1	1
160	от самой	1	1
161	и действительно	1	1
162	связана с	1	1
163	в виду	2	1
164	сам по	2	1
165	с кем	1	1
166	совершенно новый	3	1
167	не могу	1	1
168	на самом	6	1
169	характер и	1	1
170	тем же	1	1
171	между двумя	2	1
172	нет никакой	2	1
173	уже с	2	1
174	из самых	1	1
175	к другому	1	1
176	и до	3	1
177	жизни ее	2	1
178	не имеют	1	1
179	тему его	1	1
180	и когда	2	1
181	можно было	4	1
182	всей ее	2	1
183	был чисто	1	1
184	жизнь а	1	1
185	есть не	1	1
186	и каждый	1	1
187	он знает	2	1
