N	2gram	Savitsky_P_1	Analitik
1	не только	17	22
2	и в	14	18
3	как и	1	14
4	в этом	10	14
5	но и	6	13
6	том что	4	12
7	в качестве	9	12
8	и не	12	12
9	в частности	2	12
10	а в	4	10
11	как бы	4	10
12	что в	4	9
13	может быть	5	9
14	со стороны	2	9
15	а не	2	9
16	в том	9	9
17	с его	1	8
18	в русской	4	7
19	как раз	2	7
20	в его	2	7
21	с другой	5	7
22	но не	3	7
23	еще не	1	6
24	в этой	1	6
25	не в	5	6
26	в начале	2	6
27	в самом	1	5
28	в мире	2	5
29	или иной	1	5
30	что и	1	5
31	между тем	3	5
32	никогда не	1	5
33	прежде всего	3	5
34	в результате	1	5
35	другой стороны	1	5
36	представляет собой	1	5
37	и на	1	4
38	столь же	3	4
39	отнюдь не	2	4
40	в своем	4	4
41	и как	3	4
42	что по	1	4
43	и к	4	4
44	по себе	4	4
45	тем самым	3	4
46	ли не	1	4
47	не менее	2	4
48	в пределах	8	4
49	себя в	1	4
50	не есть	1	4
51	далеко не	1	4
52	в данном	1	4
53	все же	1	4
54	о о	1	4
55	я и	3	3
56	мы не	3	3
57	говорить о	2	3
58	уже в	1	3
59	в сочетании	2	3
60	но как	1	3
61	если в	2	3
62	в рамках	1	3
63	с этим	2	3
64	из этих	1	3
65	то же	9	3
66	в каждом	1	3
67	его в	1	3
68	точки зрения	3	3
69	и без	3	3
70	не столько	2	3
71	все это	2	3
72	в то	7	3
73	же время	7	3
74	с ее	1	3
75	в ее	2	3
76	мысль о	2	3
77	восходит к	1	3
78	именно в	2	3
79	было бы	6	3
80	и е	4	3
81	были бы	1	3
82	что не	1	3
83	не было	2	3
84	к жизни	1	3
85	только к	1	2
86	отношения к	2	2
87	например в	2	2
88	по преимуществу	1	2
89	есть не	2	2
90	на себя	1	2
91	в ней	6	2
92	во всех	2	2
93	в общем	2	2
94	отличие от	1	2
95	более чем	2	2
96	как к	1	2
97	могли бы	1	2
98	но в	9	2
99	бы и	1	2
100	в себе	3	2
101	не могла	1	2
102	наш взгляд	1	2
103	в нем	3	2
104	не как	1	2
105	и вот	2	2
106	и по	1	2
107	о в	5	2
108	это не	3	2
109	о и	2	2
110	в жизни	2	2
111	в них	2	2
112	с тем	3	2
113	к первому	1	2
114	с точки	3	2
115	в отличие	1	2
116	одна из	2	2
117	на наш	1	2
118	сводится к	3	2
119	в момент	1	2
120	могут быть	3	2
121	сравнении с	3	2
122	в себя	1	2
123	те же	1	2
124	не с	1	2
125	в борьбе	1	2
126	осуществляется в	2	2
127	приобщается к	1	2
128	и здесь	1	2
129	или иным	1	2
130	в значительной	2	2
131	сознания к	1	2
132	тех пор	1	2
133	обе эти	1	2
134	только в	7	2
135	и ее	1	2
136	тот или	1	2
137	с одной	3	2
138	в большинстве	1	2
139	всяком случае	1	2
140	мы можем	1	2
141	одной стороны	3	2
142	который не	1	2
143	там где	1	2
144	что мы	3	2
145	не может	4	2
146	вместе с	1	2
147	и потому	4	2
148	да и	2	2
149	на пути	4	2
150	хотя и	3	2
151	не более	1	2
152	в сравнении	3	2
153	же в	4	2
154	то что	4	2
155	в иной	1	2
156	а также	4	2
157	во всяком	1	2
158	гораздо более	1	2
159	как известно	1	1
160	также что	1	1
161	связана с	1	1
162	которого в	1	1
163	и есть	2	1
164	тем же	1	1
165	на две	1	1
166	и само	1	1
167	русской культуре	1	1
168	что если	1	1
169	вопрос о	1	1
170	никак не	2	1
171	оно есть	1	1
172	план в	1	1
173	в полной	2	1
174	бы ни	2	1
175	мы и	1	1
176	он был	1	1
177	она являет	1	1
178	время в	2	1
179	спор не	1	1
180	не все	1	1
181	собою как	1	1
182	под покровом	1	1
183	в истории	1	1
184	что во	1	1
185	человеческого бытия	1	1
186	не два	1	1
187	ничего более	1	1
188	поскольку мы	1	1
189	к чему	2	1
190	них самих	1	1
191	в известном	1	1
192	во многих	1	1
193	на то	1	1
194	что каждая	1	1
195	в отдельности	1	1
196	в статье	2	1
197	обратившись к	1	1
198	к миру	1	1
199	судьбы но	1	1
200	при виде	1	1
201	в восприятии	1	1
202	и еще	1	1
203	в силу	2	1
204	вся в	1	1
205	какой бы	1	1
206	и обрести	1	1
207	этом мире	1	1
208	а затем	1	1
209	тем в	1	1
210	того кто	1	1
211	сущности не	1	1
212	большинстве случаев	1	1
213	заключается в	3	1
214	и иных	1	1
215	этом смысле	1	1
216	есть и	1	1
217	на свои	1	1
218	из нее	1	1
219	должно быть	2	1
220	в эту	2	1
221	в г	1	1
222	место в	1	1
223	мысли и	1	1
224	теми же	1	1
225	что было	1	1
226	для этого	1	1
227	ни были	1	1
228	исторического бытия	1	1
229	мнения о	1	1
230	бы мы	1	1
231	само по	1	1
232	можно судить	1	1
233	того чтобы	1	1
234	каждый из	1	1
235	казалось бы	1	1
236	или иная	1	1
237	иными словами	1	1
238	где уже	1	1
239	более что	1	1
240	потому что	3	1
241	и теперь	1	1
242	что уже	1	1
243	в наши	1	1
244	все еще	1	1
245	что при	1	1
246	в применении	1	1
247	и о	5	1
248	этот спор	1	1
249	определенный и	1	1
250	культуры и	1	1
251	известных в	1	1
252	отчим домом	1	1
253	из двух	1	1
254	особенно в	1	1
255	по природе	1	1
256	живет в	1	1
257	момента и	1	1
258	является в	2	1
259	они как	1	1
260	если бы	4	1
261	внимание к	1	1
262	именно потому	1	1
263	церкви в	1	1
264	характер этого	1	1
265	этих двух	1	1
