N	2gram	Nazirov_Vr_1	Problema
1	в его	3	43
2	и не	5	42
3	и в	8	38
4	не может	2	27
5	может быть	4	26
6	как бы	4	22
7	отнюдь не	2	19
8	и с	6	17
9	и его	3	16
10	в этом	8	15
11	в нем	6	15
12	прежде всего	1	13
13	независимо от	1	13
14	но не	1	12
15	во всех	1	11
16	отношение к	2	10
17	таким образом	2	10
18	в их	1	10
19	к нему	1	10
20	не только	9	9
21	не имеет	1	9
22	его в	3	9
23	но и	7	9
24	и как	3	8
25	было бы	1	8
26	точки зрения	2	8
27	место в	2	8
28	в том	3	8
29	то что	7	8
30	еще не	2	7
31	в самом	1	7
32	в плане	1	7
33	как и	6	7
34	с другой	1	7
35	между тем	5	7
36	с помощью	1	7
37	в своей	2	7
38	что в	7	7
39	отношения к	2	6
40	на основе	2	6
41	и наконец	1	6
42	не всегда	1	6
43	с точки	2	6
44	не есть	1	6
45	ничего не	1	6
46	все же	6	6
47	а в	2	6
48	только как	1	6
49	себя как	1	5
50	высшей степени	1	5
51	в своем	3	5
52	при этом	4	5
53	то же	5	5
54	это не	4	5
55	в них	2	5
56	рядом с	2	5
57	в высшей	1	5
58	далеко не	3	5
59	так и	1	5
60	остается за	1	5
61	и о	3	5
62	никогда не	2	5
63	с ним	4	5
64	могут быть	1	5
65	содержания в	1	4
66	в виду	4	4
67	в ней	4	4
68	как в	1	4
69	но в	6	4
70	в себе	2	4
71	не должна	1	4
72	не менее	2	4
73	но они	1	4
74	тем самым	1	4
75	в то	5	4
76	в ее	1	4
77	не с	1	4
78	о том	4	4
79	в форме	1	4
80	к которому	1	4
81	в романе	6	4
82	более того	1	4
83	только по	1	4
84	другой стороны	1	4
85	также и	1	3
86	едва ли	1	3
87	говорить о	1	3
88	на них	1	3
89	не будем	1	3
90	в целом	1	3
91	он не	3	3
92	в мире	2	3
93	несмотря на	4	3
94	том что	3	3
95	тем не	1	3
96	же время	5	3
97	и это	2	3
98	хотя и	1	3
99	и от	1	3
100	ясно что	1	3
101	этом смысле	1	3
102	но с	1	3
103	в известной	1	3
104	и даже	6	3
105	да и	1	3
106	но это	2	3
107	все это	4	3
108	и другими	1	3
109	и все	7	3
110	в таком	1	3
111	все что	1	3
112	они не	1	3
113	можно говорить	1	2
114	и есть	1	2
115	так при	1	2
116	в котором	6	2
117	их и	1	2
118	совпадает с	1	2
119	это отношение	1	2
120	я не	3	2
121	и он	2	2
122	первый план	1	2
123	столь же	2	2
124	в чем	3	2
125	с его	3	2
126	но как	2	2
127	не все	1	2
128	в истории	4	2
129	дает нам	1	2
130	как к	1	2
131	себе не	1	2
132	и у	3	2
133	что это	1	2
134	момент его	1	2
135	на то	3	2
136	человека в	3	2
137	входя в	1	2
138	на первый	2	2
139	не могли	1	2
140	том же	2	2
141	и вообще	1	2
142	раз и	1	2
143	что эта	1	2
144	произведения это	1	2
145	одна из	2	2
146	эстетический характер	1	2
147	во всем	1	2
148	связи с	3	2
149	этом отношении	1	2
150	к себе	2	2
151	отличается от	1	2
152	только при	1	2
153	том как	1	2
154	и что	8	2
155	от них	1	2
156	и во	3	2
157	этот момент	2	2
158	человека как	1	2
159	в него	2	2
160	того что	1	2
161	что он	4	2
162	и ее	2	2
163	себя в	1	2
164	в нашей	2	2
165	в начале	6	2
166	ни с	1	2
