N	3gram	Tiupa_Disk_2	Mirosoze
1	не может быть	3	17
2	добра и зла	1	4
3	потому что в	1	3
4	заключает в себе	2	3
5	тем что он	1	2
6	и не может	2	2
7	по отношению к	4	2
8	как будто бы	1	2
9	не могут быть	1	2
10	прежде всего в	1	2
11	в своем творчестве	1	2
12	о том что	3	1
13	еще в одном	2	1
14	место в творчестве	1	1
15	не только от	1	1
16	в иных случаях	1	1
17	в мире и	2	1
18	отличается не только	1	1
19	свет и на	1	1
20	между тем как	1	1
21	двоится для человека	1	1
22	по природе своей	2	1
23	в том что	6	1
24	несет в себе	2	1
25	раскрывается не в	1	1
26	в отличие от	12	1
27	но не менее	1	1
28	в значительной степени	1	1
29	обращение к богу	1	1
30	в себе самом	1	1
31	в себе страшную	1	1
32	в самом деле	1	1
33	но также и	1	1
34	в наше время	2	1
35	но это не	1	1
36	и не быть	1	1
37	не в том	1	1
38	но и от	1	1
39	во всяком случае	1	1
