N	4gram	Trubetskoy_1	KulturaY
1	одного и того же	1	2
2	о котором идет речь	2	2
3	заключается в том что	1	2
4	в то же время	10	2
5	а в том что	1	2
6	только для того чтобы	1	1
7	от этого не меняется	1	1
8	есть ничто иное как	1	1
9	точно так же как	1	1
10	свидетельствуют о том что	1	1
11	только в том случае	2	1
12	то это потому что	2	1
13	сводится к тому что	1	1
14	в том случае если	3	1
15	и вместе с тем	2	1
16	что с точки зрения	1	1
17	не трудно видеть что	1	1
18	что в большинстве случаев	1	1
19	и с точки зрения	1	1
20	на том основании что	1	1
21	во всех этих случаях	1	1
