N	2gram	Bakhtin_KF_1	KulturaY
1	потому что	2	25
2	и в	24	23
3	не только	5	20
4	в том	6	19
5	в этом	14	18
6	и не	26	16
7	может быть	45	15
8	так как	1	15
9	было бы	8	15
10	ни к	2	15
11	точки зрения	12	14
12	все эти	10	12
13	в самом	1	12
14	если бы	8	12
15	того чтобы	2	11
16	но в	5	11
17	в области	2	11
18	том что	4	11
19	по себе	2	10
20	что в	4	10
21	а не	17	10
22	вопрос о	2	9
23	не может	27	9
24	вовсе не	7	9
25	хотя бы	4	9
26	то что	7	9
27	для того	3	9
28	самом деле	3	9
29	не в	12	8
30	прежде всего	2	8
31	в качестве	2	8
32	уже не	7	8
33	с точки	9	8
34	и пр	3	8
35	и с	1	7
36	не менее	3	7
37	что это	3	7
38	все же	5	7
39	в нашем	1	7
40	но и	9	7
41	но не	12	6
42	между тем	4	6
43	это не	10	6
44	то же	5	6
45	что не	3	6
46	ту же	1	6
47	слова в	2	6
48	в этой	2	6
49	и на	3	6
50	тем не	2	6
51	что мы	1	6
52	приводит к	1	5
53	и здесь	7	5
54	во всяком	1	5
55	этого слова	2	5
56	должна быть	4	5
57	все это	10	5
58	там где	5	5
59	как это	1	5
60	об этом	1	5
61	еще не	4	5
62	вместе с	1	5
63	этом смысле	3	5
64	в его	40	5
65	лишь в	8	5
66	тот же	1	5
67	зависимости от	1	5
68	всяком случае	1	5
69	что все	1	5
70	и тем	3	5
71	ясно что	3	5
72	само по	1	5
73	слова и	1	5
74	только в	16	5
75	также и	1	5
76	один из	2	5
77	несмотря на	1	5
78	должен быть	7	5
79	не следует	1	5
80	я не	6	5
81	что он	2	5
82	мы имеем	5	5
83	и то	2	5
84	для нас	4	4
85	говорить о	2	4
86	можно сказать	1	4
87	или в	1	4
88	это слово	1	4
89	так и	2	4
90	не было	8	4
91	но только	1	4
92	в каком	4	4
93	на то	1	4
94	в нем	28	4
95	что я	5	4
96	бы и	3	4
97	в то	3	4
98	к тому	1	4
99	хотя и	1	4
100	не имеет	5	4
101	отнюдь не	6	4
102	и о	1	4
103	ни в	12	4
104	должно быть	6	4
105	можно ли	1	4
106	ничего не	3	4
107	со стороны	7	4
108	в зависимости	1	4
109	от того	3	4
110	могут быть	3	4
111	в результате	1	4
112	была бы	1	4
113	к этому	2	4
114	если мы	1	4
115	как бы	9	4
116	но все	5	4
117	в данном	2	4
118	если и	1	3
119	не знает	5	3
120	смысл и	6	3
121	гораздо более	1	3
122	того же	1	3
123	главным образом	1	3
124	же в	1	3
125	или иное	2	3
