N	2gram	Tiupa_Narr_1	Retstnzi
1	не может	8	4
2	и в	11	3
3	в центре	3	2
4	один из	6	2
5	если в	2	2
6	не смог	1	1
7	в особенности	2	1
8	и событий	1	1
9	художественного целого	1	1
10	и не	23	1
11	тому что	1	1
12	не только	31	1
13	ни один	1	1
14	связи с	2	1
15	событий и	1	1
16	точки зрения	5	1
17	во второй	1	1
18	языка как	1	1
19	так называемая	2	1
20	но и	27	1
21	не менее	3	1
22	с другими	1	1
23	тех же	1	1
24	русской литературы	1	1
25	не из	1	1
26	персонажей и	1	1
27	по своим	2	1
28	в ней	4	1
29	о художественной	1	1
30	в то	4	1
31	с точки	1	1
32	и на	5	1
33	для него	4	1
34	ситуации и	2	1
35	на нее	1	1
36	к тому	6	1
37	а не	13	1
38	его от	1	1
39	может быть	15	1
40	в его	6	1
41	же время	4	1
42	то же	8	1
43	и все	3	1
44	из этих	4	1
45	язык как	2	1
46	если бы	7	1
47	исходя из	3	1
