N	3gram	Medvedev_U_1	Problemy
1	то же время	3	10
2	в то же	3	10
3	но в то	1	4
4	и прежде всего	1	4
5	друг с другом	1	4
6	а между тем	2	3
7	в этом смысле	2	3
8	бы то ни	3	3
9	же время не	1	3
10	то ни было	3	3
11	в конце концов	2	3
12	с другой стороны	3	3
13	не может быть	4	3
14	и в то	1	2
15	сам по себе	1	2
16	и что все	1	2
17	в том что	2	2
18	этом отношении очень	1	1
19	в самом деле	2	1
20	но даже и	2	1
21	в этом случае	1	1
22	в ухо ивану	1	1
23	до сих пор	2	1
24	не входит в	1	1
25	таким образом на	1	1
26	о нем но	1	1
27	по крайней мере	2	1
28	и то что	2	1
29	и у других	1	1
30	в данном случае	1	1
31	тем что он	1	1
32	в большей или	1	1
33	или меньшей степени	1	1
34	большей или меньшей	1	1
35	он и делает	1	1
36	смысле можно сказать	1	1
37	еще один пример	1	1
38	можно сказать что	1	1
39	не может обойтись	1	1
40	этом смысле можно	1	1
41	никогда и не	1	1
42	то же самое	2	1
43	в этом отношении	2	1
