N	3gram	Nazirov_Tv_1	Vladivir
1	там же с	2	10
2	в том что	6	9
3	в связи с	1	8
4	тем не менее	2	6
5	что же касается	1	5
6	в эти годы	1	4
7	по крайней мере	2	4
8	дело в том	3	3
9	в отличие от	1	3
10	в то же	13	3
11	точно так же	2	3
12	в конце концов	1	3
13	у него в	1	3
14	то же время	12	3
15	о том что	5	3
16	вышла в году	1	2
17	хотя и не	1	2
18	в настоящее время	1	2
19	в том же	1	2
20	нам кажется что	1	2
21	в данном случае	2	2
22	не только в	2	2
23	в котором все	1	2
24	в свою очередь	1	2
25	не то что	1	2
26	заключается в том	1	2
27	есть единство и	1	2
28	и все же	3	2
29	что иное как	1	1
30	не может не	1	1
31	да и в	1	1
32	в году когда	1	1
33	прежде всего на	1	1
34	чуть ли не	1	1
35	та же самая	2	1
36	равно как и	1	1
37	если он хочет	1	1
38	вот в чем	1	1
39	он не может	1	1
40	до сих пор	1	1
41	и в то	2	1
42	бы то ни	1	1
43	эти слова не	1	1
44	у него не	1	1
45	а может быть	1	1
46	только то что	1	1
47	то что в	1	1
48	на первом плане	2	1
49	что все это	3	1
50	в году он	1	1
51	о жизни и	1	1
52	вместе с тем	1	1
53	все же это	1	1
54	и тем не	1	1
55	но в то	4	1
56	в году в	2	1
57	и как бы	1	1
58	в первую очередь	1	1
59	и наконец в	1	1
60	и того что	1	1
61	у него и	1	1
62	и в свою	1	1
63	мы находим у	1	1
64	имел в виду	1	1
65	с самого начала	3	1
66	это значит что	1	1
67	утверждал что в	1	1
68	еще более резко	1	1
69	то что его	1	1
70	можно сказать что	2	1
71	за то что	1	1
72	нет никакой разницы	1	1
73	но это не	1	1
74	не что иное	1	1
75	чем у нас	1	1
76	к тому же	1	1
77	в отрыве от	1	1
78	является как бы	1	1
79	при этом она	1	1
80	и т д	1	1
