N	2gram	Berdyaev_M_2	Poddanst
1	не только	18	17
2	и в	46	14
3	и не	18	12
4	в этом	20	10
5	в отношении	5	10
6	но в	10	9
7	то же	5	9
8	в том	3	9
9	в пределах	1	8
10	хотя бы	7	8
11	только в	3	7
12	в судьбах	3	6
13	в ней	11	6
14	xix века	1	6
15	было бы	1	6
16	но и	15	6
17	быть может	2	6
18	отношении к	3	5
19	в которых	1	5
20	с другой	1	5
21	может быть	21	5
22	не в	9	5
23	на путях	1	4
24	если бы	3	4
25	а также	1	4
26	россии и	2	4
27	в своем	8	4
28	и к	7	4
29	русская революция	1	4
30	как бы	8	4
31	и если	2	4
32	европейской культуры	1	4
33	и политического	1	4
34	но также	1	4
35	том что	4	4
36	не может	15	4
37	и потому	7	4
38	в котором	1	4
39	по себе	2	4
40	в русской	6	4
41	революция есть	2	4
42	что в	4	4
43	мы должны	1	4
44	а в	2	4
45	то что	5	4
46	мы не	1	3
47	между тем	2	3
48	это не	5	3
49	вслед за	1	3
50	экономического и	1	3
51	хотя и	2	3
52	и как	1	3
53	тот же	2	3
54	в себе	10	3
55	в нем	22	3
56	в россии	3	3
57	для того	5	3
58	прежде всего	12	3
59	с тем	1	3
60	и без	1	3
61	с точки	1	3
62	она есть	2	3
63	т е	4	3
64	потому что	12	3
65	точки зрения	2	3
66	я и	2	3
67	и это	5	2
68	отношения к	2	2
69	в сфере	2	2
70	в ее	1	2
71	другие народы	1	2
72	и есть	8	2
73	в мире	7	2
74	было в	3	2
75	есть не	5	2
76	начала и	1	2
77	по характеру	1	2
78	по сравнению	1	2
79	одних и	1	2
80	только это	2	2
81	но к	1	2
82	в xix	1	2
83	в значительной	1	2
84	во всех	2	2
85	говорить о	1	2
86	если в	1	2
87	в русском	4	2
88	русской революции	3	2
89	с этим	1	2
90	того что	6	2
91	духа и	3	2
92	к чему	4	2
93	х и	1	2
94	бы ни	1	2
95	думать что	4	2
96	есть в	3	2
97	и других	2	2
98	в его	5	2
99	не к	2	2
100	и вот	5	2
101	и с	3	2
102	может ли	1	2
103	мира с	1	2
104	и тем	1	2
105	в жизни	4	2
106	xix веке	1	2
107	для них	1	2
108	в них	3	2
109	церкви и	1	2
110	не было	11	2
111	а не	13	2
112	должно быть	2	2
113	более чем	2	2
114	в европе	1	2
115	в тот	1	2
116	культуры в	1	2
117	все это	1	2
118	не о	2	2
119	русский народ	5	2
120	мысль о	2	2
121	да и	2	2
122	еще более	2	2
123	и русского	1	2
124	как на	1	2
125	которых не	1	1
126	от этой	2	1
127	также и	4	1
128	же как	3	1
129	связана с	7	1
130	и то	1	1
131	судьбы человеческой	3	1
132	единения эта	1	1
133	духа есть	1	1
134	во времена	1	1
135	и этим	2	1
136	культуры и	1	1
137	по преимуществу	5	1
138	есть путь	2	1
139	царская власть	1	1
140	на человеческую	1	1
141	должна быть	1	1
142	на нее	1	1
143	его нет	1	1
144	те же	5	1
145	не с	1	1
146	христианства в	1	1
147	по природе	1	1
148	в борьбе	1	1
149	очень далеко	1	1
150	еще в	2	1
151	не осуществляется	1	1
152	в эпоху	1	1
153	для этого	4	1
154	находится в	1	1
155	на себя	1	1
156	и ее	1	1
157	слова о	1	1
158	именно потому	1	1
159	и здесь	6	1
160	может не	1	1
161	не означает	2	1
162	и что	2	1
163	были бы	2	1
164	и на	3	1
165	она всегда	1	1
166	он был	9	1
167	и который	1	1
168	с его	4	1
169	этого отношения	1	1
170	процесс этот	1	1
171	два явления	1	1
172	в противоречии	1	1
173	не все	1	1
174	что и	4	1
175	и достоевский	8	1
176	русского национального	1	1
177	перед тем	1	1
178	интеллигенции и	1	1
179	также в	1	1
180	к осуществлению	1	1
181	однако же	1	1
182	в явлении	1	1
183	государства и	1	1
184	и мир	2	1
185	вопросом о	1	1
186	мы видим	2	1
187	жизни она	2	1
188	в какой	1	1
189	в народе	6	1
190	должен быть	4	1
191	духа в	2	1
192	в самом	5	1
193	пути но	1	1
194	в которой	2	1
195	вопрос вопрос	2	1
196	бы и	5	1
197	есть утверждение	1	1
198	что это	6	1
199	формы в	1	1
200	могли бы	1	1
201	в творениях	1	1
202	себя в	4	1
203	под его	2	1
204	переходит в	8	1
205	и будущее	1	1
206	только один	1	1
207	мира но	1	1
208	уже в	2	1
209	во многих	1	1
210	в жертву	1	1
211	на то	1	1
212	если он	2	1
213	но на	2	1
214	к миру	1	1
215	из этой	2	1
216	мир в	1	1
217	социализма в	2	1
218	они ведут	1	1
219	есть та	1	1
220	идеи и	3	1
221	европы и	1	1
222	русской стихии	1	1
223	наших глазах	1	1
224	друг друга	12	1
225	и только	1	1
226	и славянофилы	2	1
227	с собой	2	1
228	народы мира	1	1
229	многих других	1	1
230	бы это	1	1
231	в каждом	3	1
232	к составлению	1	1
233	тем в	1	1
234	прошлое настоящее	1	1
235	в государство	1	1
236	не были	1	1
237	возможно что	1	1
238	или иной	2	1
239	его в	3	1
240	русской интеллигенции	1	1
241	живет в	1	1
242	к народу	1	1
243	и быть	1	1
244	нельзя отождествлять	1	1
245	а с	1	1
246	в природе	1	1
247	и недостаточно	1	1
248	русской истории	3	1
249	что не	2	1
250	есть глубокое	1	1
251	но есть	1	1
252	к более	1	1
253	из нее	1	1
254	кто не	1	1
255	на бога	1	1
256	в этой	7	1
257	идеи в	1	1
258	личности не	1	1
259	как и	13	1
260	и уже	1	1
261	с которым	3	1
262	во христе	6	1
263	провозгласить и	1	1
264	ведет к	13	1
265	в развитии	1	1
266	раскрывается в	1	1
267	но идея	1	1
268	когда в	1	1
269	настоящее и	1	1
270	что если	1	1
271	в творчестве	3	1
272	творчестве достоевского	3	1
273	быть отвергнут	2	1
274	в которые	2	1
275	так же	6	1
276	национальной стихии	1	1
277	религия это	1	1
278	прийти к	1	1
279	того чем	1	1
280	место в	2	1
281	одна сторона	1	1
282	вопрос о	6	1
283	сравнению с	1	1
284	в церковь	1	1
285	любовь и	3	1
286	к конечному	1	1
287	есть проблема	1	1
288	науки и	2	1
289	к русскому	1	1
290	что было	3	1
291	русский но	1	1
292	как к	2	1
293	и более	1	1
294	в прошлом	1	1
295	его другим	1	1
296	о русском	2	1
297	распадается на	1	1
298	достижение в	1	1
299	и менее	1	1
300	стремления к	1	1
301	есть знак	1	1
302	от тех	1	1
303	что есть	2	1
304	и другим	1	1
305	россия есть	1	1
306	эта мысль	2	1
307	на сторону	2	1
308	она не	8	1
309	иной раз	1	1
310	не будут	2	1
311	есть прежде	5	1
312	но для	2	1
313	для каждого	1	1
314	которые были	1	1
315	тогда когда	2	1
316	эти ценности	1	1
317	она должна	1	1
318	противоречии с	2	1
319	склонность к	1	1
320	того чтобы	4	1
321	– все	2	1
322	та или	1	1
323	бога не	4	1
324	не имеет	4	1
325	вполне и	1	1
326	никогда не	18	1
327	и всегда	3	1
328	этом мире	1	1
329	христа и	1	1
330	или иная	1	1
331	и первое	1	1
332	свое призвание	1	1
333	и народной	1	1
334	бы за	2	1
335	духа а	1	1
336	только что	1	1
337	и теперь	1	1
338	в этих	2	1
339	народной стихии	1	1
340	к соединению	2	1
341	всеми его	1	1
342	нет ничего	3	1
343	бытия не	1	1
344	есть у	1	1
345	в движении	1	1
346	отношением к	2	1
347	они как	1	1
348	в момент	1	1
349	будущее в	1	1
350	и именно	1	1
351	что все	5	1
352	и жизнь	1	1
353	есть и	3	1
354	ни к	1	1
355	начала в	3	1
356	к этой	1	1
357	ни на	1	1
358	видим в	1	1
359	не есть	13	1
360	вместе с	2	1
361	все еще	1	1
362	это в	1	1
363	многие из	1	1
364	они не	4	1
