N	3gram	Tiupa_Hudo_2	SlovoVZh
1	по отношению к	7	11
2	не может быть	3	7
3	в нашем примере	1	7
4	можно сказать что	1	5
5	дело в том	1	4
6	в том что	11	4
7	тем не менее	3	3
8	бы то ни	1	3
9	до сих пор	2	3
10	с другой стороны	1	2
11	то же самое	2	2
12	с точки зрения	2	2
13	но тем не	2	2
14	автора и героя	1	2
15	в данном случае	2	2
16	в настоящее время	1	2
17	в жизни и	1	2
18	с одной стороны	3	2
19	том что в	3	1
20	но все же	1	1
21	а между тем	3	1
22	и в этом	2	1
23	как например в	1	1
24	имеем дело с	1	1
25	и потому не	1	1
26	все же не	1	1
27	мы имеем дело	1	1
28	все более и	1	1
29	то время как	1	1
30	без того чтобы	1	1
31	как одно из	1	1
32	в самом деле	3	1
33	бы не было	1	1
34	между тем как	1	1
35	же как и	1	1
36	в то время	1	1
37	автором и героем	1	1
38	как на нечто	1	1
39	берет на себя	1	1
40	о том что	7	1
41	в этом отношении	1	1
42	что не только	1	1
43	с самого начала	1	1
44	то что я	1	1
45	в конечном счете	3	1
46	более и более	1	1
47	можно было бы	2	1
48	если бы не	1	1
49	то же время	4	1
50	подобно тому как	4	1
51	прежде всего тем	1	1
52	в то же	4	1
53	с автором с	1	1
54	того чтобы не	1	1
55	в значительной степени	1	1
56	если бы оно	1	1
57	так же как	2	1
58	как и в	3	1
59	сих пор мы	1	1
60	к тому же	2	1
