N	3gram	Savitsky_E_1	FransuaR
1	то же время	14	10
2	в то же	15	10
3	в большинстве случаев	2	6
4	в том что	6	6
5	и в то	8	5
6	большей или меньшей	1	3
7	в том числе	1	3
8	в большей или	1	3
9	или меньшей степени	1	3
10	в связи с	1	3
11	до настоящего времени	1	3
12	мы видели что	1	3
13	более или менее	1	2
14	с точки зрения	16	2
15	бы то ни	4	2
16	том числе и	1	2
17	в этом процессе	1	2
18	как мы видели	2	2
19	по своему характеру	2	2
20	в данном случае	2	2
21	но в то	2	2
22	с одной стороны	8	2
23	дело в том	1	2
24	в то время	1	2
25	в нем и	1	2
26	можно сказать что	3	2
27	с другой стороны	2	2
28	для того чтобы	5	2
29	не может быть	2	2
30	и до настоящего	1	2
31	которые по своему	1	1
32	еще далеко не	1	1
33	сказать что в	2	1
34	о том насколько	1	1
35	прежде всего в	2	1
36	а также и	1	1
37	в некоторых случаях	1	1
38	одной стороны и	6	1
39	он мог бы	1	1
40	на будущее в	1	1
41	а не к	1	1
42	в эту эпоху	1	1
43	же время в	1	1
44	в отличие от	1	1
45	но и в	1	1
46	же время не	1	1
47	месяцев и даже	1	1
48	в этом отношении	3	1
49	несмотря на его	1	1
50	или иной степени	1	1
51	но и эта	1	1
52	в той или	3	1
53	может быть и	1	1
54	в значительной мере	1	1
55	и в частности	2	1
56	и всего мира	1	1
57	из всех великих	1	1
58	в англии в	1	1
59	то ни было	4	1
60	и не быть	1	1
61	так и в	2	1
62	и в отношении	1	1
63	в известном смысле	3	1
64	и в этом	4	1
65	по сравнению с	2	1
66	и связанной с	1	1
67	и будущего в	1	1
68	друг к другу	1	1
69	вместо того чтобы	1	1
70	культуры в ее	1	1
71	мире в отношении	1	1
72	во всех этих	1	1
73	в частности в	2	1
74	мы не можем	1	1
75	и притом в	2	1
76	чтобы войти в	1	1
77	и прежде всего	3	1
78	выходит за пределы	1	1
79	заключается в том	2	1
80	речь идет о	1	1
81	как бы ни	3	1
82	культуры между тем	1	1
83	в этом смысле	3	1
84	и не имеет	2	1
85	можно было бы	3	1
86	друг с другом	3	1
87	к тому же	1	1
88	мы стремились показать	1	1
89	той или иной	4	1
90	и только в	2	1
