N	2gram	Bakhtin_sl_2	Psycholo
1	то что	2	44
2	и в	39	33
3	в этом	16	28
4	и что	1	25
5	как бы	7	25
6	все время	1	24
7	для того	2	23
8	того чтобы	2	22
9	может быть	37	22
10	том что	5	22
11	что в	3	21
12	в том	5	21
13	о том	2	20
14	что он	2	20
15	как это	3	14
16	и не	22	13
17	таким образом	8	13
18	то есть	26	13
19	все это	16	13
20	сказать что	3	13
21	и все	5	12
22	все то	1	12
23	в самом	1	12
24	так как	4	12
25	он не	2	11
26	не может	20	10
27	на то	1	10
28	в его	7	10
29	что она	1	10
30	как раз	1	9
31	по себе	5	9
32	то же	4	9
33	в этой	1	9
34	вместе с	2	8
35	в конце	1	8
36	для этого	4	8
37	для нас	5	7
38	и только	1	7
39	в нем	19	7
40	до конца	17	7
41	не только	24	7
42	в своем	6	7
43	все эти	6	6
44	в себе	2	6
45	но он	2	6
46	точки зрения	8	6
47	у него	3	6
48	и т	35	6
49	это не	5	6
50	в сущности	6	6
51	а не	14	6
52	в ней	3	6
53	никак не	1	6
54	перед нами	3	6
55	все же	6	5
56	как и	6	5
57	вовсе не	10	5
58	с ним	7	5
59	в какой	1	5
60	мы не	2	5
61	нисколько не	1	5
62	и на	4	5
63	с этим	2	5
64	и его	33	5
65	в целом	1	5
66	мы можем	1	5
67	как он	2	5
68	это и	2	5
69	и может	1	5
70	мы уже	2	5
71	с самого	1	5
72	целый ряд	1	5
73	никогда не	7	5
74	самого начала	1	5
75	и это	1	5
76	и как	3	5
77	смысл и	2	4
78	очень легко	2	4
79	жизни и	6	4
80	говорит о	1	4
81	в двух	1	4
82	смысла и	3	4
83	в своей	1	4
84	об этом	1	4
85	а в	4	4
86	что действие	1	4
87	того что	1	4
88	в таком	4	4
89	и других	4	4
90	и уже	1	4
91	даны в	1	4
92	как мы	7	4
93	что не	1	4
94	и о	1	4
95	ее с	1	4
96	только в	5	4
97	той же	3	4
98	это было	1	4
99	от этих	1	4
100	одна из	4	4
101	о нем	2	4
102	слова и	8	4
103	не просто	1	4
104	с точки	3	4
105	на него	2	4
106	в частности	1	4
107	себя в	8	4
108	и есть	1	4
109	этот материал	1	4
110	к этому	1	4
111	и затем	2	3
112	и этот	1	3
113	и здесь	2	3
114	которой мы	1	3
115	во всяком	3	3
116	говорить о	3	3
117	материала в	2	3
118	это то	1	3
119	и для	5	3
120	т п	33	3
121	так и	15	3
122	этого слова	1	3
123	не было	2	3
124	в виде	2	3
125	нет ни	1	3
126	сих пор	2	3
127	увидим что	1	3
128	та же	1	3
129	от действительности	2	3
130	в одном	2	3
131	в то	4	3
132	эти слова	2	3
133	его в	4	3
134	не можем	1	3
135	в драме	1	3
136	дело с	4	3
137	но не	6	3
138	всех этих	4	3
139	например в	5	3
140	здесь в	3	3
141	сами по	1	3
142	но и	21	3
143	сама по	3	3
144	до сих	2	3
145	да и	1	3
146	кажется нам	2	3
147	идет о	1	3
148	как в	13	3
149	с ее	2	3
150	в той	4	3
151	что его	1	3
152	во все	1	3
153	ни в	4	3
154	должно быть	1	3
155	всяком случае	2	3
156	тем что	1	3
157	к которой	1	3
158	в основе	4	3
159	одной стороны	5	3
160	еще раз	3	3
161	с одной	5	3
162	во всей	1	3
163	в сторону	1	3
164	не для	1	3
165	в мире	1	3
166	она не	6	3
167	на этом	3	3
168	далеко не	2	3
169	новый смысл	1	3
170	в своих	1	3
171	и за	1	3
172	слова как	2	3
173	и до	1	3
174	и говорит	1	3
175	должен был	1	3
176	что и	3	3
177	что оно	4	3
178	конечно не	5	3
179	он говорит	1	3
180	борьбу с	2	3
181	в пределах	13	3
182	речь идет	1	3
183	о которых	1	2
184	почти все	2	2
185	нас это	1	2
186	материал и	3	2
187	и с	9	2
188	и наконец	5	2
189	же время	4	2
190	все те	1	2
191	своими словами	4	2
192	на самой	1	2
193	можно сказать	1	2
194	место в	1	2
195	на пути	1	2
196	только не	1	2
197	иметь дело	2	2
198	перейти к	1	2
199	даже не	1	2
200	прежде всего	8	2
201	т д	2	2
202	он знает	1	2
203	и ее	1	2
204	на тему	1	2
205	связи с	3	2
206	в виду	1	2
207	не в	9	2
208	но мы	2	2
209	даже в	2	2
210	его и	2	2
211	при этом	7	2
212	хотя бы	3	2
213	во всех	12	2
214	а на	1	2
215	признания и	1	2
216	в их	2	2
217	бы и	3	2
218	но может	1	2
219	если он	1	2
220	те же	2	2
221	это кажется	1	2
222	к самому	1	2
223	одно из	1	2
224	но все	5	2
225	с той	1	2
226	знает что	1	2
227	к такому	1	2
228	не все	2	2
229	дело и	1	2
230	для понимания	1	2
231	точном смысле	2	2
232	в монологах	1	2
233	художественный прием	1	2
234	никак нельзя	1	2
235	на все	1	2
236	и к	6	2
237	а как	1	2
238	он может	1	2
239	но в	6	2
240	героя и	5	2
241	что при	1	2
242	этой цели	1	2
243	нет никакой	1	2
244	силы и	1	2
245	не на	1	2
246	в одной	1	2
247	именно как	2	2
248	только с	2	2
249	в нее	2	2
250	и от	3	2
251	во всем	4	2
252	мы увидим	2	2
253	сюжета и	1	2
254	и потому	7	2
255	ничего не	1	2
256	точка зрения	2	2
257	как только	1	2
258	нам в	1	2
259	эти три	1	2
260	слово в	11	2
261	в последней	1	2
262	в них	6	2
263	тени и	1	2
264	и другим	2	2
265	и она	1	2
266	другой стороны	1	2
267	с таким	2	2
268	именно в	2	2
269	только одна	1	2
270	тем и	1	2
271	между двумя	1	2
272	в художественный	1	2
273	могли бы	1	2
274	такой же	1	2
275	однако не	1	2
276	в результате	2	2
277	какой мере	1	2
278	также и	2	2
279	заставляет нас	1	2
280	слов в	2	2
281	с его	7	2
282	с другой	5	2
283	все они	2	2
284	один из	5	2
285	в такой	1	2
286	не был	2	2
287	его не	4	2
288	толстого в	1	2
289	должно было	1	2
290	нами в	1	2
291	не является	1	2
292	конца и	1	2
293	уже в	2	2
294	нем нет	1	2
295	без всякого	2	2
296	материала и	3	2
297	быть его	1	2
298	лежит в	1	2
299	и смысл	1	2
300	образом в	1	2
301	литературы и	1	2
302	и остается	3	2
303	от прямого	2	2
304	всей ее	1	2
305	линии и	1	2
306	за ней	2	2
307	в евгении	1	1
308	за его	1	1
309	и два	1	1
310	его от	3	1
311	то мы	1	1
312	может не	2	1
313	это возможно	2	1
314	нем он	1	1
315	говорить на	1	1
316	в отдельности	1	1
317	конца во	1	1
318	при каких	2	1
319	которые оно	1	1
320	всех сторон	2	1
321	на его	2	1
322	бы быть	1	1
323	еще не	7	1
324	даже на	3	1
325	я говорю	1	1
326	в особенности	3	1
327	в связи	2	1
328	рассказ от	1	1
329	событиях и	1	1
330	рассказ о	1	1
331	друг к	1	1
332	людей или	1	1
333	как ни	1	1
334	из себя	3	1
335	или в	2	1
336	и самый	1	1
337	и ни	2	1
338	того же	1	1
339	в плане	5	1
340	отличается от	2	1
341	слова во	1	1
342	и вызывать	1	1
343	в один	1	1
344	не была	3	1
345	на которые	1	1
346	же в	1	1
347	во власти	2	1
348	в отношении	4	1
349	действительность и	1	1
350	чем это	1	1
351	и со	1	1
352	и действительно	1	1
353	как с	2	1
354	и их	5	1
355	себе ни	1	1
356	рядом с	3	1
357	это так	1	1
358	его смысла	1	1
359	и всюду	1	1
360	гораздо более	1	1
361	единый акт	1	1
362	на первый	1	1
363	не до	1	1
364	к нему	3	1
365	в обществе	1	1
366	в сознании	1	1
367	это необходимо	1	1
368	те или	1	1
369	действующих лиц	2	1
370	другом случае	1	1
371	нашего сознания	2	1
372	независимо от	2	1
373	цели и	2	1
374	что такое	1	1
375	и должны	1	1
376	там где	6	1
377	весь этот	1	1
378	самый этот	2	1
379	в условиях	1	1
380	никакого сопротивления	1	1
381	из различных	1	1
382	что говорят	2	1
383	и другие	2	1
384	к началу	1	1
385	они строятся	1	1
386	к раскрытию	1	1
387	так называемые	1	1
388	романа в	5	1
389	в некоторых	3	1
390	и без	1	1
391	в смысле	4	1
392	от автора	1	1
393	она или	1	1
394	разрешить не	1	1
395	к художественному	1	1
396	сомнения в	1	1
397	эти элементы	1	1
398	ней не	1	1
399	так в	2	1
400	жизни на	1	1
401	и те	1	1
402	начала стоит	1	1
403	лежащий в	1	1
404	безразличны для	1	1
405	или как	4	1
406	есть к	1	1
407	который мы	1	1
408	значение это	1	1
409	тем как	1	1
410	менее всего	2	1
411	просто не	2	1
412	свой смысл	2	1
413	тот факт	2	1
414	которого он	2	1
415	евгений онегин	1	1
416	в нашем	2	1
417	единое событие	1	1
418	что под	1	1
419	моментов и	1	1
