N	3gram	Bakhtin_KF_1	FransuaR
1	то же время	2	9
2	в то же	2	9
3	в средние века	1	4
4	в свою очередь	1	3
5	с точки зрения	9	3
6	но в то	1	3
7	в том что	2	3
8	а следовательно и	1	2
9	дело в том	1	2
10	по отношению к	22	2
11	имеем в виду	2	2
12	но все это	1	2
13	в большинстве случаев	1	2
14	в значительной степени	1	2
15	все это в	1	2
16	и в его	1	2
17	бы оно ни	1	2
18	не должно быть	1	2
19	в его целом	10	2
20	оно ни было	1	2
21	и может быть	2	1
22	в этом мире	1	1
23	ничего не остается	1	1
24	образом и в	1	1
25	его в себе	1	1
26	даль и близость	1	1
27	на самом деле	3	1
28	в нем для	1	1
29	то же самое	1	1
30	в том же	1	1
31	пространственный и временной	1	1
32	пространства и времени	1	1
33	и по отношению	1	1
34	и оба этих	1	1
35	и рядом с	1	1
36	не может иметь	1	1
37	ведь это не	1	1
38	в нем как	4	1
39	со всех сторон	1	1
40	и не в	1	1
41	не подлежит сомнению	1	1
42	мире нет места	1	1
43	нет места для	1	1
44	многообразия мира в	1	1
45	в себя момент	1	1
46	все эти бесконечные	1	1
47	не мог стать	1	1
48	здесь не в	1	1
49	рождение и смерть	1	1
50	и в этом	3	1
51	мира со всеми	1	1
52	его целом не	1	1
53	прошлое и будущее	2	1
54	оба этих момента	1	1
55	а только в	1	1
56	это не есть	3	1
57	во всяком случае	1	1
58	необходимый момент в	1	1
59	имеет определенного и	1	1
60	пространство и время	1	1
61	не имеет определенного	1	1
62	точки зрения формальной	1	1
63	в первом случае	1	1
64	первая часть нашего	1	1
65	к которой он	1	1
66	и тем самым	1	1
67	ней то же	1	1
68	во второй половине	1	1
69	в этом смысле	3	1
70	в другом случае	1	1
71	в себе в	1	1
72	не в этом	1	1
