1	а не	9	17
2	и в	34	16
3	не может	19	16
4	совсем не	3	12
5	и не	29	11
6	что в	7	9
7	как не	1	8
8	в том	3	8
9	он не	15	8
10	жизни и	3	8
11	как и	18	7
12	в этом	16	7
13	может быть	19	7
14	не знает	6	6
15	не в	9	6
16	но это	4	6
17	в высшей	3	6
18	никогда не	8	6
19	лишь в	5	6
20	высшей степени	3	6
21	ни в	4	6
22	с его	6	6
23	в ней	3	5
24	все это	16	5
25	должен быть	1	5
26	и к	12	5
27	в нем	19	5
28	не только	10	5
29	в жизни	2	5
30	с ее	3	5
31	всех сторон	1	4
32	потому что	12	4
33	и для	8	4
34	и мы	1	4
35	и потому	2	4
36	не было	2	4
37	прежде всего	15	4
38	и все	19	4
39	со всех	1	4
40	по своему	3	4
41	есть лишь	1	4
42	о том	2	4
43	должно быть	3	4
44	в них	2	4
45	то что	11	4
46	это не	5	4
47	не менее	3	4
48	это было	3	3
49	стремится к	6	3
50	но и	12	3
51	в ее	3	3
52	в своей	3	3
53	что такое	2	3
54	еще не	4	3
55	за пределы	2	3
56	в мире	4	3
57	как в	4	3
58	она не	1	3
59	к лицу	1	3
60	сказать что	2	3
61	человека и	1	3
62	я ищу	1	3
63	в основе	1	3
64	в прошлом	1	3
65	тому как	2	3
66	конечно не	2	3
67	к тому	5	3
68	лицом к	1	3
69	вопрос о	2	3
70	с тем	5	3
71	бога и	1	3
72	подобно тому	2	3
73	во всех	2	3
74	с другой	4	3
75	и пр	1	3
76	я уже	2	2
77	все они	1	2
78	время как	1	2
79	так же	8	2
80	и заключается	1	2
81	себя в	1	2
82	все время	5	2
83	что все	4	2
84	как будто	7	2
85	на протяжении	5	2
86	но не	4	2
87	к богу	1	2
88	и было	1	2
89	нет и	3	2
90	нем нет	1	2
91	все эти	4	2
92	этом смысле	4	2
93	в центре	1	2
94	и с	15	2
95	другой стороны	3	2
96	к самой	1	2
97	а в	5	2
98	в нашу	1	2
99	в себе	6	2
100	у него	4	2
101	во вне	1	2
102	роль в	1	2
103	времени и	1	2
104	того чтобы	1	2
105	это и	2	2
106	я не	7	2
107	не знал	2	2
108	возвращается к	1	2
109	можно было	1	2
110	том и	1	2
111	и весь	1	2
112	уже не	2	2
113	и даже	7	2
114	когда мы	1	2
115	силы и	1	2
116	вместе с	4	2
117	том что	3	2
118	и на	6	2
119	от всякого	1	2
120	мысли в	1	2
121	с одной	1	2
122	так и	6	2
123	но я	2	2
124	с их	1	2
125	не могла	1	2
126	одна из	1	2
127	должно было	1	2
128	в то	12	2
129	но она	1	2
130	и должно	2	2
131	народ русский	1	2
132	но для	3	2
133	ведь и	3	2
134	хотя и	3	2
135	для этого	3	2
136	и от	5	2
137	призыв к	1	2
138	и что	5	2
139	хотя бы	5	2
140	будет и	1	2
141	и это	4	2
142	такой же	3	2
143	но в	16	2
144	ли это	2	2
145	еще до	2	2
146	с этим	2	2
147	по старой	1	1
148	мыслей и	2	1
149	передо мной	3	1
150	того времени	2	1
151	не хотел	1	1
152	в глубине	1	1
153	в такой	3	1
154	оно может	1	1
155	к себе	17	1
156	в статье	1	1
157	в мир	1	1
158	этом я	1	1
159	могу уже	1	1
160	с миром	3	1
161	тем что	4	1
162	и того	2	1
163	эти черты	1	1
164	это я	5	1
165	человек как	1	1
166	себе и	5	1
167	вот этот	2	1
168	значение в	1	1
169	с собой	1	1
170	про себя	3	1
171	и ему	2	1
172	ее на	1	1
173	и она	1	1
174	оно не	1	1
175	стремится быть	2	1
176	не могут	1	1
177	который не	1	1
178	очень любят	1	1
179	на них	5	1
180	всю жизнь	2	1
181	и продолжал	1	1
182	быть не	1	1
183	от всех	1	1
184	зависимости от	1	1
185	того и	1	1
