N	2gram	Vinokur_St_3	ViktorSh
1	в книге	1	3
2	конце концов	3	2
3	в том	20	2
4	и в	25	2
5	в конце	6	2
6	том что	15	2
7	дело в	1	1
8	речи и	1	1
9	только в	6	1
10	и не	10	1
11	в другом	3	1
12	то же	5	1
13	по крайней	4	1
14	этом и	1	1
15	ясно что	1	1
16	так как	3	1
17	все время	2	1
18	и его	3	1
19	то я	1	1
20	в которых	2	1
21	к этому	3	1
22	так в	1	1
23	в этом	24	1
24	крайней мере	4	1
25	с большой	1	1
26	все дело	1	1
27	том же	1	1
28	в их	3	1
29	именно в	1	1
30	связанным с	2	1
31	и только	2	1
32	и то	1	1
33	в частности	1	1
34	потому что	5	1
35	хотя бы	1	1
36	в значительной	1	1
37	в самом	2	1
38	совершенно ясно	1	1
39	все то	1	1
40	и т.д	1	1
41	с о	3	1
42	от других	1	1
43	по существу	1	1
44	другое дело	3	1
45	все это	8	1
46	гораздо более	2	1
47	значит и	2	1
48	но это	4	1
49	в устах	4	1
50	которые они	1	1
51	ибо никакой	1	1
52	самом деле	2	1
53	по своим	1	1
54	тем более	3	1
