N	4gram	Vinokur_Ku_1	Vvedenie
1	в то же время	2	6
2	в той мере в	5	5
3	той мере в какой	5	5
4	не что иное как	1	4
5	не трудно видеть что	1	4
6	и в самом деле	2	3
7	состоит в том что	3	2
8	и т д все	1	2
9	заключается в том что	2	2
10	только в применении к	1	2
11	т д все это	1	1
12	только в том чтобы	2	1
13	история литературы история искусств	1	1
14	для того чтобы можно	1	1
15	но во всяком случае	1	1
16	том-то и дело что	1	1
17	одного и того же	2	1
18	мы имеем в виду	1	1
19	хотя бы и не	1	1
20	даже и тогда когда	1	1
21	можно было бы назвать	1	1
22	еще и потому что	1	1
23	трудно видеть что это	1	1
24	в том чтобы выяснить	1	1
25	его грамматическую систему и	1	1
26	точно так же как	1	1
27	и т д и	2	1
28	язык можно и должно	1	1
29	одно и то же	1	1
30	по отношению к собственно	1	1
31	с прочими областями культуры	1	1
32	в собственном смысле слова	1	1
33	лингвисту во всяком случае	1	1
34	но с другой стороны	1	1
35	если можно говорить о	1	1
36	уже само по себе	1	1
37	в том-то и дело	1	1
38	с этой точки зрения	1	1
39	на язык как на	1	1
40	в центр своего внимания	1	1
41	для того чтобы быть	2	1
42	того чтобы можно было	1	1
43	и т д словом	1	1
44	широком смысле этого термина	1	1
45	в том что не	1	1
46	вовсе не в том	1	1
47	и не потому что	1	1
48	видеть что это есть	1	1
49	что история языка в	1	1
50	на почву культурной истории	1	1
51	но в том-то и	1	1
