N	4gram	Nazirov_Tv_1	Problemy
1	в то же время	12	12
2	и в то же	1	5
3	бы то ни было	1	4
4	но в то же	4	3
5	мы уже говорили что	1	2
6	на протяжении всего романа	1	2
7	в записках из подполья	2	2
8	проповедывать новые идеи и	1	1
9	уже в бедных людях	1	1
10	на самом деле рассказ	1	1
11	а вместе с тем	1	1
12	и в других романах	1	1
13	а я иду босой	1	1
14	все более и более	1	1
15	разбиваю ретроградов под аустерлицем	1	1
16	я иду босой и	1	1
17	новые идеи и разбиваю	1	1
18	одного и того же	1	1
19	голодный проповедывать новые идеи	1	1
20	босой и голодный проповедывать	1	1
21	на самом же деле	1	1
22	то же время он	2	1
23	и голодный проповедывать новые	1	1
24	и разбиваю ретроградов под	1	1
25	все плачут и целуют	1	1
26	иду босой и голодный	1	1
27	идеи и разбиваю ретроградов	1	1
