1	в то же	5	9
2	то же время	5	9
3	не может быть	8	7
4	с одной стороны	1	6
5	в том что	2	5
6	с другой стороны	3	4
7	с точки зрения	9	3
8	в данном случае	1	3
9	по отношению к	5	3
10	в том числе	4	2
11	одно и то	1	2
12	в свое время	2	2
13	в этом случае	1	2
14	о том что	2	2
15	и то же	1	2
16	одной стороны и	1	1
17	и в сущности	2	1
18	и не может	7	1
19	для него в	1	1
20	в художественном мире	1	1
21	после того как	1	1
22	в отличие от	3	1
23	такой же как	1	1
24	даже и не	1	1
25	в конце концов	1	1
26	нет и не	2	1
27	и в то	1	1
28	не менее чем	1	1
29	является одним из	1	1
30	можно было бы	2	1
31	к тому что	1	1
32	из того же	1	1
33	о себе не	1	1
34	речь а не	1	1
35	а во второй	1	1
36	от первого лица	1	1
37	прежде всего в	1	1
38	том числе и	3	1
39	и наконец в	1	1
40	той или иной	2	1
41	то есть в	4	1
42	обойтись без другого	1	1
43	никогда не бывает	1	1
44	что может быть	1	1
45	в себе и	1	1
46	не только и	1	1
47	столь характерный для	1	1
48	в одном из	2	1
49	в целом к	1	1
